relation_id,species_id,cite_id
196,Charadrius javanicus,citation191
197,Charadrius leschenaultii,citation191
198,Charadrius marginatus,citation191
199,Charadrius melodus,citation191
200,Charadrius modestus,citation191
201,Charadrius mongolus,citation191
202,Charadrius montanus,citation191
203,Charadrius nivosus,citation191
204,Charadrius obscurus,citation191
205,Charadrius pallidus,citation191
206,Charadrius pecuarius,citation191
207,Charadrius peronii,citation191
208,Charadrius placidus,citation191
209,Charadrius ruficapillus,citation191
210,Charadrius sanctaehelenae,citation191
211,Charadrius semipalmatus,citation191
212,Charadrius thoracicus,citation191
213,Charadrius tricollaris,citation191
214,Charadrius veredus,citation191
215,Charadrius vociferus,citation191
216,Charadrius wilsonia,citation191
217,Elseyornis melanops,citation191
218,Erythrogonys cinctus,citation191
219,Eudromias morinellus,citation191
220,Hoploxypterus cayanus,citation191
221,Oreopholus ruficollis,citation191
222,Peltohyas australis,citation191
223,Phegornis mitchellii,citation191
224,Pluvialis apricaria,citation191
225,Pluvialis dominica,citation191
226,Pluvialis fulva,citation191
227,Pluvialis squatarola,citation191
228,Thinornis cucullatus,citation191
229,Thinornis novaeseelandiae,citation191
230,Vanellus albiceps,citation191
231,Vanellus armatus,citation191
232,Vanellus chilensis,citation191
233,Vanellus cinereus,citation191
234,Vanellus coronatus,citation191
235,Vanellus crassirostris,citation191
236,Vanellus duvaucelii,citation191
237,Vanellus gregarius,citation191
238,Vanellus indicus,citation191
239,Vanellus leucurus,citation191
240,Vanellus lugubris,citation191
241,Vanellus macropterus,citation191
242,Vanellus malarbaricus,citation191
243,Vanellus melanocephalus,citation191
244,Vanellus melanopterus,citation191
245,Vanellus miles,citation191
246,Vanellus novaehollandiae,citation191
247,Vanellus resplendens,citation191
248,Vanellus senegallus,citation191
249,Vanellus spinosus,citation191
250,Vanellus superciliosus,citation191
251,Vanellus tectus,citation191
252,Vanellus tricolor,citation191
253,Vanellus vanellus,citation191
254,Chionis albus,citation191
255,Chionis minor,citation191
256,Diomedea amsterdamensis,citation123
257,Diomedea amsterdamensis,citation46
258,Diomedea antipodensis,citation123
259,Diomedea dabbenena,citation123
260,Diomedea epomophora,citation280
261,Diomedea epomophora,citation60
262,Diomedea epomophora,citation162
263,Diomedea exulans,citation280
264,Diomedea exulans,citation61
265,Diomedea exulans,citation60
266,Diomedea exulans,citation162
267,Diomedea exulans,citation256
268,Diomedea exulans,citation16
269,Diomedea sanfordi,citation123
270,Diomedea sanfordi,citation292
271,Phoebastria albatrus,citation46
272,Phoebastria immutabilis,citation88
273,Phoebastria immutabilis,citation299
274,Phoebastria immutabilis,citation16
275,Phoebastria irrorata,citation117
276,Phoebastria irrorata,citation46
277,Phoebastria nigripes,citation298
278,Phoebastria nigripes,citation235
279,Phoebastria nigripes,citation16
280,Phoebetria fusca,citation60
281,Phoebetria fusca,citation162
282,Phoebetria fusca,citation292
283,Phoebetria palpebrata,citation60
284,Phoebetria palpebrata,citation162
285,Phoebetria palpebrata,citation292
286,Thalassarche bulleri,citation162
287,Thalassarche bulleri,citation46
288,Thalassarche bulleri,citation241
289,Thalassarche bulleri,citation242
290,Thalassarche carteri,citation46
291,Thalassarche cauta,citation162
292,Thalassarche cauta,citation46
293,Thalassarche chlororhynchos,citation60
294,Thalassarche chlororhynchos,citation162
295,Thalassarche chrysostoma,citation58
296,Thalassarche chrysostoma,citation61
297,Thalassarche chrysostoma,citation60
298,Thalassarche chrysostoma,citation162
