ord,fam,genus,species,subspecies,species_id,species_id_html,synonyms
PELECANIFORMES,ARDEIDAE,Cochlearius,cochlearius,,Cochlearius cochlearius,Cochleariuscochlearius,Cochlearius cochlearia cochlearius
PELECANIFORMES,ARDEIDAE,Egretta,ardesiaca,,Egretta ardesiaca,Egrettaardesiaca,
PELECANIFORMES,ARDEIDAE,Egretta,caerulea,,Egretta caerulea,Egrettacaerulea,Florida caerulea caerulea
PELECANIFORMES,ARDEIDAE,Egretta,eulophotes,,Egretta eulophotes,Egrettaeulophotes,
PELECANIFORMES,ARDEIDAE,Egretta,garzetta,,Egretta garzetta,Egrettagarzetta,
PELECANIFORMES,ARDEIDAE,Egretta,gularis,,Egretta gularis,Egrettagularis,Egretta dimorpha
PELECANIFORMES,ARDEIDAE,Egretta,novaehollandiae,,Egretta novaehollandiae,Egrettanovaehollandiae,Ardea novaehollandiae novaehollandiae
PELECANIFORMES,ARDEIDAE,Egretta,picata,,Egretta picata,Egrettapicata,Ardea picata|Egretta picata picata
PELECANIFORMES,ARDEIDAE,Egretta,rufescens,,Egretta rufescens,Egrettarufescens,Hydranassa rufescens rufescens
PELECANIFORMES,ARDEIDAE,Egretta,sacra,,Egretta sacra,Egrettasacra,
PELECANIFORMES,ARDEIDAE,Egretta,thula,,Egretta thula,Egrettathula,
PELECANIFORMES,ARDEIDAE,Egretta,tricolor,,Egretta tricolor,Egrettatricolor,Hydranassa tricolor tricolor
PELECANIFORMES,ARDEIDAE,Egretta,vinaceigula,,Egretta vinaceigula,Egrettavinaceigula,
PELECANIFORMES,ARDEIDAE,Gorsachius,goisagi,,Gorsachius goisagi,Gorsachiusgoisagi,
PELECANIFORMES,ARDEIDAE,Gorsachius,magnificus,,Gorsachius magnificus,Gorsachiusmagnificus,
PELECANIFORMES,ARDEIDAE,Gorsachius,melanolophus,,Gorsachius melanolophus,Gorsachiusmelanolophus,Gorsachius melanophus melanophus
PELECANIFORMES,ARDEIDAE,Ixobrychus,cinnamomeus,,Ixobrychus cinnamomeus,Ixobrychuscinnamomeus,
PELECANIFORMES,ARDEIDAE,Ixobrychus,dubius,,Ixobrychus dubius,Ixobrychusdubius,
PELECANIFORMES,ARDEIDAE,Ixobrychus,eurhythmus,,Ixobrychus eurhythmus,Ixobrychuseurhythmus,
PELECANIFORMES,ARDEIDAE,Ixobrychus,exilis,,Ixobrychus exilis,Ixobrychusexilis,
PELECANIFORMES,ARDEIDAE,Ixobrychus,flavicollis,,Ixobrychus flavicollis,Ixobrychusflavicollis,Dupetor flavicollis flavicollis
PELECANIFORMES,ARDEIDAE,Ixobrychus,involucris,,Ixobrychus involucris,Ixobrychusinvolucris,
PELECANIFORMES,ARDEIDAE,Ixobrychus,minutus,,Ixobrychus minutus,Ixobrychusminutus,
PELECANIFORMES,ARDEIDAE,Ixobrychus,novaezelandiae,,Ixobrychus novaezelandiae,Ixobrychusnovaezelandiae,
PELECANIFORMES,ARDEIDAE,Ixobrychus,sinensis,,Ixobrychus sinensis,Ixobrychussinensis,
PELECANIFORMES,ARDEIDAE,Ixobrychus,sturmii,,Ixobrychus sturmii,Ixobrychussturmii,Ardeirallus sturmii sturmii
PELECANIFORMES,ARDEIDAE,Nyctanassa,carcinocatactes,,Nyctanassa carcinocatactes,Nyctanassacarcinocatactes,
PELECANIFORMES,ARDEIDAE,Nyctanassa,violacea,,Nyctanassa violacea,Nyctanassaviolacea,Nycticorax violaceus violaceus
PELECANIFORMES,ARDEIDAE,Nycticorax,caledonicus,,Nycticorax caledonicus,Nycticoraxcaledonicus,
PELECANIFORMES,ARDEIDAE,Nycticorax,duboisi,,Nycticorax duboisi,Nycticoraxduboisi,
PELECANIFORMES,ARDEIDAE,Nycticorax,mauritianus,,Nycticorax mauritianus,Nycticoraxmauritianus,
PELECANIFORMES,ARDEIDAE,Nycticorax,megacephalus,,Nycticorax megacephalus,Nycticoraxmegacephalus,
PELECANIFORMES,ARDEIDAE,Nycticorax,nycticorax,,Nycticorax nycticorax,Nycticoraxnycticorax,
PELECANIFORMES,ARDEIDAE,Pilherodius,pileatus,,Pilherodius pileatus,Pilherodiuspileatus,Nycticorax pileatus pileatus
PELECANIFORMES,ARDEIDAE,Syrigma,sibilatrix,,Syrigma sibilatrix,Syrigmasibilatrix,
PELECANIFORMES,ARDEIDAE,Tigriornis,leucolopha,,Tigriornis leucolopha,Tigriornisleucolopha,Tigriornis leucolophus
PELECANIFORMES,ARDEIDAE,Tigrisoma,fasciatum,,Tigrisoma fasciatum,Tigrisomafasciatum,
PELECANIFORMES,ARDEIDAE,Tigrisoma,lineatum,,Tigrisoma lineatum,Tigrisomalineatum,
PELECANIFORMES,ARDEIDAE,Tigrisoma,mexicanum,,Tigrisoma mexicanum,Tigrisomamexicanum,
PELECANIFORMES,ARDEIDAE,Zebrilus,undulatus,,Zebrilus undulatus,Zebrilusundulatus,
PELECANIFORMES,ARDEIDAE,Zonerodius,heliosylus,,Zonerodius heliosylus,Zonerodiusheliosylus,
PELECANIFORMES,BALAENICIPITIDAE,Balaeniceps,rex,,Balaeniceps rex,Balaenicepsrex,
CHARADRIIFORMES,BURHINIDAE,Burhinus,bistriatus,,Burhinus bistriatus,Burhinusbistriatus,
CHARADRIIFORMES,BURHINIDAE,Burhinus,capensis,,Burhinus capensis,Burhinuscapensis,
CHARADRIIFORMES,BURHINIDAE,Burhinus,grallarius,,Burhinus grallarius,Burhinusgrallarius,
CHARADRIIFORMES,BURHINIDAE,Burhinus,indicus,,Burhinus indicus,Burhinusindicus,
CHARADRIIFORMES,BURHINIDAE,Burhinus,oedicnemus,,Burhinus oedicnemus,Burhinusoedicnemus,
CHARADRIIFORMES,BURHINIDAE,Burhinus,senegalensis,,Burhinus senegalensis,Burhinussenegalensis,
CHARADRIIFORMES,BURHINIDAE,Burhinus,superciliaris,,Burhinus superciliaris,Burhinussuperciliaris,
CHARADRIIFORMES,BURHINIDAE,Burhinus,vermiculatus,,Burhinus vermiculatus,Burhinusvermiculatus,
CHARADRIIFORMES,BURHINIDAE,Esacus,magnirostris,,Esacus magnirostris,Esacusmagnirostris,Burhinus giganteus giganteus|Esacus giganteus|Esacus magnirostris magnirostris|Esacus neglectus neglectus
CHARADRIIFORMES,BURHINIDAE,Esacus,recurvirostris,,Esacus recurvirostris,Esacusrecurvirostris,Burhinus recurvirostris recurvirostris
CHARADRIIFORMES,CHARADRIIDAE,Anarhynchus,frontalis,,Anarhynchus frontalis,Anarhynchusfrontalis,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,alexandrinus,,Charadrius alexandrinus,Charadriusalexandrinus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,alticola,,Charadrius alticola,Charadriusalticola,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,aquilonius,,Charadrius aquilonius,Charadriusaquilonius,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,asiaticus,,Charadrius asiaticus,Charadriusasiaticus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,bicinctus,,Charadrius bicinctus,Charadriusbicinctus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,bifrontatus,,Charadrius bifrontatus,Charadriusbifrontatus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,collaris,,Charadrius collaris,Charadriuscollaris,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,dealbatus,,Charadrius dealbatus,Charadriusdealbatus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,dubius,,Charadrius dubius,Charadriusdubius,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,falklandicus,,Charadrius falklandicus,Charadriusfalklandicus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,forbesi,,Charadrius forbesi,Charadriusforbesi,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,hiaticula,,Charadrius hiaticula,Charadriushiaticula,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,javanicus,,Charadrius javanicus,Charadriusjavanicus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,leschenaultii,,Charadrius leschenaultii,Charadriusleschenaultii,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,marginatus,,Charadrius marginatus,Charadriusmarginatus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,melodus,,Charadrius melodus,Charadriusmelodus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,modestus,,Charadrius modestus,Charadriusmodestus,
