brid,species_id,breeding_distribution_id,breeding_distribution,cite_id,username,dt
98,Tigrisoma fasciatum,1,unknown,citation311,grant,7/17/2016
99,Tigrisoma lineatum,1,unknown,citation311,grant,7/17/2016
100,Tigrisoma mexicanum,1,unknown,citation311,grant,7/17/2016
101,Zebrilus undulatus,1,unknown,citation311,grant,7/17/2016
102,Zonerodius heliosylus,1,unknown,citation311,grant,7/17/2016
103,Balaeniceps rex,1,unknown,citation311,grant,7/17/2016
104,Burhinus bistriatus,1,unknown,citation311,grant,7/17/2016
105,Burhinus capensis,1,unknown,citation311,grant,7/17/2016
106,Burhinus grallarius,1,unknown,citation311,grant,7/17/2016
107,Burhinus indicus,1,unknown,citation311,grant,7/17/2016
108,Burhinus oedicnemus,1,unknown,citation311,grant,7/17/2016
109,Burhinus senegalensis,1,unknown,citation311,grant,7/17/2016
110,Burhinus superciliaris,1,unknown,citation311,grant,7/17/2016
111,Burhinus vermiculatus,1,unknown,citation311,grant,7/17/2016
112,Esacus magnirostris,1,unknown,citation311,grant,7/17/2016
113,Esacus recurvirostris,1,unknown,citation311,grant,7/17/2016
114,Anarhynchus frontalis,1,unknown,citation311,grant,7/17/2016
115,Charadrius alexandrinus,1,unknown,citation311,grant,7/17/2016
116,Charadrius alticola,1,unknown,citation311,grant,7/17/2016
117,Charadrius aquilonius,1,unknown,citation311,grant,7/17/2016
118,Charadrius asiaticus,1,unknown,citation311,grant,7/17/2016
119,Charadrius bicinctus,1,unknown,citation311,grant,7/17/2016
120,Charadrius bifrontatus,1,unknown,citation311,grant,7/17/2016
121,Charadrius collaris,1,unknown,citation311,grant,7/17/2016
122,Charadrius dealbatus,1,unknown,citation311,grant,7/17/2016
123,Charadrius dubius,1,unknown,citation311,grant,7/17/2016
124,Charadrius falklandicus,1,unknown,citation311,grant,7/17/2016
125,Charadrius forbesi,1,unknown,citation311,grant,7/17/2016
126,Charadrius hiaticula,1,unknown,citation311,grant,7/17/2016
127,Charadrius javanicus,1,unknown,citation311,grant,7/17/2016
128,Charadrius leschenaultii,1,unknown,citation311,grant,7/17/2016
129,Charadrius marginatus,1,unknown,citation311,grant,7/17/2016
130,Charadrius melodus,1,unknown,citation311,grant,7/17/2016
131,Charadrius modestus,1,unknown,citation311,grant,7/17/2016
132,Charadrius mongolus,1,unknown,citation311,grant,7/17/2016
133,Charadrius montanus,1,unknown,citation311,grant,7/17/2016
134,Charadrius nivosus,1,unknown,citation311,grant,7/17/2016
135,Charadrius obscurus,1,unknown,citation311,grant,7/17/2016
136,Charadrius pallidus,1,unknown,citation311,grant,7/17/2016
137,Charadrius pecuarius,1,unknown,citation311,grant,7/17/2016
138,Charadrius peronii,1,unknown,citation311,grant,7/17/2016
139,Charadrius placidus,1,unknown,citation311,grant,7/17/2016
140,Charadrius ruficapillus,1,unknown,citation311,grant,7/17/2016
141,Charadrius sanctaehelenae,1,unknown,citation311,grant,7/17/2016
142,Charadrius semipalmatus,1,unknown,citation311,grant,7/17/2016
143,Charadrius thoracicus,1,unknown,citation311,grant,7/17/2016
144,Charadrius tricollaris,1,unknown,citation311,grant,7/17/2016
145,Charadrius veredus,1,unknown,citation311,grant,7/17/2016
146,Charadrius vociferus,1,unknown,citation311,grant,7/17/2016
147,Charadrius wilsonia,1,unknown,citation311,grant,7/17/2016
148,Elseyornis melanops,1,unknown,citation311,grant,7/17/2016
149,Erythrogonys cinctus,1,unknown,citation311,grant,7/17/2016
150,Eudromias morinellus,1,unknown,citation311,grant,7/17/2016
151,Hoploxypterus cayanus,1,unknown,citation311,grant,7/17/2016
152,Oreopholus ruficollis,1,unknown,citation311,grant,7/17/2016
153,Peltohyas australis,1,unknown,citation311,grant,7/17/2016
154,Phegornis mitchellii,1,unknown,citation311,grant,7/17/2016
155,Pluvialis apricaria,1,unknown,citation311,grant,7/17/2016
156,Pluvialis dominica,1,unknown,citation311,grant,7/17/2016
157,Pluvialis fulva,1,unknown,citation311,grant,7/17/2016
158,Pluvialis squatarola,1,unknown,citation311,grant,7/17/2016
159,Thinornis cucullatus,1,unknown,citation311,grant,7/17/2016
160,Thinornis novaeseelandiae,1,unknown,citation311,grant,7/17/2016
161,Vanellus albiceps,1,unknown,citation311,grant,7/17/2016
162,Vanellus armatus,1,unknown,citation311,grant,7/17/2016
163,Vanellus chilensis,1,unknown,citation311,grant,7/17/2016
164,Vanellus cinereus,1,unknown,citation311,grant,7/17/2016
165,Vanellus coronatus,1,unknown,citation311,grant,7/17/2016
166,Vanellus crassirostris,1,unknown,citation311,grant,7/17/2016
167,Vanellus duvaucelii,1,unknown,citation311,grant,7/17/2016
168,Vanellus gregarius,1,unknown,citation311,grant,7/17/2016
169,Vanellus indicus,1,unknown,citation311,grant,7/17/2016
170,Vanellus leucurus,1,unknown,citation311,grant,7/17/2016
171,Vanellus lugubris,1,unknown,citation311,grant,7/17/2016
172,Vanellus macropterus,1,unknown,citation311,grant,7/17/2016
173,Vanellus malarbaricus,1,unknown,citation311,grant,7/17/2016
174,Vanellus melanocephalus,1,unknown,citation311,grant,7/17/2016
175,Vanellus melanopterus,1,unknown,citation311,grant,7/17/2016
176,Vanellus miles,1,unknown,citation311,grant,7/17/2016
177,Vanellus novaehollandiae,1,unknown,citation311,grant,7/17/2016
178,Vanellus resplendens,1,unknown,citation311,grant,7/17/2016
179,Vanellus senegallus,1,unknown,citation311,grant,7/17/2016
180,Vanellus spinosus,1,unknown,citation311,grant,7/17/2016
181,Vanellus superciliosus,1,unknown,citation311,grant,7/17/2016
182,Vanellus tectus,1,unknown,citation311,grant,7/17/2016
183,Vanellus tricolor,1,unknown,citation311,grant,7/17/2016
184,Vanellus vanellus,1,unknown,citation311,grant,7/17/2016
185,Chionis albus,1,unknown,citation311,grant,7/17/2016
186,Chionis minor,1,unknown,citation311,grant,7/17/2016
187,Diomedea amsterdamensis,1,Tm,citation311,grant,7/17/2016
188,Diomedea antipodensis,1,Tm,citation311,grant,7/17/2016
189,Diomedea dabbenena,1,Tm,citation311,grant,7/17/2016
190,Diomedea epomophora,1,Tm,citation311,grant,7/17/2016
191,Diomedea epomophora,2,SP,citation311,grant,7/17/2016
192,Diomedea exulans,1,Tm,citation311,grant,7/17/2016
193,Diomedea exulans,2,SP,citation311,grant,7/17/2016
194,Diomedea sanfordi,1,TM,citation311,grant,7/17/2016
195,Phoebastria albatrus,1,Tm,citation311,grant,7/17/2016
196,Phoebastria immutabilis,1,STr,citation311,grant,7/17/2016
197,Phoebastria irrorata,1,Tr,citation311,grant,7/17/2016
198,Phoebastria nigripes,1,STr,citation311,grant,7/17/2016
199,Phoebetria fusca,1,Tm,citation311,grant,7/17/2016
200,Phoebetria palpebrata,1,Tm-P,citation311,grant,7/17/2016
201,Thalassarche bulleri,1,Tm,citation311,grant,7/17/2016
202,Thalassarche bulleri,2,SP,citation311,grant,7/17/2016
203,Thalassarche carteri,1,Tm,citation311,grant,7/17/2016
