iucnid,species_id,iucn_status,red_list_criteria,year_assessed,population_trend,population_estimate,population_range,population_uncertainty,population_location
110,Anarhynchus frontalis,VU,C2a(i),2012,decreasing,,,,
111,Charadrius alexandrinus,LC,,2014,decreasing,,,,
112,Charadrius alticola,LC,,2012,unknown,,,,
113,Charadrius aquilonius,NT,,2014,increasing,,,,
114,Charadrius asiaticus,LC,,2012,decreasing,,,,
115,Charadrius bicinctus,LC,,2014,unknown,,,,
116,Charadrius bifrontatus,LC,,2014,unknown,,,,
117,Charadrius collaris,LC,,2012,decreasing,,,,
118,Charadrius dealbatus,DD,,2014,unknown,,,,
119,Charadrius dubius,LC,,2012,stable,,,,
120,Charadrius falklandicus,LC,,2012,stable,,,,
121,Charadrius forbesi,LC,,2012,unknown,,,,
122,Charadrius hiaticula,LC,,2012,decreasing,,,,
123,Charadrius javanicus,NT,,2012,decreasing,,,,
124,Charadrius leschenaultii,LC,,2012,unknown,,,,
125,Charadrius marginatus,LC,,2012,decreasing,,,,
126,Charadrius melodus,NT,,2012,increasing,,,,
127,Charadrius modestus,LC,,2012,unknown,,,,
128,Charadrius mongolus,LC,,2012,unknown,,,,
129,Charadrius montanus,NT,,2012,decreasing,,,,
130,Charadrius nivosus,NT,,2014,decreasing,,,,
131,Charadrius obscurus,EN,D,2014,stable,,,,
132,Charadrius pallidus,NT,,2012,stable,,,,
133,Charadrius pecuarius,LC,,2012,unknown,,,,
134,Charadrius peronii,NT,,2012,decreasing,,,,
135,Charadrius placidus,LC,,2012,decreasing,,,,
136,Charadrius ruficapillus,LC,,2012,unknown,,,,
137,Charadrius sanctaehelenae,CR,C2a(ii),2012,increasing,,,,
138,Charadrius semipalmatus,LC,,2012,stable,,,,
139,Charadrius thoracicus,VU,C2a(i),2012,decreasing,,,,
140,Charadrius tricollaris,LC,,2014,unknown,,,,
141,Charadrius veredus,LC,,2012,unknown,,,,
142,Charadrius vociferus,LC,,2012,decreasing,,,,
143,Charadrius wilsonia,LC,,2012,decreasing,,,,
144,Elseyornis melanops,LC,,2012,increasing,,,,
145,Erythrogonys cinctus,LC,,2012,stable,,,,
146,Eudromias morinellus,LC,,2012,decreasing,,,,
147,Hoploxypterus cayanus,LC,,2012,unknown,,,,
148,Oreopholus ruficollis,LC,,2012,decreasing,,,,
149,Peltohyas australis,LC,,2012,unknown,,,,
150,Phegornis mitchellii,NT,,2012,decreasing,,,,
151,Pluvialis apricaria,LC,,2012,decreasing,,,,
152,Pluvialis dominica,LC,,2012,decreasing,,,,
153,Pluvialis fulva,LC,,2012,decreasing,,,,
154,Pluvialis squatarola,LC,,2012,decreasing,,,,
155,Thinornis cucullatus,VU,C1,2014,decreasing,,,,
156,Thinornis novaeseelandiae,EN,D,2012,increasing,,,,
157,Vanellus albiceps,LC,,2012,stable,,,,
158,Vanellus armatus,LC,,2012,increasing,,,,
159,Vanellus chilensis,LC,,2012,increasing,,,,
160,Vanellus cinereus,LC,,2012,decreasing,,,,
161,Vanellus coronatus,LC,,2012,increasing,,,,
162,Vanellus crassirostris,LC,,2012,unknown,,,,
163,Vanellus duvaucelii,NT,,2012,unknown,,,,
164,Vanellus gregarius,CR,A3bcd+4bcd,2013,decreasing,,,,
165,Vanellus indicus,LC,,2012,unknown,,,,
166,Vanellus leucurus,LC,,2012,unknown,,,,
167,Vanellus lugubris,LC,,2012,unknown,,,,
