feature_id,species_id,traits,mean,range,uncertainty,units,comments,study_year,study_location,citeid,username,dt
1144,Ardea humbloti,wingspan,,,,cm,,,,citation311,grant,7/15/2016
1145,Ardea humbloti,max age,,,,yrs,,,,citation311,grant,7/15/2016
1146,Ardea humbloti,annual survival,,,,%,,,,citation311,grant,7/15/2016
1147,Ardea humbloti,foraging distance,,,,km,,,,citation311,grant,7/15/2016
1148,Ardea insignis,female mass,,,,Kg,,,,citation311,grant,7/15/2016
1149,Ardea insignis,male mass,,,,Kg,,,,citation311,grant,7/15/2016
1150,Ardea insignis,culmen,,,,mm,,,,citation311,grant,7/15/2016
1151,Ardea insignis,tarsus,,,,mm,,,,citation311,grant,7/15/2016
1152,Ardea insignis,tail,,,,mm,,,,citation311,grant,7/15/2016
1153,Ardea insignis,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1154,Ardea insignis,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1155,Ardea insignis,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
1156,Ardea insignis,clutch size,,,,N/A,,,,citation311,grant,7/15/2016
1157,Ardea insignis,egg mass,,,,g,,,,citation311,grant,7/15/2016
1158,Ardea insignis,incubation period,,,,d,,,,citation311,grant,7/15/2016
1159,Ardea insignis,fledging period,,,,d,,,,citation311,grant,7/15/2016
1160,Ardea insignis,reproductive success,,,,%,,,,citation311,grant,7/15/2016
1161,Ardea insignis,hatching success,,,,%,,,,citation311,grant,7/15/2016
1162,Ardea insignis,fledging success,,,,%,,,,citation311,grant,7/15/2016
1163,Ardea insignis,max growth,,,,g/d,,,,citation311,grant,7/15/2016
1164,Ardea insignis,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
1165,Ardea insignis,post fledge care,,,,d,,,,citation311,grant,7/15/2016
1166,Ardea insignis,fledgling mass,,,,g,,,,citation311,grant,7/15/2016
1167,Ardea insignis,ratio fledgling to adult,,,,%,,,,citation311,grant,7/15/2016
1168,Ardea insignis,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
1169,Ardea insignis,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
1170,Ardea insignis,first year survival,,,,%,,,,citation311,grant,7/15/2016
1171,Ardea insignis,second year survival,,,,%,,,,citation311,grant,7/15/2016
1172,Ardea insignis,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
1173,Ardea insignis,age first breed,,,,yrs,,,,citation311,grant,7/15/2016
1174,Ardea insignis,migration distance,,,,km,,,,citation311,grant,7/15/2016
1175,Ardea insignis,wingspan,,,,cm,,,,citation311,grant,7/15/2016
1176,Ardea insignis,max age,,,,yrs,,,,citation311,grant,7/15/2016
1177,Ardea insignis,annual survival,,,,%,,,,citation311,grant,7/15/2016
1178,Ardea insignis,foraging distance,,,,km,,,,citation311,grant,7/15/2016
1179,Ardea intermedia,female mass,,,,Kg,,,,citation311,grant,7/15/2016
1180,Ardea intermedia,male mass,,,,Kg,,,,citation311,grant,7/15/2016
1181,Ardea intermedia,culmen,,,,mm,,,,citation311,grant,7/15/2016
1182,Ardea intermedia,tarsus,,,,mm,,,,citation311,grant,7/15/2016
1183,Ardea intermedia,tail,,,,mm,,,,citation311,grant,7/15/2016
1184,Ardea intermedia,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1185,Ardea intermedia,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1186,Ardea intermedia,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
1187,Ardea intermedia,clutch size,,,,N/A,,,,citation311,grant,7/15/2016
1188,Ardea intermedia,egg mass,,,,g,,,,citation311,grant,7/15/2016
1189,Ardea intermedia,incubation period,,,,d,,,,citation311,grant,7/15/2016
1190,Ardea intermedia,fledging period,,,,d,,,,citation311,grant,7/15/2016
1191,Ardea intermedia,reproductive success,,,,%,,,,citation311,grant,7/15/2016
1192,Ardea intermedia,hatching success,,,,%,,,,citation311,grant,7/15/2016
1193,Ardea intermedia,fledging success,,,,%,,,,citation311,grant,7/15/2016
1194,Ardea intermedia,max growth,,,,g/d,,,,citation311,grant,7/15/2016
1195,Ardea intermedia,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
1196,Ardea intermedia,post fledge care,,,,d,,,,citation311,grant,7/15/2016
1197,Ardea intermedia,fledgling mass,,,,g,,,,citation311,grant,7/15/2016
1198,Ardea intermedia,ratio fledgling to adult,,,,%,,,,citation311,grant,7/15/2016
1199,Ardea intermedia,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
1200,Ardea intermedia,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
1201,Ardea intermedia,first year survival,,,,%,,,,citation311,grant,7/15/2016
1202,Ardea intermedia,second year survival,,,,%,,,,citation311,grant,7/15/2016
1203,Ardea intermedia,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
1204,Ardea intermedia,age first breed,,,,yrs,,,,citation311,grant,7/15/2016
1205,Ardea intermedia,migration distance,,,,km,,,,citation311,grant,7/15/2016
1206,Ardea intermedia,wingspan,,,,cm,,,,citation311,grant,7/15/2016
1207,Ardea intermedia,max age,,,,yrs,,,,citation311,grant,7/15/2016
1208,Ardea intermedia,annual survival,,,,%,,,,citation311,grant,7/15/2016
1209,Ardea intermedia,foraging distance,,,,km,,,,citation311,grant,7/15/2016
1210,Ardea melanocephala,female mass,,,,Kg,,,,citation311,grant,7/15/2016
1211,Ardea melanocephala,male mass,,,,Kg,,,,citation311,grant,7/15/2016
1212,Ardea melanocephala,culmen,,,,mm,,,,citation311,grant,7/15/2016
1213,Ardea melanocephala,tarsus,,,,mm,,,,citation311,grant,7/15/2016
1214,Ardea melanocephala,tail,,,,mm,,,,citation311,grant,7/15/2016
1215,Ardea melanocephala,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1216,Ardea melanocephala,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1217,Ardea melanocephala,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
1218,Ardea melanocephala,clutch size,,,,N/A,,,,citation311,grant,7/15/2016
1219,Ardea melanocephala,egg mass,,,,g,,,,citation311,grant,7/15/2016
1220,Ardea melanocephala,incubation period,,,,d,,,,citation311,grant,7/15/2016
1221,Ardea melanocephala,fledging period,,,,d,,,,citation311,grant,7/15/2016
1222,Ardea melanocephala,reproductive success,,,,%,,,,citation311,grant,7/15/2016
1223,Ardea melanocephala,hatching success,,,,%,,,,citation311,grant,7/15/2016
1224,Ardea melanocephala,fledging success,,,,%,,,,citation311,grant,7/15/2016
1225,Ardea melanocephala,max growth,,,,g/d,,,,citation311,grant,7/15/2016
1226,Ardea melanocephala,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
1227,Ardea melanocephala,post fledge care,,,,d,,,,citation311,grant,7/15/2016
1228,Ardea melanocephala,fledgling mass,,,,g,,,,citation311,grant,7/15/2016
1229,Ardea melanocephala,ratio fledgling to adult,,,,%,,,,citation311,grant,7/15/2016
1230,Ardea melanocephala,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
1231,Ardea melanocephala,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
1232,Ardea melanocephala,first year survival,,,,%,,,,citation311,grant,7/15/2016
1233,Ardea melanocephala,second year survival,,,,%,,,,citation311,grant,7/15/2016
1234,Ardea melanocephala,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
1235,Ardea melanocephala,age first breed,,,,yrs,,,,citation311,grant,7/15/2016
1236,Ardea melanocephala,migration distance,,,,km,,,,citation311,grant,7/15/2016
1237,Ardea melanocephala,wingspan,,,,cm,,,,citation311,grant,7/15/2016
1238,Ardea melanocephala,max age,,,,yrs,,,,citation311,grant,7/15/2016
1239,Ardea melanocephala,annual survival,,,,%,,,,citation311,grant,7/15/2016
1240,Ardea melanocephala,foraging distance,,,,km,,,,citation311,grant,7/15/2016
1241,Ardea pacifica,female mass,,,,Kg,,,,citation311,grant,7/15/2016
1242,Ardea pacifica,male mass,,,,Kg,,,,citation311,grant,7/15/2016
1243,Ardea pacifica,culmen,,,,mm,,,,citation311,grant,7/15/2016
1244,Ardea pacifica,tarsus,,,,mm,,,,citation311,grant,7/15/2016
1245,Ardea pacifica,tail,,,,mm,,,,citation311,grant,7/15/2016
1246,Ardea pacifica,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1247,Ardea pacifica,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1248,Ardea pacifica,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
1249,Ardea pacifica,clutch size,,,,N/A,,,,citation311,grant,7/15/2016
1250,Ardea pacifica,egg mass,,,,g,,,,citation311,grant,7/15/2016
1251,Ardea pacifica,incubation period,,,,d,,,,citation311,grant,7/15/2016
1252,Ardea pacifica,fledging period,,,,d,,,,citation311,grant,7/15/2016
1253,Ardea pacifica,reproductive success,,,,%,,,,citation311,grant,7/15/2016
1254,Ardea pacifica,hatching success,,,,%,,,,citation311,grant,7/15/2016
1255,Ardea pacifica,fledging success,,,,%,,,,citation311,grant,7/15/2016
1256,Ardea pacifica,max growth,,,,g/d,,,,citation311,grant,7/15/2016
1257,Ardea pacifica,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
1258,Ardea pacifica,post fledge care,,,,d,,,,citation311,grant,7/15/2016
1259,Ardea pacifica,fledgling mass,,,,g,,,,citation311,grant,7/15/2016
1260,Ardea pacifica,ratio fledgling to adult,,,,%,,,,citation311,grant,7/15/2016
1261,Ardea pacifica,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
1262,Ardea pacifica,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
1263,Ardea pacifica,first year survival,,,,%,,,,citation311,grant,7/15/2016
1264,Ardea pacifica,second year survival,,,,%,,,,citation311,grant,7/15/2016
1265,Ardea pacifica,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
1266,Ardea pacifica,age first breed,,,,yrs,,,,citation311,grant,7/15/2016
1267,Ardea pacifica,migration distance,,,,km,,,,citation311,grant,7/15/2016
1268,Ardea pacifica,wingspan,,,,cm,,,,citation311,grant,7/15/2016
1269,Ardea pacifica,max age,,,,yrs,,,,citation311,grant,7/15/2016
1270,Ardea pacifica,annual survival,,,,%,,,,citation311,grant,7/15/2016
1271,Ardea pacifica,foraging distance,,,,km,,,,citation311,grant,7/15/2016
1272,Ardea plumifera,female mass,,,,Kg,,,,citation311,grant,7/15/2016
1273,Ardea plumifera,male mass,,,,Kg,,,,citation311,grant,7/15/2016
1274,Ardea plumifera,culmen,,,,mm,,,,citation311,grant,7/15/2016
1275,Ardea plumifera,tarsus,,,,mm,,,,citation311,grant,7/15/2016
1276,Ardea plumifera,tail,,,,mm,,,,citation311,grant,7/15/2016
1277,Ardea plumifera,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1278,Ardea plumifera,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1279,Ardea plumifera,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
1280,Ardea plumifera,clutch size,,,,N/A,,,,citation311,grant,7/15/2016
1281,Ardea plumifera,egg mass,,,,g,,,,citation311,grant,7/15/2016
1282,Ardea plumifera,incubation period,,,,d,,,,citation311,grant,7/15/2016
1283,Ardea plumifera,fledging period,,,,d,,,,citation311,grant,7/15/2016
1284,Ardea plumifera,reproductive success,,,,%,,,,citation311,grant,7/15/2016
1285,Ardea plumifera,hatching success,,,,%,,,,citation311,grant,7/15/2016
1286,Ardea plumifera,fledging success,,,,%,,,,citation311,grant,7/15/2016
1287,Ardea plumifera,max growth,,,,g/d,,,,citation311,grant,7/15/2016
1288,Ardea plumifera,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
1289,Ardea plumifera,post fledge care,,,,d,,,,citation311,grant,7/15/2016
1290,Ardea plumifera,fledgling mass,,,,g,,,,citation311,grant,7/15/2016
1291,Ardea plumifera,ratio fledgling to adult,,,,%,,,,citation311,grant,7/15/2016
1292,Ardea plumifera,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
1293,Ardea plumifera,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
1294,Ardea plumifera,first year survival,,,,%,,,,citation311,grant,7/15/2016
1295,Ardea plumifera,second year survival,,,,%,,,,citation311,grant,7/15/2016
1296,Ardea plumifera,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
1297,Ardea plumifera,age first breed,,,,yrs,,,,citation311,grant,7/15/2016
1298,Ardea plumifera,migration distance,,,,km,,,,citation311,grant,7/15/2016
1299,Ardea plumifera,wingspan,,,,cm,,,,citation311,grant,7/15/2016
1300,Ardea plumifera,max age,,,,yrs,,,,citation311,grant,7/15/2016
1301,Ardea plumifera,annual survival,,,,%,,,,citation311,grant,7/15/2016
1302,Ardea plumifera,foraging distance,,,,km,,,,citation311,grant,7/15/2016
1303,Ardea purpurea,female mass,,,,Kg,,,,citation311,grant,7/15/2016
1304,Ardea purpurea,male mass,,,,Kg,,,,citation311,grant,7/15/2016
1305,Ardea purpurea,culmen,,,,mm,,,,citation311,grant,7/15/2016
1306,Ardea purpurea,tarsus,,,,mm,,,,citation311,grant,7/15/2016
1307,Ardea purpurea,tail,,,,mm,,,,citation311,grant,7/15/2016
1308,Ardea purpurea,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1309,Ardea purpurea,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1310,Ardea purpurea,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
1311,Ardea purpurea,clutch size,,,,N/A,,,,citation311,grant,7/15/2016
1312,Ardea purpurea,egg mass,,,,g,,,,citation311,grant,7/15/2016
1313,Ardea purpurea,incubation period,,,,d,,,,citation311,grant,7/15/2016
1314,Ardea purpurea,fledging period,,,,d,,,,citation311,grant,7/15/2016
1315,Ardea purpurea,reproductive success,,,,%,,,,citation311,grant,7/15/2016
1316,Ardea purpurea,hatching success,,,,%,,,,citation311,grant,7/15/2016
1317,Ardea purpurea,fledging success,,,,%,,,,citation311,grant,7/15/2016
1318,Ardea purpurea,max growth,,,,g/d,,,,citation311,grant,7/15/2016
1319,Ardea purpurea,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
1320,Ardea purpurea,post fledge care,,,,d,,,,citation311,grant,7/15/2016
1321,Ardea purpurea,fledgling mass,,,,g,,,,citation311,grant,7/15/2016
1322,Ardea purpurea,ratio fledgling to adult,,,,%,,,,citation311,grant,7/15/2016
1323,Ardea purpurea,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
1324,Ardea purpurea,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
1325,Ardea purpurea,first year survival,,,,%,,,,citation311,grant,7/15/2016
1326,Ardea purpurea,second year survival,,,,%,,,,citation311,grant,7/15/2016
1327,Ardea purpurea,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
1328,Ardea purpurea,age first breed,,,,yrs,,,,citation311,grant,7/15/2016
1329,Ardea purpurea,migration distance,,,,km,,,,citation311,grant,7/15/2016
1330,Ardea purpurea,wingspan,,,,cm,,,,citation311,grant,7/15/2016
1331,Ardea purpurea,max age,,,,yrs,,,,citation311,grant,7/15/2016
1332,Ardea purpurea,annual survival,,,,%,,,,citation311,grant,7/15/2016
1333,Ardea purpurea,foraging distance,,,,km,,,,citation311,grant,7/15/2016
1334,Ardea sumatrana,female mass,,,,Kg,,,,citation311,grant,7/15/2016
1335,Ardea sumatrana,male mass,,,,Kg,,,,citation311,grant,7/15/2016
1336,Ardea sumatrana,culmen,,,,mm,,,,citation311,grant,7/15/2016
1337,Ardea sumatrana,tarsus,,,,mm,,,,citation311,grant,7/15/2016
1338,Ardea sumatrana,tail,,,,mm,,,,citation311,grant,7/15/2016
1339,Ardea sumatrana,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1340,Ardea sumatrana,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1341,Ardea sumatrana,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
1342,Ardea sumatrana,clutch size,,,,N/A,,,,citation311,grant,7/15/2016
1343,Ardea sumatrana,egg mass,,,,g,,,,citation311,grant,7/15/2016
1344,Ardea sumatrana,incubation period,,,,d,,,,citation311,grant,7/15/2016
1345,Ardea sumatrana,fledging period,,,,d,,,,citation311,grant,7/15/2016
1346,Ardea sumatrana,reproductive success,,,,%,,,,citation311,grant,7/15/2016
1347,Ardea sumatrana,hatching success,,,,%,,,,citation311,grant,7/15/2016
1348,Ardea sumatrana,fledging success,,,,%,,,,citation311,grant,7/15/2016
1349,Ardea sumatrana,max growth,,,,g/d,,,,citation311,grant,7/15/2016
1350,Ardea sumatrana,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
1351,Ardea sumatrana,post fledge care,,,,d,,,,citation311,grant,7/15/2016
1352,Ardea sumatrana,fledgling mass,,,,g,,,,citation311,grant,7/15/2016
1353,Ardea sumatrana,ratio fledgling to adult,,,,%,,,,citation311,grant,7/15/2016
1354,Ardea sumatrana,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
1355,Ardea sumatrana,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
1356,Ardea sumatrana,first year survival,,,,%,,,,citation311,grant,7/15/2016
1357,Ardea sumatrana,second year survival,,,,%,,,,citation311,grant,7/15/2016
1358,Ardea sumatrana,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
1359,Ardea sumatrana,age first breed,,,,yrs,,,,citation311,grant,7/15/2016
1360,Ardea sumatrana,migration distance,,,,km,,,,citation311,grant,7/15/2016
1361,Ardea sumatrana,wingspan,,,,cm,,,,citation311,grant,7/15/2016
1362,Ardea sumatrana,max age,,,,yrs,,,,citation311,grant,7/15/2016
1363,Ardea sumatrana,annual survival,,,,%,,,,citation311,grant,7/15/2016
1364,Ardea sumatrana,foraging distance,,,,km,,,,citation311,grant,7/15/2016
1365,Ardeola bacchus,female mass,,,,Kg,,,,citation311,grant,7/15/2016
1366,Ardeola bacchus,male mass,,,,Kg,,,,citation311,grant,7/15/2016
1367,Ardeola bacchus,culmen,,,,mm,,,,citation311,grant,7/15/2016
1368,Ardeola bacchus,tarsus,,,,mm,,,,citation311,grant,7/15/2016
1369,Ardeola bacchus,tail,,,,mm,,,,citation311,grant,7/15/2016
1370,Ardeola bacchus,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1371,Ardeola bacchus,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1372,Ardeola bacchus,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
1373,Ardeola bacchus,clutch size,,,,N/A,,,,citation311,grant,7/15/2016
1374,Ardeola bacchus,egg mass,,,,g,,,,citation311,grant,7/15/2016
1375,Ardeola bacchus,incubation period,,,,d,,,,citation311,grant,7/15/2016
1376,Ardeola bacchus,fledging period,,,,d,,,,citation311,grant,7/15/2016
1377,Ardeola bacchus,reproductive success,,,,%,,,,citation311,grant,7/15/2016
1378,Ardeola bacchus,hatching success,,,,%,,,,citation311,grant,7/15/2016
1379,Ardeola bacchus,fledging success,,,,%,,,,citation311,grant,7/15/2016
1380,Ardeola bacchus,max growth,,,,g/d,,,,citation311,grant,7/15/2016
1381,Ardeola bacchus,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
1382,Ardeola bacchus,post fledge care,,,,d,,,,citation311,grant,7/15/2016
1383,Ardeola bacchus,fledgling mass,,,,g,,,,citation311,grant,7/15/2016
1384,Ardeola bacchus,ratio fledgling to adult,,,,%,,,,citation311,grant,7/15/2016
1385,Ardeola bacchus,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
1386,Ardeola bacchus,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
1387,Ardeola bacchus,first year survival,,,,%,,,,citation311,grant,7/15/2016
1388,Ardeola bacchus,second year survival,,,,%,,,,citation311,grant,7/15/2016
1389,Ardeola bacchus,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
1390,Ardeola bacchus,age first breed,,,,yrs,,,,citation311,grant,7/15/2016
1391,Ardeola bacchus,migration distance,,,,km,,,,citation311,grant,7/15/2016
1392,Ardeola bacchus,wingspan,,,,cm,,,,citation311,grant,7/15/2016
1393,Ardeola bacchus,max age,,,,yrs,,,,citation311,grant,7/15/2016
1394,Ardeola bacchus,annual survival,,,,%,,,,citation311,grant,7/15/2016
1395,Ardeola bacchus,foraging distance,,,,km,,,,citation311,grant,7/15/2016
1396,Ardeola grayii,female mass,,,,Kg,,,,citation311,grant,7/15/2016
1397,Ardeola grayii,male mass,,,,Kg,,,,citation311,grant,7/15/2016
1398,Ardeola grayii,culmen,,,,mm,,,,citation311,grant,7/15/2016
1399,Ardeola grayii,tarsus,,,,mm,,,,citation311,grant,7/15/2016
1400,Ardeola grayii,tail,,,,mm,,,,citation311,grant,7/15/2016
1401,Ardeola grayii,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1402,Ardeola grayii,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1403,Ardeola grayii,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
1404,Ardeola grayii,clutch size,,,,N/A,,,,citation311,grant,7/15/2016
1405,Ardeola grayii,egg mass,,,,g,,,,citation311,grant,7/15/2016
1406,Ardeola grayii,incubation period,,,,d,,,,citation311,grant,7/15/2016
1407,Ardeola grayii,fledging period,,,,d,,,,citation311,grant,7/15/2016
1408,Ardeola grayii,reproductive success,,,,%,,,,citation311,grant,7/15/2016
1409,Ardeola grayii,hatching success,,,,%,,,,citation311,grant,7/15/2016
1410,Ardeola grayii,fledging success,,,,%,,,,citation311,grant,7/15/2016
1411,Ardeola grayii,max growth,,,,g/d,,,,citation311,grant,7/15/2016
1412,Ardeola grayii,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
1413,Ardeola grayii,post fledge care,,,,d,,,,citation311,grant,7/15/2016
1414,Ardeola grayii,fledgling mass,,,,g,,,,citation311,grant,7/15/2016
1415,Ardeola grayii,ratio fledgling to adult,,,,%,,,,citation311,grant,7/15/2016
1416,Ardeola grayii,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
1417,Ardeola grayii,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
1418,Ardeola grayii,first year survival,,,,%,,,,citation311,grant,7/15/2016
1419,Ardeola grayii,second year survival,,,,%,,,,citation311,grant,7/15/2016
1420,Ardeola grayii,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
1421,Ardeola grayii,age first breed,,,,yrs,,,,citation311,grant,7/15/2016
1422,Ardeola grayii,migration distance,,,,km,,,,citation311,grant,7/15/2016
1423,Ardeola grayii,wingspan,,,,cm,,,,citation311,grant,7/15/2016
1424,Ardeola grayii,max age,,,,yrs,,,,citation311,grant,7/15/2016
1425,Ardeola grayii,annual survival,,,,%,,,,citation311,grant,7/15/2016
1426,Ardeola grayii,foraging distance,,,,km,,,,citation311,grant,7/15/2016
1427,Ardeola idae,female mass,,,,Kg,,,,citation311,grant,7/15/2016
1428,Ardeola idae,male mass,,,,Kg,,,,citation311,grant,7/15/2016
1429,Ardeola idae,culmen,,,,mm,,,,citation311,grant,7/15/2016
1430,Ardeola idae,tarsus,,,,mm,,,,citation311,grant,7/15/2016
1431,Ardeola idae,tail,,,,mm,,,,citation311,grant,7/15/2016
1432,Ardeola idae,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1433,Ardeola idae,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1434,Ardeola idae,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
1435,Ardeola idae,clutch size,,,,N/A,,,,citation311,grant,7/15/2016
1436,Ardeola idae,egg mass,,,,g,,,,citation311,grant,7/15/2016
1437,Ardeola idae,incubation period,,,,d,,,,citation311,grant,7/15/2016
1438,Ardeola idae,fledging period,,,,d,,,,citation311,grant,7/15/2016
1439,Ardeola idae,reproductive success,,,,%,,,,citation311,grant,7/15/2016
1440,Ardeola idae,hatching success,,,,%,,,,citation311,grant,7/15/2016
1441,Ardeola idae,fledging success,,,,%,,,,citation311,grant,7/15/2016
1442,Ardeola idae,max growth,,,,g/d,,,,citation311,grant,7/15/2016
1443,Ardeola idae,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
1444,Ardeola idae,post fledge care,,,,d,,,,citation311,grant,7/15/2016
1445,Ardeola idae,fledgling mass,,,,g,,,,citation311,grant,7/15/2016
1446,Ardeola idae,ratio fledgling to adult,,,,%,,,,citation311,grant,7/15/2016
1447,Ardeola idae,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
1448,Ardeola idae,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
1449,Ardeola idae,first year survival,,,,%,,,,citation311,grant,7/15/2016
1450,Ardeola idae,second year survival,,,,%,,,,citation311,grant,7/15/2016
1451,Ardeola idae,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
1452,Ardeola idae,age first breed,,,,yrs,,,,citation311,grant,7/15/2016
1453,Ardeola idae,migration distance,,,,km,,,,citation311,grant,7/15/2016
1454,Ardeola idae,wingspan,,,,cm,,,,citation311,grant,7/15/2016
1455,Ardeola idae,max age,,,,yrs,,,,citation311,grant,7/15/2016
1456,Ardeola idae,annual survival,,,,%,,,,citation311,grant,7/15/2016
1457,Ardeola idae,foraging distance,,,,km,,,,citation311,grant,7/15/2016
1458,Ardeola ralloides,female mass,,,,Kg,,,,citation311,grant,7/15/2016
1459,Ardeola ralloides,male mass,,,,Kg,,,,citation311,grant,7/15/2016
1460,Ardeola ralloides,culmen,,,,mm,,,,citation311,grant,7/15/2016
1461,Ardeola ralloides,tarsus,,,,mm,,,,citation311,grant,7/15/2016
1462,Ardeola ralloides,tail,,,,mm,,,,citation311,grant,7/15/2016
1463,Ardeola ralloides,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1464,Ardeola ralloides,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
1465,Ardeola ralloides,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
1466,Ardeola ralloides,clutch size,,,,N/A,,,,citation311,grant,7/15/2016
1467,Ardeola ralloides,egg mass,,,,g,,,,citation311,grant,7/15/2016
1468,Ardeola ralloides,incubation period,,,,d,,,,citation311,grant,7/15/2016
1469,Ardeola ralloides,fledging period,,,,d,,,,citation311,grant,7/15/2016
1470,Ardeola ralloides,reproductive success,,,,%,,,,citation311,grant,7/15/2016
1471,Ardeola ralloides,hatching success,,,,%,,,,citation311,grant,7/15/2016
1472,Ardeola ralloides,fledging success,,,,%,,,,citation311,grant,7/15/2016
1473,Ardeola ralloides,max growth,,,,g/d,,,,citation311,grant,7/15/2016
1474,Ardeola ralloides,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
1475,Ardeola ralloides,post fledge care,,,,d,,,,citation311,grant,7/15/2016
1476,Ardeola ralloides,fledgling mass,,,,g,,,,citation311,grant,7/15/2016
1477,Ardeola ralloides,ratio fledgling to adult,,,,%,,,,citation311,grant,7/15/2016
1478,Ardeola ralloides,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
1479,Ardeola ralloides,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
1480,Ardeola ralloides,first year survival,,,,%,,,,citation311,grant,7/15/2016
1481,Ardeola ralloides,second year survival,,,,%,,,,citation311,grant,7/15/2016
1482,Ardeola ralloides,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
1483,Ardeola ralloides,age first breed,,,,yrs,,,,citation311,grant,7/15/2016
1484,Ardeola ralloides,migration distance,,,,km,,,,citation311,grant,7/15/2016
1485,Ardeola ralloides,wingspan,,,,cm,,,,citation311,grant,7/15/2016
