cnid,species_id,common_name_id,common_name
930,Theristicus branickii,1,Andean Ibis
931,Theristicus caerulescens,1,Plumbeous Ibis
932,Theristicus caudatus,1,Buff-necked Ibis
933,Theristicus melanopis,1,Black-faced Ibis
934,Threskiornis aethiopicus,1,African Sacred Ibis
935,Threskiornis aethiopicus,2,Sacred Ibis
936,Threskiornis bernieri,1,Madagascar Sacred Ibis
937,Threskiornis melanocephalus,1,Black-headed Ibis
938,Threskiornis moluccus,1,Australian Ibis
939,Threskiornis moluccus,2,Australian White Ibis
940,Threskiornis moluccus,3,White Ibis
941,Threskiornis solitarius,1,Reunion Ibis
942,Threskiornis solitarius,2,Reunion Flightless Ibis
943,Threskiornis solitarius,3,Reunion Solitaire
944,Threskiornis spinicollis,1,Straw-necked Ibis
945,Ortyxelos meiffrenii,1,Quail-plover
946,Turnix castanotus,1,Chestnut-backed Buttonquail
947,Turnix castanotus,2,Chestnut-backed Button-quail
948,Turnix everetti,1,Sumba Buttonquail
949,Turnix hottentottus,1,Hottentot Buttonquail
950,Turnix hottentottus,2,Black-rumped Buttonquail
951,Turnix maculosus,1,Red-backed Buttonquail
952,Turnix melanogaster,1,Black-breasted Buttonquail
953,Turnix nanus,1,Black-rumped Buttonquail
954,Turnix nigricollis,1,Madagascar Buttonquail
955,Turnix novaecaledoniae,1,New Caledonian Buttonquail
956,Turnix ocellatus,1,Spotted Buttonquail
957,Turnix olivii,1,Buff-breasted Buttonquail
958,Turnix pyrrhothorax,1,Red-chested Buttonquail
959,Turnix suscitator,1,Barred Buttonquail
960,Turnix sylvaticus,1,Common Buttonquail
961,Turnix sylvaticus,2,Kurrichane Buttonquail
962,Turnix sylvaticus,3,Andalusian Hemipode
963,Turnix tanki,1,Yellow-legged Buttonquail
964,Turnix varius,1,Painted Buttonquail
965,Turnix velox,1,Little Buttonquail
966,Turnix worcesteri,1,Luzon Buttonquail
967,Turnix worcesteri,2,Worcester's Buttonquail
