feature_id,species_id,female_mass_mean,female_mass_upper,female_mass_lower,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,clutch_size_mean,clutch_size_lower,clutch_size_upper,clutch_size_uncertainty,clutch_interval,incubation_mean,incubation_period_lower,incubation_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,mate_fidelity,site_fidelity,coloniality,citation,username,dt
1,Ptychoramphusaleuticus,0.19,,,,0.19,,,,1,,,,D,39,37,57,,46,41,50,,,,,,0,,,,3,1,4,,"NS,OS",44,,,,16,,,,75,,,,,,,,grant,27/06/2016
2,Synthliboramphusantiquus,0.206,,,,0.206,,,,2,1,2,,,32.7,29,37,,2,1,4,,,,,,30,,,,3,2,4,,"NS,OS",45,,,,,,,,77,,,,,,,,grant,27/06/2016
3,Cepphuscolumba,,0.45,0.55,,,0.45,0.55,,2,1,2,,,29,26,32,,40,35,54,,,10,20,,0,,,,3,,,,NS,58,,,,14,,,,80,,,,,,,,grant,27/06/2016
4,Aethiapusilla,0.084,,,,0.084,,,,1,,,,,30.1,25,39,,28.6,,,,6,,,,0,,,,3,,,,"NS,OS",33,,,,,,,,80.8,,,,,,,,grant,27/06/2016
5,Cepphusgrylle,0.43,0.3,0.53,,0.43,0.37,0.5,,2,,,,,29,,,,36.5,34,39,,13.8,,,,0,,,,3,3,4,,NS,,,,,13,,,,87,,,,,,,,grant,27/06/2016
6,Aethiacristatella,0.26,,,,0.26,,,,1,,,,,33.8,29,40,,33.2,27,36,,,11,13,,0,,,,3,,,,"NS,OS",48,,,,,,,,89,,,,,,,,grant,27/06/2016
7,Fraterculaarctica,0.51,0.31,0.27,,0.48,0.31,0.57,,1,,,,,42,,,,39,,,,11.2,,,,0,,,,6,,,,"NS,OS",55,,,,32,,,,94.2,,,,,,,,grant,27/06/2016
8,Uriaaalge,1.1,0.87,1.3,,1,0.83,1.3,,1,,,,,33,,,,21.5,18,25,,11.4,,,,,,,yes,(4-5),4,5,,"NS,OS",73,,,,26,,,,,87,95,,,,,,grant,27/06/2016
9,Alcatorda,0.72,,,,0.72,,,,1,,,,,35,,,,22.5,15,30,,12.3,,,,,,,,4,4,5,,NS,66,,,,,,,,,88,90,,,,,,grant,27/06/2016
10,Urialomvia,1,0.76,1.2,,0.99,0.84,1.2,,1,,,,,33,31,36,,22.5,15,30,,11.5,,,,,30,60,,4,4,5,,"NS,OS",,,,,29,,,,,89,90,,,,,,grant,27/06/2016
11,Cerorhincamonocerata,0.456,,,,0.51,,,,1,,,,,44.9,39,52,,,50,60,,10,,,,0,,,,3,,,,"NS,OS",62,,,,10,,,,,,,,,,,,grant,27/06/2016
12,Synthliboramphushypoleucus,0.17,,,,0.17,,,,2,1,2,,,34,27,44,,2,1,4,,,,,,,,,yes,3,2,3,,OS,42,,,,15,,,,,,,,,,,,grant,27/06/2016
13,Synthliboramphuscraveri,0.15,,,,0.15,,,,2,,,,,,,,,2,,,,,,,,,,,yes,,,,,,41,,,,,,,,,,,,,,,,grant,27/06/2016
14,Brachyramphusmarmoratus,0.22,,,,0.22,,,,1,,,,,29,,,,33.5,27,40,,,,,,,,,,3,,,,"NS,OS",44,,,,,,,,,,,,,,,,grant,27/06/2016
15,Aethiapsittacula,0.26,,,,0.26,,,,1,,,,,35,,,,35,,,,10.6,,,,0,,,,,,,,,50,,,,,,,,,,,,,,,,grant,27/06/2016
16,Fraterculacorniculata,0.62,,,,0.62,,,,1,,,,,,,,,38,,,,11.1,,,,0,,,,,,,,OS,61,,,,,,,,,,,,,,,,grant,27/06/2016
17,Fraterculacirrhata,0.78,,,,0.78,,,,1,,,,,,,,,,47,55,,16.1,,,,,,,,,,,,OS,66,,,,,,,,,,,,,,,,grant,27/06/2016
18,Aethiapygmaea,0.12,,,,0.12,,,,1,,,,,35.5,,,,40.5,39,42,,,,,,,,,,3,,,,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
19,Allealle,0.16,,,,0.16,,,,1,,,,,29,,,,27.5,,,,6.5,,,,0,,,,5,,,,"NS,OS",,,,,,,,,,,,,,,,,grant,27/06/2016
20,Pinguinusimpennis,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
21,Brachyramphusperdix,,,,,,,,,1,,,,,,,,,,27,40,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
22,Brachyramphusbrevirostris,,0.224,0.243,,,0.224,0.243,,1,,,,,30,,,?,24,,,?,,,,,,,,?,,,,,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
