Order,Family,Genus,Species,Synonyms,Common_names
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,acuminata,,Sharp-tailed Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,alba,,Sanderling
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,alpina,,Dunlin
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,bairdii,,Baird's Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,canutus,,"Red Knot, Knot, Lesser Knot"
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,falcinellus,Limicola falcinellus,Broad-billed Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,ferruginea,,Curlew Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,fuscicollis,Calidris fusicollis ,White-rumped Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,himantopus,Micropalama himantopus |Micropalama himantopus |Micropalama himantopus |Micropalama himantopus |Micropalama himantopus himantopus,Stilt Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,maritima,,Purple Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,mauri,,Western Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,melanotos,,Pectoral Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,minuta,,Little Stint
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,minutilla,,Least Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,ptilocnemis,,Rock Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,pugnax,Philomachus pugnax,Ruff
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,pusilla,,Semipalmated Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,pygmaea,Eurynorhynchus pygmeus,"Spoon-billed Sandpiper, Spoonbill Sandpiper"
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,ruficollis,,"Red-necked Stint, Rufous-necked Stint"
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,subminuta,,Long-toed Stint
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,subruficollis,Tryngites subruficollis,Buff-breasted Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,temminckii,,Temminck's Stint
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,tenuirostris,,Great Knot
CHARADRIIFORMES,SCOLOPACIDAE,Calidris,virgata,Aphriza virgata,Surfbird
CHARADRIIFORMES,SCOLOPACIDAE,Coenocorypha,aucklandica,,"Auckland Snipe, New Zealand Snipe, Subantarctic Snipe"
CHARADRIIFORMES,SCOLOPACIDAE,Coenocorypha,barrierensis,,North Island Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Coenocorypha,huegeli,,Snares Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Coenocorypha,iredalei,,South Island Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Coenocorypha,pusilla,,"Chatham Snipe, Chatham Islands Snipe, Chatham Island Snipe"
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,andina,,Puna Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,delicata,,Wilson's Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,gallinago,,Common Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,hardwickii,,"Latham's Snipe, Japanese Snipe"
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,imperialis,,Imperial Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,jamesoni,,Andean Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,macrodactyla,,Madagascar Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,media,,Great Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,megala,,Swinhoe's Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,nemoricola,,Wood Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,nigripennis,,"African Snipe, Ethiopian Snipe"
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,nobilis,,Noble Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,paraguaiae,,South American Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,solitaria,,Solitary Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,stenura,,"Pintail Snipe, Pin-tailed Snipe"
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,stricklandii,,Fuegian Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,undulata,,Giant Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Limnodromus,griseus,,Short-billed Dowitcher
CHARADRIIFORMES,SCOLOPACIDAE,Limnodromus,scolopaceus,,Long-billed Dowitcher
CHARADRIIFORMES,SCOLOPACIDAE,Limnodromus,semipalmatus,,"Asian Dowitcher, Asiatic Dowitcher"
CHARADRIIFORMES,SCOLOPACIDAE,Limosa,fedoa,,Marbled Godwit
CHARADRIIFORMES,SCOLOPACIDAE,Limosa,haemastica,,Hudsonian Godwit
CHARADRIIFORMES,SCOLOPACIDAE,Limosa,lapponica,,Bar-tailed Godwit
CHARADRIIFORMES,SCOLOPACIDAE,Limosa,limosa,,Black-tailed Godwit
CHARADRIIFORMES,SCOLOPACIDAE,Lymnocryptes,minimus,,Jack Snipe
CHARADRIIFORMES,SCOLOPACIDAE,Numenius,americanus,,Long-billed Curlew
CHARADRIIFORMES,SCOLOPACIDAE,Numenius,arquata,,"Eurasian Curlew, Curlew"
CHARADRIIFORMES,SCOLOPACIDAE,Numenius,borealis,,Eskimo Curlew
CHARADRIIFORMES,SCOLOPACIDAE,Numenius,madagascariensis,,"Far Eastern Curlew, Eastern Curlew"
CHARADRIIFORMES,SCOLOPACIDAE,Numenius,minutus,,"Little Curlew, Little Whimbrel"
CHARADRIIFORMES,SCOLOPACIDAE,Numenius,phaeopus,,Whimbrel
CHARADRIIFORMES,SCOLOPACIDAE,Numenius,tahitiensis,,Bristle-thighed Curlew
CHARADRIIFORMES,SCOLOPACIDAE,Numenius,tenuirostris,,Slender-billed Curlew
CHARADRIIFORMES,SCOLOPACIDAE,Phalaropus,fulicarius,Phalaropus fulicaria fulicaria|Phalaropus fulicaria fulicaria|Phalaropus fulicaria fulicaria,"Red Phalarope, Grey Phalarope, Grey (Red) Phalarope"
CHARADRIIFORMES,SCOLOPACIDAE,Phalaropus,lobatus,,Red-necked Phalarope
CHARADRIIFORMES,SCOLOPACIDAE,Prosobonia,cancellata,,Christmas Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Prosobonia,ellisi,,Moorea Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Prosobonia,leucoptera,,"Tahiti Sandpiper, Tahiti Sandpiper"
CHARADRIIFORMES,SCOLOPACIDAE,Prosobonia,parvirostris,,Tuamotu Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Scolopax,bukidnonensis,,"Bukidnon Woodcock, Bukidnon Woodcock"
CHARADRIIFORMES,SCOLOPACIDAE,Scolopax,celebensis,,Sulawesi Woodcock
CHARADRIIFORMES,SCOLOPACIDAE,Scolopax,minor,,American Woodcock
CHARADRIIFORMES,SCOLOPACIDAE,Scolopax,mira,,"Amami Woodcock, Amami Woodcock"
CHARADRIIFORMES,SCOLOPACIDAE,Scolopax,rochussenii,,"Moluccan Woodcock, Obi Woodcock"
CHARADRIIFORMES,SCOLOPACIDAE,Scolopax,rosenbergii,,"New Guinea Woodcock, New Guniea Woodcock"
CHARADRIIFORMES,SCOLOPACIDAE,Scolopax,rusticola,,"Eurasian Woodcock, Woodcock"
CHARADRIIFORMES,SCOLOPACIDAE,Scolopax,saturata,,Javan Woodcock
CHARADRIIFORMES,SCOLOPACIDAE,Steganopus,tricolor,Phalaropus tricolor |Phalaropus tricolor |Phalaropus tricolor tricolor|Phalaropus tricolor tricolor|Phalaropus tricolor tricolor|Phalaropus tricolor tricolor,Wilson's Phalarope
CHARADRIIFORMES,SCOLOPACIDAE,Tringa,brevipes,Heteroscelus brevipes|Tringa brevipes|Tringa brevipes|Tringa brevipes|Tringa brevipes,"Grey-tailed Tattler, Siberian (Grey-tailed) Tattler, Gray-tailed Tattler"
CHARADRIIFORMES,SCOLOPACIDAE,Tringa,erythropus,,Spotted Redshank
CHARADRIIFORMES,SCOLOPACIDAE,Tringa,flavipes,,Lesser Yellowlegs
CHARADRIIFORMES,SCOLOPACIDAE,Tringa,glareola,,Wood Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Tringa,guttifer,,"Spotted Greenshank, Nordmann's Greenshank, Nordmann's Greenshank"
CHARADRIIFORMES,SCOLOPACIDAE,Tringa,incana,Heteroscelus incanus|Tringa incana|Tringa incana|Tringa incana|Tringa incana,"Wandering Tattler, Wandering (Alaskan) Tattler"
CHARADRIIFORMES,SCOLOPACIDAE,Tringa,melanoleuca,,Greater Yellowlegs
CHARADRIIFORMES,SCOLOPACIDAE,Tringa,nebularia,,"Common Greenshank, Greenshank"
CHARADRIIFORMES,SCOLOPACIDAE,Tringa,ochropus,,Green Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Tringa,semipalmata,Catoptrophorus semipalmatus|Tringa semipalmata,Willet
CHARADRIIFORMES,SCOLOPACIDAE,Tringa,solitaria,,Solitary Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Tringa,stagnatilis,,Marsh Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Tringa,totanus,,"Common Redshank, Redshank"
CHARADRIIFORMES,SCOLOPACIDAE,Xenus,cinereus,Tringa cinerea cinerea|Tringa cinerea cinerea|Tringa terek terek,Terek Sandpiper
CHARADRIIFORMES,STERCORARIIDAE,Catharacta,antarctica,Catharacta lonnbergi|Stercorarius lonnbergi,Brown Skua
CHARADRIIFORMES,STERCORARIIDAE,Catharacta,chilensis,Stercorarius chilensis,Chilean Skua
CHARADRIIFORMES,STERCORARIIDAE,Catharacta,maccormicki,Stercorarius maccormicki|Stercorarius maccormicki maccormicki|Stercorarius maccormicki maccormicki,South Polar Skua
CHARADRIIFORMES,STERCORARIIDAE,Catharacta,skua,Stercorarius skua|Stercorarius skua skua|Stercorarius skua skua,Great Skua
CHARADRIIFORMES,STERCORARIIDAE,Stercorarius,longicaudus,,"Long-tailed Jaeger, Long-tailed Skua"
CHARADRIIFORMES,STERCORARIIDAE,Stercorarius,parasiticus,,"Arctic Jaeger, Arctic Skua, Arctic Jaeger"
CHARADRIIFORMES,STERCORARIIDAE,Stercorarius,pomarinus,,"Pomarine Jaeger, Pomarine Skua"
CHARADRIIFORMES,THINOCORIDAE,Attagis,gayi,,Rufous-bellied Seedsnipe
CHARADRIIFORMES,THINOCORIDAE,Attagis,malouinus,,White-bellied Seedsnipe
CHARADRIIFORMES,THINOCORIDAE,Thinocorus,orbignyianus,,"Grey-breasted Seedsnipe, Gray-breasted Seedsnipe"
CHARADRIIFORMES,THINOCORIDAE,Thinocorus,rumicivorus,,Least Seedsnipe
CHARADRIIFORMES,TURNICIDAE,Ortyxelos,meiffrenii,,"Quail-plover, Quail-plover"
CHARADRIIFORMES,TURNICIDAE,Turnix,castanotus,Turnix castanota |Turnix castanota |Turnix castanota |Turnix castanota |Turnix castanota |Turnix castanota ,"Chestnut-backed Buttonquail, Chestnut-backed Button-quail"
CHARADRIIFORMES,TURNICIDAE,Turnix,everetti,,Sumba Buttonquail
CHARADRIIFORMES,TURNICIDAE,Turnix,hottentottus,,"Hottentot Buttonquail, Black-rumped Buttonquail"
CHARADRIIFORMES,TURNICIDAE,Turnix,maculosus,Turnix maculosa |Turnix maculosa |Turnix maculosa ,"Red-backed Buttonquail, Red-backed Button-quail"
CHARADRIIFORMES,TURNICIDAE,Turnix,melanogaster,,"Black-breasted Buttonquail, Black-breasted Button-quail"
CHARADRIIFORMES,TURNICIDAE,Turnix,nanus,,Black-rumped Buttonquail
CHARADRIIFORMES,TURNICIDAE,Turnix,nigricollis,,Madagascar Buttonquail
CHARADRIIFORMES,TURNICIDAE,Turnix,novaecaledoniae,,New Caledonian Buttonquail
CHARADRIIFORMES,TURNICIDAE,Turnix,ocellatus,Turnix ocellata |Turnix ocellata ,Spotted Buttonquail
CHARADRIIFORMES,TURNICIDAE,Turnix,olivii,Turnix olivei olivei,"Buff-breasted Buttonquail, Buff-breasted Button-quail"
CHARADRIIFORMES,TURNICIDAE,Turnix,pyrrhothorax,,"Red-chested Buttonquail, Red-chested Button-quail"
CHARADRIIFORMES,TURNICIDAE,Turnix,suscitator,,Barred Buttonquail
CHARADRIIFORMES,TURNICIDAE,Turnix,sylvaticus,Turnix sylvatica |Turnix sylvatica |Turnix sylvatica |Turnix sylvatica ,"Common Buttonquail, Kurrichane Buttonquail, Andalusian Hemipode"
CHARADRIIFORMES,TURNICIDAE,Turnix,tanki,,Yellow-legged Buttonquail
CHARADRIIFORMES,TURNICIDAE,Turnix,varius,,Painted Buttonquail
CHARADRIIFORMES,TURNICIDAE,Turnix,velox,,"Little Buttonquail, Little Button-quail"
CHARADRIIFORMES,TURNICIDAE,Turnix,worcesteri,,"Luzon Buttonquail, Worcester's Buttonquail"
PELECANIFORMES,ARDEIDAE,Agamia,agami,,Agami Heron
PELECANIFORMES,ARDEIDAE,Ardea,alba,Ardea alba|Ardea alba|Ardea alba|Casmerodius albus|Egretta alba|Egretta alba|Egretta alba|Egretta alba,"Great White Egret, Great White Heron, Great White Egret"
PELECANIFORMES,ARDEIDAE,Ardea,brachyrhyncha,,Yellow-billed Egret
PELECANIFORMES,ARDEIDAE,Ardea,cinerea,,"Grey Heron, Gray Heron"
PELECANIFORMES,ARDEIDAE,Ardea,cocoi,,Cocoi Heron
PELECANIFORMES,ARDEIDAE,Ardea,goliath,,Goliath Heron
PELECANIFORMES,ARDEIDAE,Ardea,herodias,,Great Blue Heron
PELECANIFORMES,ARDEIDAE,Ardea,humbloti,,"Madagascar Heron, Humblot's Heron"
PELECANIFORMES,ARDEIDAE,Ardea,insignis,Ardea imperialis imperialis,"White-bellied Heron, Imperial Heron"
PELECANIFORMES,ARDEIDAE,Ardea,intermedia,,Intermediate Egret
PELECANIFORMES,ARDEIDAE,Ardea,melanocephala,,Black-headed Heron
PELECANIFORMES,ARDEIDAE,Ardea,pacifica,,"White-necked Heron, Pacific Heron"
PELECANIFORMES,ARDEIDAE,Ardea,plumifera,,Plumed Egret
PELECANIFORMES,ARDEIDAE,Ardea,purpurea,,Purple Heron
PELECANIFORMES,ARDEIDAE,Ardea,sumatrana,,Great-billed Heron
PELECANIFORMES,ARDEIDAE,Ardeola,bacchus,,"Chinese Pond-heron, Chinese Pond Heron, Chinese Pond-Heron"
PELECANIFORMES,ARDEIDAE,Ardeola,grayii,,"Indian Pond-heron, Indian Pond Heron, Indian Pond-Heron"
PELECANIFORMES,ARDEIDAE,Ardeola,idae,,"Madagascar Pond-heron, Madagascar Squacco Heron, Madagascar Pond-Heron, Malagasy Pond Heron"
PELECANIFORMES,ARDEIDAE,Ardeola,ralloides,,"Squacco Heron, Common Squacco Heron"
PELECANIFORMES,ARDEIDAE,Ardeola,rufiventris,,Rufous-bellied Heron
PELECANIFORMES,ARDEIDAE,Ardeola,speciosa,,"Javan Pond-heron, Javan Pond Heron, Javan Pond-Heron"
PELECANIFORMES,ARDEIDAE,Botaurus,lentiginosus,,American Bittern
PELECANIFORMES,ARDEIDAE,Botaurus,pinnatus,,Pinnated Bittern
PELECANIFORMES,ARDEIDAE,Botaurus,poiciloptilus,,Australasian Bittern
PELECANIFORMES,ARDEIDAE,Botaurus,stellaris,,"Eurasian Bittern, Eurasian Bittern, Common Bittern, Bittern"
PELECANIFORMES,ARDEIDAE,Bubulcus,ibis,Ardea ibis ibis|Ardea ibis ibis|Ardeola ibis ibis,Cattle Egret
PELECANIFORMES,ARDEIDAE,Butorides,striata,Butorides virescens,Green-backed Heron
PELECANIFORMES,ARDEIDAE,Calherodius,leuconotus,Gorsachius leuconotus,"White-backed Night-heron, White-backed Night-Heron, White-backed Night Heron"
PELECANIFORMES,ARDEIDAE,Cochlearius,cochlearius,Cochlearius cochlearia cochlearius|Cochlearius cochlearia cochlearius,Boat-billed Heron
PELECANIFORMES,ARDEIDAE,Egretta,ardesiaca,,"Black Heron, Black Egret"
PELECANIFORMES,ARDEIDAE,Egretta,caerulea,Florida caerulea caerulea,Little Blue Heron
PELECANIFORMES,ARDEIDAE,Egretta,eulophotes,,Chinese Egret
PELECANIFORMES,ARDEIDAE,Egretta,garzetta,,Little Egret
PELECANIFORMES,ARDEIDAE,Egretta,gularis,Egretta dimorpha,"Western Reef-egret, Reef Heron"
PELECANIFORMES,ARDEIDAE,Egretta,novaehollandiae,Ardea novaehollandiae novaehollandiae,White-faced Heron
PELECANIFORMES,ARDEIDAE,Egretta,picata,Ardea picata|Egretta picata picata,Pied Heron
PELECANIFORMES,ARDEIDAE,Egretta,rufescens,Hydranassa rufescens rufescens,Reddish Egret
PELECANIFORMES,ARDEIDAE,Egretta,sacra,,"Pacific Reef-egret, Pacific Reef-Egret, Eastern Reef Egret, Pacific Reef Heron, Reef Heron"
PELECANIFORMES,ARDEIDAE,Egretta,thula,,Snowy Egret
PELECANIFORMES,ARDEIDAE,Egretta,tricolor,Hydranassa tricolor tricolor,"Tricolored Heron, Tricolored Heron"
PELECANIFORMES,ARDEIDAE,Egretta,vinaceigula,,Slaty Egret
PELECANIFORMES,ARDEIDAE,Gorsachius,goisagi,,"Japanese Night-heron, Japanese Night Heron, Japanese Night-Heron"
PELECANIFORMES,ARDEIDAE,Gorsachius,magnificus,,"White-eared Night-heron, White-eared Night Heron, White-eared Night-Heron"
PELECANIFORMES,ARDEIDAE,Gorsachius,melanolophus,Gorsachius melanophus melanophus,"Malay Night-heron, Malayan Night-Heron, Malayan Night Heron"
PELECANIFORMES,ARDEIDAE,Ixobrychus,cinnamomeus,,Cinnamon Bittern
PELECANIFORMES,ARDEIDAE,Ixobrychus,dubius,,Australian Little Bittern
PELECANIFORMES,ARDEIDAE,Ixobrychus,eurhythmus,,"Schrenck's Bittern, Schrenk's Bittern, Schrenck's Little Bittern, Von Schrenck's Bittern"
PELECANIFORMES,ARDEIDAE,Ixobrychus,exilis,,Least Bittern
PELECANIFORMES,ARDEIDAE,Ixobrychus,flavicollis,Dupetor flavicollis flavicollis,Black Bittern
PELECANIFORMES,ARDEIDAE,Ixobrychus,involucris,,Stripe-backed Bittern
PELECANIFORMES,ARDEIDAE,Ixobrychus,minutus,,"Common Little Bittern, Little Bittern"
PELECANIFORMES,ARDEIDAE,Ixobrychus,novaezelandiae,,"New Zealand Little Bittern, New Zealand Little Bittern, New Zealand Bittern"
PELECANIFORMES,ARDEIDAE,Ixobrychus,sinensis,,Yellow Bittern
PELECANIFORMES,ARDEIDAE,Ixobrychus,sturmii,Ardeirallus sturmii sturmii,Dwarf Bittern
PELECANIFORMES,ARDEIDAE,Nyctanassa,carcinocatactes,,Bermuda Night-heron
PELECANIFORMES,ARDEIDAE,Nyctanassa,violacea,Nycticorax violaceus violaceus,"Yellow-crowned Night-heron, Yellow-crowned Night Heron, Yellow-crowned Night-Heron"
PELECANIFORMES,ARDEIDAE,Nycticorax,caledonicus,,"Rufous Night-heron, Nankeen Night Heron, Nankeen Night-Heron, Rufous Night Heron, Rufous Night-Heron"
PELECANIFORMES,ARDEIDAE,Nycticorax,duboisi,,"Reunion Night-heron, Réunion Night-Heron"
PELECANIFORMES,ARDEIDAE,Nycticorax,mauritianus,,"Mauritius Night-heron, Mauritius Night-Heron"
PELECANIFORMES,ARDEIDAE,Nycticorax,megacephalus,,"Rodrigues Night-heron, Rodrigues Night-Heron"
PELECANIFORMES,ARDEIDAE,Nycticorax,nycticorax,,"Black-crowned Night-heron, Black-crowned Night-Heron., Black-crowned Night-Heron, Black-crowned Night Heron, Night Heron"
PELECANIFORMES,ARDEIDAE,Pilherodius,pileatus,Nycticorax pileatus pileatus,Capped Heron
PELECANIFORMES,ARDEIDAE,Syrigma,sibilatrix,,Whistling Heron
PELECANIFORMES,ARDEIDAE,Tigriornis,leucolopha,Tigriornis leucolophus |Tigriornis leucolophus |Tigriornis leucolophus |Tigriornis leucolophus ,"White-crested Tiger-heron, White-crested Tiger Heron, White-crested Bittern"
PELECANIFORMES,ARDEIDAE,Tigrisoma,fasciatum,,"Fasciated Tiger-heron, Fasciated Tiger Heron, Fasciated Tiger-Heron"
PELECANIFORMES,ARDEIDAE,Tigrisoma,lineatum,,"Rufescent Tiger-heron, Rufescent Tiger Heron, Rufescent Tiger-Heron"
PELECANIFORMES,ARDEIDAE,Tigrisoma,mexicanum,,"Bare-throated Tiger-heron, Bare-throated Tiger Heron, Bare-throated Tiger-Heron"
PELECANIFORMES,ARDEIDAE,Zebrilus,undulatus,,Zigzag Heron
PELECANIFORMES,ARDEIDAE,Zonerodius,heliosylus,,Forest Bittern
PELECANIFORMES,BALAENICIPITIDAE,Balaeniceps,rex,,"Shoebill, Whale-headed Stork"
PELECANIFORMES,PELECANIDAE,Pelecanus,conspicillatus,,Australian Pelican
PELECANIFORMES,PELECANIDAE,Pelecanus,crispus,,Dalmatian Pelican
PELECANIFORMES,PELECANIDAE,Pelecanus,erythrorhynchos,,American White Pelican
PELECANIFORMES,PELECANIDAE,Pelecanus,occidentalis,,Brown Pelican
PELECANIFORMES,PELECANIDAE,Pelecanus,onocrotalus,,"Great White Pelican, White Pelican"
PELECANIFORMES,PELECANIDAE,Pelecanus,philippensis,,"Spot-billed Pelican, Grey Pelican"
PELECANIFORMES,PELECANIDAE,Pelecanus,rufescens,,Pink-backed Pelican
PELECANIFORMES,PELECANIDAE,Pelecanus,thagus,,Peruvian Pelican
PELECANIFORMES,SCOPIDAE,Scopus,umbretta,,Hamerkop
PELECANIFORMES,THRESKIORNITHIDAE,Bostrychia,bocagei,,"Dwarf Ibis, Sao Tome Ibis"
PELECANIFORMES,THRESKIORNITHIDAE,Bostrychia,carunculata,,Wattled Ibis
PELECANIFORMES,THRESKIORNITHIDAE,Bostrychia,hagedash,,"Hadada Ibis, Hadada"
PELECANIFORMES,THRESKIORNITHIDAE,Bostrychia,olivacea,,"Olive Ibis, Olive Ibis"
PELECANIFORMES,THRESKIORNITHIDAE,Bostrychia,rara,,Spot-breasted Ibis
PELECANIFORMES,THRESKIORNITHIDAE,Cercibis,oxycerca,,Sharp-tailed Ibis
PELECANIFORMES,THRESKIORNITHIDAE,Eudocimus,albus,,"White Ibis, American White Ibis"
PELECANIFORMES,THRESKIORNITHIDAE,Eudocimus,ruber,,Scarlet Ibis
PELECANIFORMES,THRESKIORNITHIDAE,Geronticus,calvus,,"Southern Bald Ibis, Bald Ibis"
PELECANIFORMES,THRESKIORNITHIDAE,Geronticus,eremita,,"Northern Bald Ibis, Waldrapp, Bald Ibis, Hermit Ibis"
PELECANIFORMES,THRESKIORNITHIDAE,Lophotibis,cristata,,"Madagascar Crested Ibis, White-winged Ibis, Madagascar Ibis"
PELECANIFORMES,THRESKIORNITHIDAE,Mesembrinibis,cayennensis,,Green Ibis
PELECANIFORMES,THRESKIORNITHIDAE,Nipponia,nippon,,"Asian Crested Ibis, Japanese Crested Ibis, Crested Ibis"
PELECANIFORMES,THRESKIORNITHIDAE,Phimosus,infuscatus,,"Bare-faced Ibis, Whispering Ibis"
PELECANIFORMES,THRESKIORNITHIDAE,Platalea,ajaja,Ajaia ajaja ajaja|Ajaia ajaja ajaja,Roseate Spoonbill
PELECANIFORMES,THRESKIORNITHIDAE,Platalea,alba,,African Spoonbill
PELECANIFORMES,THRESKIORNITHIDAE,Platalea,flavipes,,Yellow-billed Spoonbill
PELECANIFORMES,THRESKIORNITHIDAE,Platalea,leucorodia,,"Eurasian Spoonbill, Spoonbill, European Spoonbill"
PELECANIFORMES,THRESKIORNITHIDAE,Platalea,minor,,Black-faced Spoonbill
PELECANIFORMES,THRESKIORNITHIDAE,Platalea,regia,,Royal Spoonbill
PELECANIFORMES,THRESKIORNITHIDAE,Plegadis,chihi,,White-faced Ibis
PELECANIFORMES,THRESKIORNITHIDAE,Plegadis,falcinellus,,Glossy Ibis
PELECANIFORMES,THRESKIORNITHIDAE,Plegadis,ridgwayi,,Puna Ibis
PELECANIFORMES,THRESKIORNITHIDAE,Pseudibis,davisoni,,"White-shouldered Ibis, Black Ibis"
PELECANIFORMES,THRESKIORNITHIDAE,Pseudibis,papillosa,,Red-naped Ibis
PELECANIFORMES,THRESKIORNITHIDAE,Thaumatibis,gigantea,Pseudibis gigantea gigantea|Pseudibis gigantea gigantea|Pseudibis gigantea gigantea,Giant Ibis
PELECANIFORMES,THRESKIORNITHIDAE,Theristicus,branickii,,Andean Ibis
PELECANIFORMES,THRESKIORNITHIDAE,Theristicus,caerulescens,Harpiprion caerulescens caerulescens,Plumbeous Ibis
PELECANIFORMES,THRESKIORNITHIDAE,Theristicus,caudatus,,Buff-necked Ibis
PELECANIFORMES,THRESKIORNITHIDAE,Theristicus,melanopis,,Black-faced Ibis
PELECANIFORMES,THRESKIORNITHIDAE,Threskiornis,aethiopicus,,"African Sacred Ibis, Sacred Ibis"
PELECANIFORMES,THRESKIORNITHIDAE,Threskiornis,bernieri,,Madagascar Sacred Ibis
PELECANIFORMES,THRESKIORNITHIDAE,Threskiornis,melanocephalus,,Black-headed Ibis
PELECANIFORMES,THRESKIORNITHIDAE,Threskiornis,moluccus,Threskiornis molucca,"Australian Ibis, Australian White Ibis, Australian Ibis, White Ibis"
PELECANIFORMES,THRESKIORNITHIDAE,Threskiornis,solitarius,Raphus solitarius ,"Reunion Ibis, Réunion Ibis, Réunion Flightless Ibis, Réunion Solitaire"
PELECANIFORMES,THRESKIORNITHIDAE,Threskiornis,spinicollis,,Straw-necked Ibis
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,amsterdamensis,,"Amsterdam Albatross, Amsterdam Island Albatross"
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,antipodensis,,Antipodean Albatross
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,dabbenena,Diomedea chionoptera chionoptera,Tristan Albatross
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,epomophora,,"Southern Royal Albatross, Royal Albatross"
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,exulans,,Wandering Albatross
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,sanfordi,,Northern Royal Albatross
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria,albatrus,Diomedea albatrus albatrus|Diomedea albatrus albatrus|Diomedea albatrus albatrus|Diomedea albatrus albatrus,Short-tailed Albatross
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria,immutabilis,Diomedea immutabilis immutabilis|Diomedea immutabilis immutabilis,Laysan Albatross
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria,irrorata,Diomedea irrorata irrorata|Diomedea irrorata irrorata|Diomedea irrorata irrorata|Diomedea irrorata irrorata,Waved Albatross
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria,nigripes,Diomedea nigripes nigripes|Diomedea nigripes nigripes|Diomedea nigripes nigripes|Diomedea nigripes nigripes,Black-footed Albatross
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebetria,fusca,,"Sooty Albatross, Dark-mantled Sooty Albatross"
PROCELLARIIFORMES,DIOMEDEIDAE,Phoebetria,palpebrata,,"Light-mantled Albatross, Light-mantled Sooty Albatross"
PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,bulleri,Diomedea bulleri bulleri|Diomedea bulleri bulleri|Diomedea bulleri bulleri|Diomedea bulleri bulleri|Diomedea bulleri bulleri,"Buller's Albatross, Buller's Mollymawk"
