species_id,breeding_distribution,bd2
Thalassarche steadi,unknown,
Dromas ardeola,unknown,
Fregata andrewsi,Tr,
Fregata aquila,STr,
Fregata ariel,Tr,
Fregata magnificens,Tr,
Fregata minor,Tr,
Cursorius coromandelicus,unknown,
Cursorius cursor,unknown,
Cursorius rufus,unknown,
Cursorius somalensis,unknown,
Cursorius temminckii,unknown,
Glareola cinerea,unknown,
Glareola lactea,unknown,
Glareola maldivarum,unknown,
Glareola nordmanni,unknown,
Glareola nuchalis,unknown,
Glareola ocularis,unknown,
Glareola pratincola,unknown,
Rhinoptilus bitorquatus,unknown,
Rhinoptilus chalcopterus,unknown,
Rhinoptilus cinctus,unknown,
Smutsornis africanus,unknown,
Stiltia isabella,unknown,
Haematopus ater,unknown,
Haematopus chathamensis,unknown,
Haematopus fuliginosus,unknown,
Haematopus leucopodus,unknown,
Haematopus longirostris,unknown,
Haematopus meadewaldoi,unknown,
Haematopus moquini,unknown,
Haematopus ostralegus,unknown,
Haematopus palliatus,unknown,
Haematopus unicolor,unknown,
Hydrobates castro,Tm-Tr,
Hydrobates furcatus,Tm,
Hydrobates homochroa,STr,
Hydrobates hornbyi,STr,
Hydrobates leucorhous,Tm,STr
Hydrobates macrodactylus,unknown,
Hydrobates markhami,Tr,
Hydrobates matsudairae,STr,
Hydrobates melania,STr,
Hydrobates microsoma,STr,
Hydrobates monorhis,Tm-Tr,
Hydrobates monteiroi,Tr,
Hydrobates pelagicus,Tm, STr
Hydrobates tethys,Tr,
Hydrobates tristrami,STr,
Ibidorhyncha struthersii,unknown,
Actophilornis africanus,unknown,
Actophilornis albinucha,unknown,
Hydrophasianus chirurgus,unknown,
Irediparra gallinacea,unknown,
Jacana jacana,unknown,
Jacana spinosa,unknown,
Metopidius indicus,unknown,
Microparra capensis,unknown,
Anous minutus,STr,Tr
Anous stolidus,Tr,
Anous tenuirostris,STr,Tr
Chlidonias albostriatus,Tm,
Chlidonias hybrida,Tm-Tr,
Chlidonias leucopterus,Tm,
Chlidonias niger,Tm,
Creagrus furcatus,Tr,
Gelochelidon macrotarsa,unknown,
Gelochelidon nilotica,Tm-Tr,
Gygis alba,STr,Tr
Gygis microrhyncha,unknown,
Hydrocoloeus minutus,SP,Tm
Hydroprogne caspia,Tm,STr
Larosterna inca,Tr,
Larus argentatus,SP,Tm
Larus armenicus,unknown,
Larus atlanticus, ,
Larus atricilla,Tm-Tr,
Larus audouinii,STr,Tr
Larus belcheri,STr,Tr
Larus brunnicephalus,Tm,
Larus bulleri,Tm,
Larus cachinnans,unknown,
Larus californicus,Tm,
Larus canus,SP,Tm
Larus cirrocephalus,STr,Tr
Larus crassirostris,Tm,STr
Larus delawarensis,Tm,
Larus dominicanus,P-Tm,
Larus fuliginosus,Tr,
Larus fuscus,SP,Tm
Larus genei,Tm-Tr,
Larus glaucescens,SP,Tm
Larus glaucoides,SP,Tm
Larus hartlaubii,STr ,
Larus heermanni,STr,
Larus hemprichii,Tr,
Larus hyperboreus,unknown,
Larus ichthyaetus,Tm,
Larus leucophthalmus,Tr,
Larus livens,STr,
Larus maculipennis,SP,Tm
Larus marinus,SP,Tm
Larus melanocephalus,Tm,STr
Larus michahellis, ,
Larus modestus,STr,
Larus novaehollandiae,Tm,STr
Larus occidentalis,Tm,STr
Larus pacificus,Tm,STr
Larus philadelphia,SP,Tm
Larus pipixcan,Tm,
Larus relictus,Tm ,
Larus ridibundus,SP,Tm
Larus schistisagus,Tm,
Larus scopulinus,Tm,
Larus scoresbii,Tm,
Larus serranus,STr,Tr
Larus smithsonianus,unknown,
Larus thayeri,unknown,
Onychoprion aleuticus,SP,
Onychoprion anaethetus,STr,Tr
Onychoprion fuscatus,Tr,
Onychoprion lunatus,STr,Tr
Pagophila eburnea,P,SP
Phaetusa simplex,STr,Tr
Procelsterna albivitta,STr,Tr
Procelsterna cerulea,unknown,
Rhodostethia rosea,SP,
Rissa brevirostris,SP,Tm
Rissa tridactyla,SP,Tm
Rynchops albicollis,Tr,
Rynchops flavirostris,STr,Tr
Rynchops niger,Tr,
Saundersilarus saundersi,unknown,
Sterna acuticauda,STr,Tr
Sterna aurantia,Tr,
Sterna dougallii,Tm-Tr,
Sterna forsteri,Tm,STr
Sterna hirundinacea,Tm-Tr,
Sterna hirundo,SP-Tm,
Sterna paradisaea,P,SP
Sterna repressa,Tr,
Sterna striata,STr,
Sterna sumatrana,Tr,
Sterna trudeaui,Tm,STr
Sterna virgata,Tm,
Sterna vittata,STr,P
Sternula albifrons,Tm-Tr,
Sternula antillarum,Tm-Tr,
Sternula balaenarum,STr,Tr
Sternula lorata,Tr,
Sternula nereis,STr,Tr
Sternula saundersi,unknown,
Sternula superciliaris,STr,Tr
Thalasseus bengalensis,STr,Tr
Thalasseus bergii,ST,Tr
Thalasseus bernsteini,unknown,
Thalasseus elegans,STr,
Thalasseus maximus,Tm,STr
Thalasseus sandvicensis acuflavida,STr,Tm
Thalasseus sandvicensis eurygnatha,STr,
Xema sabini,P,SP
Fregetta grallaria,STr,
Fregetta maoriana,SP,
Fregetta tropica,SP,Tm
Garrodia nereis,Tm,
Nesofregetta fuliginosa,STr,Tr
Oceanites gracilis,STr,Tr
Oceanites gracilis galapagoensis,unknown,
Oceanites oceanicus,P,SP
Oceanites oceanicus chilensis,P, SP
Oceanites oceanicus exasperatus,unknown,
Oceanites oceanicus oceanicus,P, SP
Oceanites pincoyae,SP,
Pelagodroma marina,STr,
Pedionomus torquatus,unknown,
Pelecanus conspicillatus,Tm,STr
Pelecanus crispus,Tm,STr
Pelecanus erythrorhynchos,Tm,
Pelecanus occidentalis,Tm,STr
Pelecanus onocrotalus,Tm-Tr,
Pelecanus philippensis,STr,Tr
