species_id,nest_locations,nl,
Burhinus vermiculatus,unknown,,
Esacus magnirostris,unknown,,
Esacus recurvirostris,unknown,,
Anarhynchus frontalis,unknown,,
Charadrius alexandrinus,unknown,,
Charadrius alticola,unknown,,
Charadrius aquilonius,unknown,,
Charadrius asiaticus,unknown,,
Charadrius bicinctus,unknown,,
Charadrius bifrontatus,unknown,,
Charadrius collaris,unknown,,
Charadrius dealbatus,unknown,,
Charadrius dubius,unknown,,
Charadrius falklandicus,unknown,,
Charadrius forbesi,unknown,,
Charadrius hiaticula,unknown,,
Charadrius javanicus,unknown,,
Charadrius leschenaultii,unknown,,
Charadrius marginatus,unknown,,
Charadrius melodus,unknown,,
Charadrius modestus,unknown,,
Charadrius mongolus,unknown,,
Charadrius montanus,unknown,,
Charadrius nivosus,unknown,,
Charadrius obscurus,unknown,,
Charadrius pallidus,unknown,,
Charadrius pecuarius,unknown,,
Charadrius peronii,unknown,,
Charadrius placidus,unknown,,
Charadrius ruficapillus,unknown,,
Charadrius sanctaehelenae,unknown,,
Charadrius semipalmatus,unknown,,
Charadrius thoracicus,unknown,,
Charadrius tricollaris,unknown,,
Charadrius veredus,unknown,,
Charadrius vociferus,unknown,,
Charadrius wilsonia,unknown,,
Elseyornis melanops,unknown,,
Erythrogonys cinctus,unknown,,
Eudromias morinellus,unknown,,
Hoploxypterus cayanus,unknown,,
Oreopholus ruficollis,unknown,,
Peltohyas australis,unknown,,
Phegornis mitchellii,unknown,,
Pluvialis apricaria,unknown,,
Pluvialis dominica,unknown,,
Pluvialis fulva,unknown,,
Pluvialis squatarola,unknown,,
Thinornis cucullatus,unknown,,
Thinornis novaeseelandiae,unknown,,
Vanellus albiceps,unknown,,
Vanellus armatus,unknown,,
Vanellus chilensis,unknown,,
Vanellus cinereus,unknown,,
Vanellus coronatus,unknown,,
Vanellus crassirostris,unknown,,
Vanellus duvaucelii,unknown,,
Vanellus gregarius,unknown,,
Vanellus indicus,unknown,,
Vanellus leucurus,unknown,,
Vanellus lugubris,unknown,,
Vanellus macropterus,unknown,,
Vanellus malarbaricus,unknown,,
Vanellus melanocephalus,unknown,,
Vanellus melanopterus,unknown,,
Vanellus miles,unknown,,
Vanellus novaehollandiae,unknown,,
Vanellus resplendens,unknown,,
Vanellus senegallus,unknown,,
Vanellus spinosus,unknown,,
Vanellus superciliosus,unknown,,
Vanellus tectus,unknown,,
Vanellus tricolor,unknown,,
Vanellus vanellus,unknown,,
Chionis albus,unknown,,
Chionis minor,unknown,,
Diomedea amsterdamensis,O,,
Diomedea antipodensis,O,,
Diomedea dabbenena,O,,
Diomedea epomophora,O,Sl,
Diomedea exulans,O,,
Diomedea sanfordi,O,,
Phoebastria albatrus,O,Sl,
Phoebastria immutabilis,O,,
Phoebastria irrorata,O,Sl,
Phoebastria nigripes,O,,
Phoebetria fusca,Cl,Sl,
Phoebetria palpebrata,O,Cl,Sl
Thalassarche bulleri,O,Sl,
Thalassarche carteri,O,Sl,
Thalassarche cauta,O,Sl,Cl
Thalassarche chlororhynchos,O,Cl,Sl
