fid,ord,fam,genus,species,genus_species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,breeding_dist,nest_locations,hatchling_type
136,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,ruficapillus,Charadrius ruficapillus,Charadriusruficapillus,,Red-capped Plover, Red-capped Dotterel,,,,,LC,,2012,unknown,,,
137,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,sanctaehelenae,Charadrius sanctaehelenae,Charadriussanctaehelenae,,St Helena Plover, St. Helena Plover, Saint Helena Plover, Wirebird,,,CR,C2a(ii),2012,increasing,,,
138,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,semipalmatus,Charadrius semipalmatus,Charadriussemipalmatus,,Semipalmated Plover,,,,,,LC,,2012,stable,,,
139,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,thoracicus,Charadrius thoracicus,Charadriusthoracicus,,Black-banded Plover, Black-banded Plover,,,,,VU,C2a(i),2012,decreasing,,,
140,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,tricollaris,Charadrius tricollaris,Charadriustricollaris,,African Three-banded Plover, Three-banded Plover,,,,,LC,,2014,unknown,,,
141,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,veredus,Charadrius veredus,Charadriusveredus,,Oriental Plover, Oriental Dotterel,,,,,LC,,2012,unknown,,,
142,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,vociferus,Charadrius vociferus,Charadriusvociferus,,Killdeer,,,,,,LC,,2012,decreasing,,,
143,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,wilsonia,Charadrius wilsonia,Charadriuswilsonia,,Wilson's Plover,,,,,,LC,,2012,decreasing,,,
144,CHARADRIIFORMES,CHARADRIIDAE,Elseyornis,melanops,Elseyornis melanops,Elseyornismelanops,Charadrius melanops melanops,Black-fronted Dotterel,,,,,,LC,,2012,increasing,,,
145,CHARADRIIFORMES,CHARADRIIDAE,Erythrogonys,cinctus,Erythrogonys cinctus,Erythrogonyscinctus,,Red-kneed Dotterel,,,,,,LC,,2012,stable,,,
146,CHARADRIIFORMES,CHARADRIIDAE,Eudromias,morinellus,Eudromias morinellus,Eudromiasmorinellus,Charadrius morinellus |Charadrius morinellus morinellus|Charadrius morinellus morinellus|Charadrius morinellus morinellus,Eurasian Dotterel, Dotterel,,,,,LC,,2012,decreasing,,,
147,CHARADRIIFORMES,CHARADRIIDAE,Hoploxypterus,cayanus,Hoploxypterus cayanus,Hoploxypteruscayanus,Vanellus cayanus,Pied Lapwing,,,,,,LC,,2012,unknown,,,
148,CHARADRIIFORMES,CHARADRIIDAE,Oreopholus,ruficollis,Oreopholus ruficollis,Oreopholusruficollis,Eudromias ruficollis |Eudromias ruficollis ruficollis,Tawny-throated Dotterel,,,,,,LC,,2012,decreasing,,,
149,CHARADRIIFORMES,CHARADRIIDAE,Peltohyas,australis,Peltohyas australis,Peltohyasaustralis,Charadrius australis|Peltohyas australis,Inland Dotterel, Inland Plover,,,,,LC,,2012,unknown,,,
150,CHARADRIIFORMES,CHARADRIIDAE,Phegornis,mitchellii,Phegornis mitchellii,Phegornismitchellii,,Diademed Plover, Diademed Plover, Diademed Sandpiper-Plover,,,,NT,,2012,decreasing,,,
151,CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,apricaria,Pluvialis apricaria,Pluvialisapricaria,,Eurasian Golden Plover, European Golden-Plover, European Golden Plover, Eurasian Golden-Plover, Golden Plover,,LC,,2012,decreasing,,,
152,CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,dominica,Pluvialis dominica,Pluvialisdominica,Pluvialis dominicus dominicus,American Golden Plover, Lesser Golden Plover, American Golden-Plover,,,,LC,,2012,decreasing,,,
153,CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,fulva,Pluvialis fulva,Pluvialisfulva,,Pacific Golden Plover, Pacific Golden-Plover,,,,,LC,,2012,decreasing,,,
154,CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,squatarola,Pluvialis squatarola,Pluvialissquatarola,,Grey Plover, Black-bellied Plover,,,,,LC,,2012,decreasing,,,
155,CHARADRIIFORMES,CHARADRIIDAE,Thinornis,cucullatus,Thinornis cucullatus,Thinorniscucullatus,Charadrius rubricollis rubricollis|Charadrius rubricollis rubricollis|Charadrius rubricollis rubricollis|Charadrius rubricollis rubricollis|Thinornis rubricollis,Hooded Plover, Hooded Dotterel,,,,,VU,C1,2014,decreasing,,,
156,CHARADRIIFORMES,CHARADRIIDAE,Thinornis,novaeseelandiae,Thinornis novaeseelandiae,Thinornisnovaeseelandiae,,Shore Plover, Shore Dotterel,,,,,EN,D,2012,increasing,,,
157,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,albiceps,Vanellus albiceps,Vanellusalbiceps,,White-headed Lapwing, White-crowned Lapwing, White-crowned Plover,,,,LC,,2012,stable,,,
158,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,armatus,Vanellus armatus,Vanellusarmatus,,Blacksmith Lapwing, Blacksmith Plover,,,,,LC,,2012,increasing,,,
159,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,chilensis,Vanellus chilensis,Vanelluschilensis,,Southern Lapwing,,,,,,LC,,2012,increasing,,,
160,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,cinereus,Vanellus cinereus,Vanelluscinereus,,Grey-headed Lapwing,,,,,,LC,,2012,decreasing,,,
161,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,coronatus,Vanellus coronatus,Vanelluscoronatus,,Crowned Lapwing, Crowned Plover,,,,,LC,,2012,increasing,,,
162,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,crassirostris,Vanellus crassirostris,Vanelluscrassirostris,,Long-toed Lapwing, Long-toed Plover,,,,,LC,,2012,unknown,,,
163,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,duvaucelii,Vanellus duvaucelii,Vanellusduvaucelii,,River Lapwing,,,,,,NT,,2012,unknown,,,
164,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,gregarius,Vanellus gregarius,Vanellusgregarius,Chettusia gregaria gregaria|Chettusia gregaria gregaria,Sociable Lapwing, Sociable Plover,,,,,CR,A3bcd+4bcd,2013,decreasing,,,
165,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,indicus,Vanellus indicus,Vanellusindicus,Hoplopterus indicus |Hoplopterus indicus indicus,Red-wattled Lapwing, Red-wattled Plover,,,,,LC,,2012,unknown,,,
166,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,leucurus,Vanellus leucurus,Vanellusleucurus,Chettusia leucura leucura,White-tailed Lapwing, White-tailed Plover,,,,,LC,,2012,unknown,,,
167,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,lugubris,Vanellus lugubris,Vanelluslugubris,,Senegal Lapwing, Lesser Black-winged Plover,,,,,LC,,2012,unknown,,,
168,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,macropterus,Vanellus macropterus,Vanellusmacropterus,,Javan Lapwing, Javanese Lapwing, Sunda Plover,,,,CR,D,2013,unknown,,,
169,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,malarbaricus,Vanellus malarbaricus,Vanellusmalarbaricus,,Yellow-wattled Lapwing,,,,,,LC,,2012,stable,,,
170,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,melanocephalus,Vanellus melanocephalus,Vanellusmelanocephalus,,Spot-breasted Lapwing, Spot-breasted Plover,,,,,LC,,2012,unknown,,,
171,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,melanopterus,Vanellus melanopterus,Vanellusmelanopterus,,Black-winged Lapwing, Black-winged Plover,,,,,LC,,2012,decreasing,,,
172,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,miles,Vanellus miles,Vanellusmiles,,Masked Lapwing, Masked Plover,,,,,LC,,2014,increasing,,,
173,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,novaehollandiae,Vanellus novaehollandiae,Vanellusnovaehollandiae,,Black-shouldered Lapwing,,,,,,LC,,2014,increasing,,,
174,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,resplendens,Vanellus resplendens,Vanellusresplendens,,Andean Lapwing,,,,,,LC,,2012,stable,,,
175,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,senegallus,Vanellus senegallus,Vanellussenegallus,,Wattled Lapwing, African Wattled Lapwing, Senegal Wattled Plover,,,,LC,,2012,stable,,,
176,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,spinosus,Vanellus spinosus,Vanellusspinosus,Hoplopterus spinosus |Hoplopterus spinosus spinosus,Spur-winged Lapwing, Spur-winged Plover,,,,,LC,,2012,increasing,,,
177,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,superciliosus,Vanellus superciliosus,Vanellussuperciliosus,,Brown-chested Lapwing, Brown-chested Wattled Plover,,,,,LC,,2012,unknown,,,
178,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,tectus,Vanellus tectus,Vanellustectus,Hoplopterus tectus |Hoplopterus tectus tectus,Black-headed Lapwing, Blackhead Plover, Black-headed Plover,,,,LC,,2012,unknown,,,
179,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,tricolor,Vanellus tricolor,Vanellustricolor,,Banded Lapwing,,,,,,LC,,2012,unknown,,,
180,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,vanellus,Vanellus vanellus,Vanellusvanellus,,Northern Lapwing, Lapwing,,,,,LC,,2012,decreasing,,,
181,CHARADRIIFORMES,CHIONIDAE,Chionis,albus,Chionis albus,Chionisalbus,Chionis alba |Chionis alba |Chionis alba |Chionis alba ,Snowy Sheathbill, American Sheathbill,,,,,LC,,2012,stable,,,
182,CHARADRIIFORMES,CHIONIDAE,Chionis,minor,Chionis minor,Chionisminor,,Black-faced Sheathbill,,,,,,LC,,2012,decreasing,,,
183,PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,bulleri,Thalassarche bulleri,Thalassarchebulleri,Diomedea bulleri bulleri|Diomedea bulleri bulleri|Diomedea bulleri bulleri|Diomedea bulleri bulleri|Diomedea bulleri bulleri,Buller's Albatross, Buller's Mollymawk,,,,,NT,,2012,stable,"Tm,SP","O,SI",SP
184,PROCELLARIIFORMES,DIOMEDEIDAE,Phoebetria,fusca,Phoebetria fusca,Phoebetriafusca,,Sooty Albatross, Dark-mantled Sooty Albatross,,,,,EN,A4bd,2012,decreasing,Tm,"CI,SI",SP
185,PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,melanophris,Thalassarche melanophris,Thalassarchemelanophris,Thalassarche melanophrys|Thalassarche melanophris melanophris,Black-browed Albatross,,,,,,NT,,2014,decreasing,SP,"O,SI",SP
186,PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,impavida,Thalassarche impavida,Thalassarcheimpavida,,Campbell Albatross,,,,,,VU,D2,2012,increasing,Tm,,SP
187,PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,chrysostoma,Thalassarche chrysostoma,Thalassarchechrysostoma,Diomedea chrysostoma chrysostoma|Diomedea chrysostoma chrysostoma|Diomedea chrysostoma chrysostoma|Diomedea chrysostoma chrysostoma|Diomedea chrysostoma chrysostoma|Diomedea chrysostoma chrysostoma|Diomedea chrysostoma chrysostoma,Grey-headed Albatross, Grey-headed Mollymawk, Gray-headed Albatross,,,,EN,A4bd,2013,decreasing,"Tm,SP",O,SP
188,PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria,irrorata,Phoebastria irrorata,Phoebastriairrorata,Diomedea irrorata irrorata|Diomedea irrorata irrorata|Diomedea irrorata irrorata|Diomedea irrorata irrorata,Waved Albatross,,,,,,CR,B2ab(v),2014,decreasing,Tr,"O,SI",SP
189,PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria,immutabilis,Phoebastria immutabilis,Phoebastriaimmutabilis,Diomedea immutabilis immutabilis|Diomedea immutabilis immutabilis,Laysan Albatross,,,,,,NT,,2013,stable,STr,"O,SI",SP
190,PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,exulans,Diomedea exulans,Diomedeaexulans,,Wandering Albatross,,,,,,VU,A4bd,2012,decreasing,"Tm,SP",O,SP
191,PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,epomophora,Diomedea epomophora,Diomedeaepomophora,,Southern Royal Albatross, Royal Albatross,,,,,VU,D2,2012,stable,"Tm,SP",,
192,PROCELLARIIFORMES,DIOMEDEIDAE,Phoebetria,palpebrata,Phoebetria palpebrata,Phoebetriapalpebrata,,Light-mantled Albatross, Light-mantled Sooty Albatross,,,,,NT,,2012,decreasing,Tm-P,"O,CI,SI",SP
193,PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,amsterdamensis,Diomedea amsterdamensis,Diomedeaamsterdamensis,,Amsterdam Albatross, Amsterdam Island Albatross,,,,,CR,B2ab(v); C2a(ii),2013,decreasing,Tm,O,SP
194,PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria,nigripes,Phoebastria nigripes,Phoebastrianigripes,Diomedea nigripes nigripes|Diomedea nigripes nigripes|Diomedea nigripes nigripes|Diomedea nigripes nigripes,Black-footed Albatross,,,,,,NT,,2014,increasing,STr,"O,SI",SP
195,PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,chlororhynchos,Thalassarche chlororhynchos,Thalassarchechlororhynchos,,Atlantic Yellow-nosed Albatross, Yellow-nosed Albatross,,,,,EN,A4bd;B2ab(v),2012,decreasing,"Tm,SP","0,CI,SI",SP
196,PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,cauta,Thalassarche cauta,Thalassarchecauta,,Shy Albatross,,,,,,NT,,2012,unknown,Tm,"O,SI,CI",SP
197,PROCELLARIIFORMES,DIOMEDEIDAE,Phoebastria,albatrus,Phoebastria albatrus,Phoebastriaalbatrus,Diomedea albatrus albatrus|Diomedea albatrus albatrus|Diomedea albatrus albatrus|Diomedea albatrus albatrus,Short-tailed Albatross,,,,,,VU,D2,2012,increasing,Tm,"O,SI",SP
198,PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,carteri,Thalassarche carteri,Thalassarchecarteri,,Indian Yellow-nosed Albatross,,,,,,EN,A4bde,2012,decreasing,"Tm,SP","O,SI",SP
199,PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,sanfordi,Diomedea sanfordi,Diomedeasanfordi,,Northern Royal Albatross,,,,,,EN,"A4bc;B2ab(iii,v)",2013,decreasing,TM,0,SP
200,PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,antipodensis,Diomedea antipodensis,Diomedeaantipodensis,,Antipodean Albatross,,,,,,VU,D2,2012,decreasing,Tm,O,SP
201,PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,dabbenena,Diomedea dabbenena,Diomedeadabbenena,Diomedea chionoptera chionoptera,Tristan Albatross,,,,,,CR,A4ade,2013,decreasing,Tm,O,SP
202,PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,eremita,Thalassarche eremita,Thalassarcheeremita,,Chatham Albatross,,,,,,VU,D2,2012,increasing,Tm,,SP
203,PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,salvini,Thalassarche salvini,Thalassarchesalvini,,Salvin's Albatross,,,,,,VU,D2,2012,unknown,Tm,,SP
204,PROCELLARIIFORMES,DIOMEDEIDAE,Thalassarche,steadi,Thalassarche steadi,Thalassarchesteadi,,White-capped Albatross,,,,,,NT,,2013,decreasing,,,
205,CHARADRIIFORMES,DROMADIDAE,Dromas,ardeola,Dromas ardeola,Dromasardeola,,Crab-plover , Crab-plover,,,,,LC,,2012,stable,,,
206,SULIFORMES,FREGATIDAE,Fregata,ariel,Fregata ariel,Fregataariel,,Lesser Frigatebird,,,,,,LC,,2012,decreasing,Tr,T,A
207,SULIFORMES,FREGATIDAE,Fregata,minor,Fregata minor,Fregataminor,,Great Frigatebird, Great Frigatebird,,,,,LC,,2012,decreasing,Tr,T,A
208,SULIFORMES,FREGATIDAE,Fregata,magnificens,Fregata magnificens,Fregatamagnificens,,Magnificent Frigatebird,,,,,,LC,,2012,increasing,Tr,T,A
209,SULIFORMES,FREGATIDAE,Fregata,aquila,Fregata aquila,Fregataaquila,,Ascension Frigatebird, Ascension Is. Frigatebird,,,,,VU,D2,2012,unknown,STr,O,A
210,SULIFORMES,FREGATIDAE,Fregata,andrewsi,Fregata andrewsi,Fregataandrewsi,,Christmas Frigatebird, Andrews' Frigatebird, Christmas Frigatebird,,,,CR,"B2ab(ii,iii,v)",2013,decreasing,Tr,T,A
211,CHARADRIIFORMES,GLAREOLIDAE,Cursorius,coromandelicus,Cursorius coromandelicus,Cursoriuscoromandelicus,,Indian Courser,,,,,,LC,,2012,stable,,,
212,CHARADRIIFORMES,GLAREOLIDAE,Cursorius,cursor,Cursorius cursor,Cursoriuscursor,,Cream-coloured Courser,,,,,,LC,,2012,stable,,,
213,CHARADRIIFORMES,GLAREOLIDAE,Cursorius,rufus,Cursorius rufus,Cursoriusrufus,,Burchell's Courser,,,,,,LC,,2012,decreasing,,,
214,CHARADRIIFORMES,GLAREOLIDAE,Cursorius,somalensis,Cursorius somalensis,Cursoriussomalensis,,Somali Courser,,,,,,LC,,2012,stable,,,
215,CHARADRIIFORMES,GLAREOLIDAE,Cursorius,temminckii,Cursorius temminckii,Cursoriustemminckii,,Temminck's Courser,,,,,,LC,,2012,stable,,,
216,CHARADRIIFORMES,GLAREOLIDAE,Glareola,cinerea,Glareola cinerea,Glareolacinerea,,Grey Pratincole,,,,,,LC,,2012,unknown,,,
217,CHARADRIIFORMES,GLAREOLIDAE,Glareola,lactea,Glareola lactea,Glareolalactea,,Little Pratincole, Little Pratincole,,,,,LC,,2012,unknown,,,
218,CHARADRIIFORMES,GLAREOLIDAE,Glareola,maldivarum,Glareola maldivarum,Glareolamaldivarum,,Oriental Pratincole,,,,,,LC,,2012,decreasing,,,
219,CHARADRIIFORMES,GLAREOLIDAE,Glareola,nordmanni,Glareola nordmanni,Glareolanordmanni,,Black-winged Pratincole,,,,,,NT,,2012,decreasing,,,
220,CHARADRIIFORMES,GLAREOLIDAE,Glareola,nuchalis,Glareola nuchalis,Glareolanuchalis,,Rock Pratincole,,,,,,LC,,2012,decreasing,,,
221,CHARADRIIFORMES,GLAREOLIDAE,Glareola,ocularis,Glareola ocularis,Glareolaocularis,,Madagascar Pratincole,,,,,,VU,C2a(ii),2012,decreasing,,,
222,CHARADRIIFORMES,GLAREOLIDAE,Glareola,pratincola,Glareola pratincola,Glareolapratincola,,Collared Pratincole, Common Pratincole,,,,,LC,,2012,decreasing,,,
223,CHARADRIIFORMES,GLAREOLIDAE,Rhinoptilus,bitorquatus,Rhinoptilus bitorquatus,Rhinoptilusbitorquatus,Cursorius bitorquatus bitorquatus,Jerdon's Courser,,,,,,CR,C2a(ii),2013,decreasing,,,
224,CHARADRIIFORMES,GLAREOLIDAE,Rhinoptilus,chalcopterus,Rhinoptilus chalcopterus,Rhinoptiluschalcopterus,,Bronze-winged Courser,,,,,,LC,,2012,stable,,,
225,CHARADRIIFORMES,GLAREOLIDAE,Rhinoptilus,cinctus,Rhinoptilus cinctus,Rhinoptiluscinctus,,Three-banded Courser,,,,,,LC,,2012,stable,,,
226,CHARADRIIFORMES,GLAREOLIDAE,Smutsornis,africanus,Smutsornis africanus,Smutsornisafricanus,Rhinoptilus africanus,Double-banded Courser,,,,,,LC,,2012,stable,,,
227,CHARADRIIFORMES,GLAREOLIDAE,Stiltia,isabella,Stiltia isabella,Stiltiaisabella,,Australian Pratincole,,,,,,LC,,2012,stable,,,
228,CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,ater,Haematopus ater,Haematopusater,Haematopus bachmani,Blackish Oystercatcher,,,,,,LC,,2014,unknown,,,
229,CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,chathamensis,Haematopus chathamensis,Haematopuschathamensis,,Chatham Oystercatcher, Chatham Islands Oystercatcher, Chatham Island Pied Oystercatcher,,,,EN,D,2012,increasing,,,
230,CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,fuliginosus,Haematopus fuliginosus,Haematopusfuliginosus,,Sooty Oystercatcher,,,,,,LC,,2012,stable,,,
231,CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,leucopodus,Haematopus leucopodus,Haematopusleucopodus,,Magellanic Oystercatcher,,,,,,LC,,2012,stable,,,
232,CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,longirostris,Haematopus longirostris,Haematopuslongirostris,,Pied Oystercatcher, Australian Pied Oystercatcher,,,,,LC,,2012,unknown,,,
233,CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,meadewaldoi,Haematopus meadewaldoi,Haematopusmeadewaldoi,,Canarian Oystercatcher, Canarian Black Oystercatcher,,,,,EX,,2012,,,,
234,CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,moquini,Haematopus moquini,Haematopusmoquini,,African Oystercatcher, African Black Oystercatcher,,,,,NT,,2012,increasing,,,
235,CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,ostralegus,Haematopus ostralegus,Haematopusostralegus,Haematopus finschi,Eurasian Oystercatcher, Pied Oystercatcher,,,,,LC,,2014,decreasing,,,
236,CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,palliatus,Haematopus palliatus,Haematopuspalliatus,,American Oystercatcher,,,,,,LC,,2012,stable,,,
237,CHARADRIIFORMES,HAEMATOPODIDAE,Haematopus,unicolor,Haematopus unicolor,Haematopusunicolor,,Variable Oystercatcher,,,,,,LC,,2013,increasing,,,
238,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,leucorhous,Hydrobates leucorhous,Hydrobatesleucorhous,Hydrobates leucorhoa leucorhoa|Oceanodroma leucorhoa,Leach's Storm-petrel, Leach's Storm-Petrel, Leach's Storm Petrel,,,,LC,,2012,stable,"Tm,STr","Bu,Cr",SP
239,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,homochroa,Hydrobates homochroa,Hydrobateshomochroa,Oceanodroma homochroa,Ashy Storm-petrel, Ashy Storm Petrel, Ashy Storm-Petrel,,,,EN,A2ce+3ce,2013,decreasing,STr,Cr,SP
240,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,furcatus,Hydrobates furcatus,Hydrobatesfurcatus,Oceanodroma furcata,Fork-tailed Storm-petrel, Fork-tailed Storm Petrel, Fork-tailed Storm-Petrel,,,,LC,,2012,increasing,Tm,"Bu,Cr",SP
241,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,microsoma,Hydrobates microsoma,Hydrobatesmicrosoma,Halocyptena microsoma|Oceanodroma microsoma|Oceanodroma microsoma|Oceanodroma microsoma|Oceanodroma microsoma,Least Storm-petrel, Least Storm Petrel, Least Storm-Petrel,,,,LC,,2012,decreasing,STr,Cr,SP
242,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,matsudairae,Hydrobates matsudairae,Hydrobatesmatsudairae,Hydrobates matsudairae matsudairae|Oceanodroma matsudairae,Matsudaira's Storm-petrel, Matsudaira's Storm-Petrel, Matsudaira's Storm Petrel,,,,VU,D2,2014,unknown,STr,Bu,SP
243,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,tristrami,Hydrobates tristrami,Hydrobatestristrami,Hydrobates tristrami tristrami|Oceanodroma tristrami,Tristram's Storm-petrel, Tristram's Storm Petrel, Tristram's Storm-Petrel,,,,NT,,2012,stable,STr,"Bu,CR",SP
244,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,castro,Hydrobates castro,Hydrobatescastro,Oceanodroma castro,Band-rumped Storm-petrel, Band-rumped Storm-Petrel,,,,,LC,,2013,decreasing,Tm-Tr,"Cr,Bu",SP
245,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,monorhis,Hydrobates monorhis,Hydrobatesmonorhis,Hydrobates monorhis monorhis|Oceanodroma monorhis,Swinhoe's Storm-petrel, Swinhoe's Storm-Petrel, Swinhoe's Storm Petrel,,,,NT,,2014,stable,Tm-Tr,Bu,SP
246,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,melania,Hydrobates melania,Hydrobatesmelania,Oceanodroma melania,Black Storm-petrel, Black Storm Petrel, Black Storm-Petrel,,,,LC,,2013,decreasing,STr,"Bu,Cr",SP
247,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,pelagicus,Hydrobates pelagicus,Hydrobatespelagicus,,European Storm-petrel, European Storm-Petrel, European Storm Petrel, British Storm Petrel, Storm Petrel,,LC,,2012,decreasing,"Tm,STr",Cr,SP
248,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,tethys,Hydrobates tethys,Hydrobatestethys,Oceanodroma tethys,Wedge-rumped Storm-petrel, Wedge-rumped Storm Petrel, Wedge-rumped Storm-Petrel,,,,LC,,2013,decreasing,Tr,"Cr,Un",SP
249,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,hornbyi,Hydrobates hornbyi,Hydrobateshornbyi,Oceanodroma hornbyi,Ringed Storm-petrel, Hornby's Storm Petrel, Ringed Storm-Petrel,,,,DD,,2012,unknown,STr,,SP
250,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,markhami,Hydrobates markhami,Hydrobatesmarkhami,Oceanodroma markhami,Markham's Storm-petrel, Markham's Storm Petrel, Markham's Storm-Petrel,,,,DD,,2012,unknown,Tr,,SP
251,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,macrodactylus,Hydrobates macrodactylus,Hydrobatesmacrodactylus,Oceanodroma macrodactyla,Guadalupe Storm-petrel, Guadalupe Storm Petrel, Guadalupe Storm-Petrel,,,,CR,D,2012,unknown,,,
252,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,monteiroi,Hydrobates monteiroi,Hydrobatesmonteiroi,Oceanodroma monteiroi,Monteiro's Storm-petrel ,,,,,,VU,D1+2,2013,stable,,,
253,CHARADRIIFORMES,IBIDORHYNCHIDAE,Ibidorhyncha,struthersii,Ibidorhyncha struthersii,Ibidorhynchastruthersii,,Ibisbill,,,,,,LC,,2012,unknown,,,
254,CHARADRIIFORMES,JACANIDAE,Actophilornis,africanus,Actophilornis africanus,Actophilornisafricanus,,African Jacana,,,,,,LC,,2012,stable,,,
255,CHARADRIIFORMES,JACANIDAE,Actophilornis,albinucha,Actophilornis albinucha,Actophilornisalbinucha,,Madagascar Jacana,,,,,,NT,,2012,decreasing,,,
256,CHARADRIIFORMES,JACANIDAE,Hydrophasianus,chirurgus,Hydrophasianus chirurgus,Hydrophasianuschirurgus,,Pheasant-tailed Jacana,,,,,,LC,,2012,decreasing,,,
257,CHARADRIIFORMES,JACANIDAE,Irediparra,gallinacea,Irediparra gallinacea,Irediparragallinacea,,Comb-crested Jacana,,,,,,LC,,2012,unknown,,,
258,CHARADRIIFORMES,JACANIDAE,Jacana,jacana,Jacana jacana,Jacanajacana,,Wattled Jacana,,,,,,LC,,2012,stable,,,
259,CHARADRIIFORMES,JACANIDAE,Jacana,spinosa,Jacana spinosa,Jacanaspinosa,,Northern Jacana,,,,,,LC,,2012,unknown,,,
260,CHARADRIIFORMES,JACANIDAE,Metopidius,indicus,Metopidius indicus,Metopidiusindicus,,Bronze-winged Jacana,,,,,,LC,,2012,unknown,,,
261,CHARADRIIFORMES,JACANIDAE,Microparra,capensis,Microparra capensis,Microparracapensis,,Lesser Jacana,,,,,,LC,,2012,unknown,,,
262,CHARADRIIFORMES,LARIDAE,Thalasseus,sandvicensis,Thalasseus sandvicensis,Thalasseussandvicensis,Sterna sandvicensis|Thalasseus sandvicensis|Thalasseus sandvicensis,Sandwich Tern,,,,,,LC,,2012,stable,"STr,Tm",O,SP
