fid,ord,fam,genus,species,genus_species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,breeding_dist,nest_locations,hatchling_type
32,PELECANIFORMES,ARDEIDAE,Ardea,brachyrhyncha,Ardea brachyrhyncha,Ardeabrachyrhyncha,,Yellow-billed Egret,,,,,,LC,,2014,decreasing,,,
33,PELECANIFORMES,ARDEIDAE,Ardea,cinerea,Ardea cinerea,Ardeacinerea,,Grey Heron, Gray Heron,,,,,LC,,2012,unknown,,,
34,PELECANIFORMES,ARDEIDAE,Ardea,cocoi,Ardea cocoi,Ardeacocoi,,Cocoi Heron,,,,,,LC,,2012,increasing,,,
35,PELECANIFORMES,ARDEIDAE,Ardea,goliath,Ardea goliath,Ardeagoliath,,Goliath Heron,,,,,,LC,,2012,stable,,,
36,PELECANIFORMES,ARDEIDAE,Ardea,herodias,Ardea herodias,Ardeaherodias,,Great Blue Heron,,,,,,LC,,2012,increasing,,,
37,PELECANIFORMES,ARDEIDAE,Ardea,humbloti,Ardea humbloti,Ardeahumbloti,,Madagascar Heron, Humblot's Heron,,,,,EN,C2a(ii),2012,decreasing,,,
38,PELECANIFORMES,ARDEIDAE,Ardea,insignis,Ardea insignis,Ardeainsignis,Ardea imperialis imperialis,White-bellied Heron, Imperial Heron,,,,,CR,C2a(i),2013,decreasing,,,
39,PELECANIFORMES,ARDEIDAE,Ardea,intermedia,Ardea intermedia,Ardeaintermedia,,Intermediate Egret,,,,,,LC,,2014,decreasing,,,
40,PELECANIFORMES,ARDEIDAE,Ardea,melanocephala,Ardea melanocephala,Ardeamelanocephala,,Black-headed Heron,,,,,,LC,,2012,increasing,,,
41,PELECANIFORMES,ARDEIDAE,Ardea,pacifica,Ardea pacifica,Ardeapacifica,,White-necked Heron, Pacific Heron,,,,,LC,,2012,stable,,,
42,PELECANIFORMES,ARDEIDAE,Ardea,plumifera,Ardea plumifera,Ardeaplumifera,,Plumed Egret,,,,,,LC,,2014,decreasing,,,
43,PELECANIFORMES,ARDEIDAE,Ardea,purpurea,Ardea purpurea,Ardeapurpurea,,Purple Heron,,,,,,LC,,2012,decreasing,,,
44,PELECANIFORMES,ARDEIDAE,Ardea,sumatrana,Ardea sumatrana,Ardeasumatrana,,Great-billed Heron,,,,,,LC,,2012,decreasing,,,
45,PELECANIFORMES,ARDEIDAE,Ardeola,bacchus,Ardeola bacchus,Ardeolabacchus,,Chinese Pond-heron, Chinese Pond Heron, Chinese Pond-Heron,,,,LC,,2012,stable,,,
46,PELECANIFORMES,ARDEIDAE,Ardeola,grayii,Ardeola grayii,Ardeolagrayii,,Indian Pond-heron, Indian Pond Heron, Indian Pond-Heron,,,,LC,,2012,unknown,,,
47,PELECANIFORMES,ARDEIDAE,Ardeola,idae,Ardeola idae,Ardeolaidae,,Madagascar Pond-heron, Madagascar Squacco Heron, Madagascar Pond-Heron, Malagasy Pond Heron,,,EN,C2a(ii),2012,decreasing,,,
48,PELECANIFORMES,ARDEIDAE,Ardeola,ralloides,Ardeola ralloides,Ardeolaralloides,,Squacco Heron, Common Squacco Heron,,,,,LC,,2012,decreasing,,,
49,PELECANIFORMES,ARDEIDAE,Ardeola,rufiventris,Ardeola rufiventris,Ardeolarufiventris,,Rufous-bellied Heron,,,,,,LC,,2012,unknown,,,
50,PELECANIFORMES,ARDEIDAE,Ardeola,speciosa,Ardeola speciosa,Ardeolaspeciosa,,Javan Pond-heron, Javan Pond Heron, Javan Pond-Heron,,,,LC,,2012,unknown,,,
51,PELECANIFORMES,ARDEIDAE,Botaurus,lentiginosus,Botaurus lentiginosus,Botauruslentiginosus,,American Bittern,,,,,,LC,,2012,decreasing,,,
52,PELECANIFORMES,ARDEIDAE,Botaurus,pinnatus,Botaurus pinnatus,Botauruspinnatus,,Pinnated Bittern,,,,,,LC,,2012,unknown,,,
