feature_id,species_id,female_mass_mean,female_mass_lower,female_mass_upper,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,culmen,tarsus,tail,bmr,rmr,dee,clutch_size_mean,clutch_size_lower,clutch_size_upper,clutch_size_uncertainty,egg_mass,incubation_mean,incubation_period_lower,incubation_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,reproductive_success,hatching_success,fledging_success,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,feeds_per_day,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,fledgling_mass,ratio_fledgling_to_adult,wing_loading,aspect_ratio,first_year_survival,second_year_survival,survival_to_breeding,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,migration_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,mate_fidelity,site_fidelity,coloniality,username,dt
303,Laruslivens,1.32,1.1,1.4,,1.32,1.1,1.4,,,,,,,,2.7,1,4,,,28,24,30,,37,30,45,,,,,,,,,,,30,90,,,,,,,,,,4,5,,NS,,,142,155,,,,,,,,,,,,,grant,27/06/2016
304,Larusmaculipennis,,0.29,0.36,,,0.29,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
305,Larusmarinus,1.488,,,,1.829,,,,,,,,,,2.8,2,3,,,,26,32,,,45,55,,,,,,,,,,,20,40,,,,,,,,,,4,5,,"NS,OS",,169,,,,27,,,,,,,,,,,grant,27/06/2016
306,Larusmelanocephalus,,0.21,0.39,,,0.21,0.39,,,,,,,,,2,3,,,,23,26,,,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,105,,15,,,,,,,,,,,grant,27/06/2016
307,Larusmichahellis,,0.8,1.5,,,0.8,1.5,,,,,,,,2.7,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
308,Larusmodestus,,0.36,0.4,,,0.36,0.4,,,,,,,,,1,3,,,,29,31,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
309,Larusnovaehollandiae,,0.26,0.35,,,0.26,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,91,96,,,,,,,,,,,,,grant,27/06/2016
310,Larusoccidentalis,1.01,0.8,1.12,,1.01,0.8,1.2,,,,,,,,3,1,3,,,,30,32,,47.5,45,50,,,,,,,,,,,30,90,,,,,,,,,,4,6,,NS,,,132,144,,28,,,,,81,90,,,,,grant,27/06/2016
311,Laruspacificus,,0.9,1.18,,,0.9,1.18,,,,,,,,3,,,,,,23,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,157,,,,,,,,,,,,,grant,27/06/2016
312,Larusphiladelphia,,0.17,0.23,,,0.17,0.23,,,,,,,,2,,,,,,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,78,84,,,,,,,,,,,,,grant,27/06/2016
313,Laruspipixcan,,0.26,0.28,,,0.26,0.28,,,,,,,,3,2,4,,,24.5,23,26,,,35,40,,,,,,,,,,7,,,+,,,,,,,,,2,3,,NS,,,85,106,,10,,,,,,,,,,,grant,27/06/2016
314,Larusrelictus,,0.42,0.66,,,0.42,0.66,,,,,,,,2.6,2,3,,,,24,26,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
315,Larusridibundus,,0.19,0.32,,,0.19,0.32,,,,,,,,2.6,1,3,,,,22,26,,35,,,,,,,,,,,,,,,,,,,,,,,,2,3,,NS,,,94,110,,32,,,,89,,,,,,,grant,27/06/2016
316,Larusschistisagus,,1.05,1.69,,,1.05,1.69,,,,,,,,3,1,4,,,,28,30,,,40,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,148,,,,,,,,,,,,,grant,27/06/2016
317,Larusscopulinus,0.259,,,,0.299,,,,,,,,,,1.9,,,,,24,,,,,35,42,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,85.6,,,,,,,grant,27/06/2016
318,Larusscoresbii,0.52,,,,0.52,,,,,,,,,,2,2,3,,,,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,89,,,ca,,,,,,,,,,,,grant,27/06/2016
319,Larusserranus,0.48,,,,0.48,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
320,Larussmithsonianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
321,Larusthayeri,,0.85,1.15,,,0.85,1.15,,,,,,,,,2,3,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
322,Onychoprionaleuticus,0.12,0.08,0.14,,0.12,0.08,0.14,,,,,,,,2,1,3,,,22.5,20,27,,28,25,31,,,,,,,,,,14,,,+,,,,,,,,3,,,+,NS+,,,75,80,,,,,,,,,,,,,grant,27/06/2016
323,Onychoprionanaethetus,0.131,0.093,0.167,,0.131,0.093,0.167,,,,,,,,1,,,,,29,26,33,,60,55,65,,,,,,,,,,,20,44,,,,,,,,,4,2,5,,"NS,OS",,,76,81,,18,,,,,78,83,,,,,grant,27/06/2016
324,Onychoprionfuscatus,0.18,0.14,0.24,,0.18,0.14,0.24,,,,,,,,1,,,,,29,26,33,,60,,,ca,,,,,,,,,17,,,+,,,,,,,,3,3,7,,OS,,84,82,94,,17,,,,,,,,,,,grant,27/06/2016
325,Onychoprionlunatus,,0.09,0.14,,,0.099,0.165,,,,,,,,1,,,,,30,29,32,,,38,49,,,,,,,,,,,,,yes,,,,,,,,,4,5,,NS+,,,73,76,,26,,,,,,,,,,,grant,27/06/2016
326,Pagophilaeburnea,,0.448,0.687,,,0.448,0.687,,,,,,,,1,1,2,,,,24,26,,,30,35,,,,,,,,,,,,,yes,,,,,,,,,2,3,,NS,,,108,120,,19,,,,86,,,,,,,grant,27/06/2016
327,Phaetusasimplex,,0.208,0.247,,,0.208,0.247,,,,,,,,2.3,2,3,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
328,Procelsternaalbivitta,,,,,,,,,,,,,,,1,,,,,,,,,,32,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,60,,,,,,,,,,,,,grant,27/06/2016
329,Procelsternacerulea,0.045,0.041,0.069,,0.045,0.041,0.069,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,?,,,,46,60,,,,,,,,,,,,,grant,27/06/2016
330,Rhodostethiarosea,,0.12,0.25,,,0.12,0.25,,,,,,,,3,1,3,,,,19,21,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,92,,,,,,,,,,,,,grant,27/06/2016
331,Rissabrevirostris,,0.32,0.38,,,0.38,0.42,,,,,,,881.7,1,1,2,,,,25,32,ca,,37,45,ca,,,,,,,,,,,,yes,,,,,,,,,,,,OS,,90,,,,19,,,,,,,,,,,grant,27/06/2016
332,Rissatridactyla,0.4,0.3,0.5,,0.4,0.3,0.5,,,,,237,,,2,1,3,,,26.2,25,28,,41.5,34,58,,,81,,20,,,,,,,,yes,,,,,,,20,,3,5,,NS,,104,,,,18,,,,,86,93,,,,,grant,27/06/2016
333,Rynchopsalbicollis,,,,,,,,,,,,,,,3,2,4,,,21,,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,102,114,,,,,,,,,,,,,grant,27/06/2016
334,Rynchopsflavirostris,,0.111,0.204,,,0.111,0.204,,,,,,,,2.6,2,3,,,21,,,ca,28,,,ca,,,,,,,,,,,,,,,,,,,,,,,,NS,,106,,,ca,,,,,,,,,,,,grant,27/06/2016
335,Rynchopsniger,0.25,0.23,0.29,,0.35,0.3,0.37,,,,,,,,4,1,6,,,22.9,21,26,,29,28,30,,,39 - 67,,,,,,,14,,,+,,,,,,,,3,,,,NS,,,107,127,,20,,,,,,,,,,,grant,27/06/2016
336,Saundersilarussaundersi,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
337,Sternaacuticauda,,,,,,,,,,,,,,,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
338,Sternaaurantia,,,,,,,,,,,,,,,3,3,4,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,2,,,,NS,,,80,85,,,,,,,,,,,,,grant,27/06/2016
339,Sternadougallii,0.11,0.088,0.139,,0.11,0.088,0.139,,,,,,,,2,1,4,,,23.3,21,24,,26,22,30,,,,,7,,,,,,7,14,,,,,,44,,,3,2,4,,NS,,,72,80,,25,,,,,74,91,,,,,grant,27/06/2016
340,Sternaforsteri,,0.13,0.19,,,0.13,0.19,,,,,,,,2.8,2,3,,,,23,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,82,,,,,,,,,,,,,grant,27/06/2016
341,Sternahirundinacea,,0.17,0.19,,,0.17,0.19,,,,,,,,,2,3,,,,21,23,,27,,,,,,,,,,,.6-1.6,,,,,,,,,,,,,,,,NS-OS,,,84,86,,,,,,,,,,,,,grant,27/06/2016
342,Sternahirundo,0.13,0.097,0.146,,0.13,0.097,0.146,,,,,,,,2.4,1,4,,,24,22,28,,26,,,,,87,83,8,,,,,21,,,+,,,,,,,45,3.2,2,4,,NS,,,72,83,,25,,,,,81,89,,,,,grant,27/06/2016
343,Sternaparadisaea,0.11,0.08,0.127,,0.11,0.08,0.127,,,,,,,,1.8,1,2,,,23,22,27,,,20,24,,,86,90,7,,,,,7,,,+,,,,,,,,3,,,+,NS,,,76,85,,34,,,,90,,,,,,,grant,27/06/2016
344,Sternarepressa,,0.113,0.142,,,0.113,0.142,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,78,83,,,,,,,,,,,,,grant,27/06/2016
345,Sternastriata,,,,,,,,,,,,,,,,1,2,,,,,,,,29,35,,,,,,,,,,,90,180,,,,,,,,,2,,,,,,,,,,20,,,,,,,,,,,grant,27/06/2016
346,Sternasumatrana,,0.098,0.11,,,0.098,0.11,,,,,,,,1.8,1,3,,,,21,23,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
347,Sternatrudeaui,,0.15,0.16,,,0.15,0.16,,,,,,,,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,70,,,,,,,,,,,,,grant,27/06/2016
348,Sternavirgata,0.13,,,,0.13,,,,,,,,,,1,1,2,,,24,,,,35,31,39,,,,,,,,,,20,,,up to 20,,,,,,,,,,,,,,71,,,ca,,,,,,,,,,,,grant,27/06/2016
349,Sternavittata,0.15,,,,0.15,,,,,,,,,,1,1,2,,,,23,25,,,27,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,79,,,,,,,,,,,,,grant,27/06/2016
350,Sternulaalbifrons,,0.05,0.06,,,0.05,0.06,,,,,,,,,1,4,,,,21,24,,,20,24,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,47,55,,21,,,,77,,,,,,,grant,27/06/2016
351,Sternulaantillarum,,0.036,0.057,,,0.036,0.057,,,,,,,,2,2,3,,,22,19,25,,20,17,21,,,,,,,,,,,26,56,,,,,,,,,2,,3,,NS,,51,,,,24,,,,,80,93,,,,,grant,27/06/2016
352,Sternulabalaenarum,0.046,,,,0.046,,,,,,,,,,1,,,,,,18,22,,20,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,grant,27/06/2016
353,Sternulalorata,,,,,,,,,,,,,,,,1,2,,,,22,29,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
354,Sternulanereis,0.057,,,,0.057,,,,,,,,,,1.7,1,2,,,,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,51,,,,,,,,,,,,,grant,27/06/2016
355,Sternulasaundersi,,0.04,0.05,,,0.04,0.05,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,55,,,,,,,,,,,,,grant,27/06/2016
356,Sternulasuperciliaris,,0.04,0.057,,,0.04,0.057,,,,,,,,1.9,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
357,Thalasseusbengalensis,,0.18,0.24,,,0.18,0.24,,,,,,,,1,,,,,,21,26,,,30,35,,,,,,,,,,90,,,+,,,,,,,,,,,,,,,88,105,,,,,,,,,,,,,grant,27/06/2016
358,Thalasseusbergii,,0.32,0.4,,,0.32,0.4,,,,,,,,,1,2,,,,25,30,,,35,41,,,,,,,,,,80,,,+,,,,,,,,,,,,NS,,,100,130,,,,,,,,,,,,,grant,27/06/2016
359,Thalasseusbernsteini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
360,Thalasseuselegans,0.26,0.2,0.33,,0.26,0.2,0.33,,,,,,,,1,,,,,26,23,33,,35,,,,,,,,,,,,120,,,,,,,,,,,3,,,,"NS,OS",,,76,81,,,,,,,,,,,,,grant,27/06/2016
361,Thalasseusmaximus,,0.32,0.5,,,0.32,0.5,,,,,,,,1,,,,,,25,31,,30,,,,,,,,,,,,200,,,+,,,,,86,,,,3,4,,NS,,,100,135,,24,,,,95,,,,,,,grant,27/06/2016
362,Thalasseussandvicensisacuflavida,,0.14,0.3,,,0.14,0.3,,,,,,,,1,1,2,,,24,23,29,,28,27,29,,,,,9.8,,,,,,30,120,,,,,,,,,4,3,4,,NS,,,86,105,,23.5,,,,75,,,,,,,grant,27/06/2016
363,Thalasseussandvicensiseurygnatha,,0.176,0.3,,,0.176,0.3,,,,,,,,,,,,,29,,,,28,,,,,,,,,,,,7,,,+,,,,,,,,,,,,NS,,,,,,24,,,,,,,,,,,grant,27/06/2016
364,Xemasabini,,0.13,0.22,,,0.13,0.22,,,,,,,,2,1,3,,,,2,25,,,25,30,,,83,68,,,,,,,,,yes,,,,,,,,,2,3,,NS,,,81,87,,,,,,,,,,,,,grant,27/06/2016
365,Fregettagrallaria,,0.04,0.06,,,0.04,0.06,,,,,,,,1,,,,12,40,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,45,,,,,,,,,,,,,,,grant,27/06/2016
366,Fregettamaoriana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
367,Fregettatropica,,0.05,0.06,,,0.05,0.06,,,,,,,,1,,,,15,,35,44,,,55,71,,,,,,,,,,0,,,,,,,,,,,,,,,OS,,46,,,,,,,,,,,,,,,grant,27/06/2016
368,Garrodianereis,,0.03,0.04,,,0.03,0.04,,,,,,,,1,,,,11,,40,45,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,39,,,,,,,,,,,,,,,grant,27/06/2016
369,Nesofregettafuliginosa,,0.055,0.115,,,0.055,0.115,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,,,,,,,,,,,,,,,grant,27/06/2016
370,Oceanitesgracilis,,0.014,,,0.014,,,,11.31 (0.54),30.55 (1.01),52.88 (3.04),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
371,Oceanitesgracilisgalapagoensis,,0.017,,,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
372,Oceanitesoceanicus,,0.03,0.04,,,0.03,0.04,,,,,,,,1,,,,10,,33,53,,,51,97,,,,,2.8,,,,,0,,,,0.062,,,,,,,4,4,5,,OS,,39,,,,,,,,91,,,,,,,grant,27/06/2016
373,Oceanitesoceanicuschilensis,,0.03,,,,0.03,,,11.48 (0.58),34.2 (1.4),60.2 (3.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
374,Oceanitesoceanicusexasperatus,,0.038,,,,0.038,,,12.6 (0.7),34.2 (1.1),69.6 (2.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
375,Oceanitesoceanicusoceanicus,,0.032,,,,0.032,,,12.1 (0.4),34.8 (1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
376,Oceanitespincoyae,,0.027,,,,0.027,,,136.5  (2.6),31.7 (1.4),57.6 (3.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
377,Pelagodromamarina,,0.04,0.07,,,0.04,0.07,,,,,,,,1,,,,12,,45,49,,,52,80,,,,,2.2,,,,,0,,,,0.065,,,,,,,,,,,OS,,43,,,,,,,,,,,,,,,grant,27/06/2016
378,Pedionomustorquatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
379,Pelecanusconspicillatus,,,4,6.8,,,4,6.8,,,,,,,2,1,4,,,,32,35,,90,,,,,,,,,,,,,,,,,,,,,,,,4,6,,"NS,OS",,,230,260,,,,,,,,,,,,,grant,27/06/2016
380,Pelecanuscrispus,,,7.25,10,,,9.5,12,,,,,,,,1,3,,,,31,34,,85,,,,,,,,,,,,,15,20,,,,,,,,,,,,,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
381,Pelecanuserythrorhynchos,,,4,5.9,,,5,7.1,,,,,,,2,1,4,,,30,,,?,60,,,,,,,,,,,,20,,,+,,,,,,,,3,,,,,,,,,,26,,,,,,,,,,,grant,27/06/2016
382,Pelecanusoccidentalis,Pedionomustorquatus,3.2,,,,3.7,,,,,,,,,2.6,2,3,,,30,,,,79.5,71,88,,,,,115,,,,,,30,84,,,,,,,,,3,2,4,,"NS,OS",,210,,,,28,,,,80,,,ca,,,,grant,27/06/2016
383,Pelecanusonocrotalus,,,6,9,,,9,15,,,,,,,,2,4,,,,29,31,,,65,70,,,,,,,,,,,,,,,,,,,,,,,,,"NS,NS+",,,,,,,,,,,,,,,,,grant,27/06/2016
384,Pelecanusphilippensis,,4.65,,,,,5.1,5.7,,,,,,,3,,,,,,29,31,,120,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
385,Pelecanusrufescens,,,3.9,6.2,,,4.5,7,,,,,,,,1,3,,,,30,35,,,70,75,,,,,,,,,,,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
386,Pelecanusthagus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
387,Phaethonaethereus,,0.7,,,,0.7,,,,,,,,,1,,,,,,42,44,,,80,90,,,,,,,,,,0,,,,,,,,,,71,,4,5,,OS,,,99,106,,,,,,82,,,,,,,grant,27/06/2016
388,Phaethonlepturus,,0.32,,,,,0.22,0.36,,,,,,,1,,,,,42,40,43,,,70,85,,21 - 37,,,,,,,,0,,,,,,,,,,,4,,,ca,OS,,,90,95,,,,,,,,,,,,,grant,27/06/2016
389,Phaethonrubricauda,,,0.5,0.85,,,0.5,0.85,,,,,,,1,,,,,,29,31,,,65,70,,,,,15,,,,,,,,,,,,,,,80,,2,5,,OS,,113,,,,29,,,,90,,,,,,,grant,27/06/2016
390,Microcarboafricanus,,0.43,0.6,,,0.5,0.88,,,,,,,,2.3,,4,,,,23,25,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,NS+,,,80,90,,,,,,,,,,,,,grant,27/06/2016
391,Microcarbocoronatus,,0.67,0.78,,,0.48,0.88,,,,,,,,,1,5,,,23,,,,,30,35,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
392,Microcarbomelanoleucos,,0.4,0.9,,,0.7,0.9,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ns,,,85,91,,,,,,,,,,,,,grant,27/06/2016
393,Microcarboniger,,0.36,0.53,,,0.36,0.53,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
394,Microcarbopygmaeus,,0.56,0.64,,,0.65,0.87,,,,,,,,,4,6,,,,27,30,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,80,90,,,,,,,,,,,,,grant,27/06/2016
395,Phalacrocoraxbransfieldensis,,2.5,3,,,2.5,3,,,,,,,,2.5,2,3,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,4,,,+,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
396,Phalacrocoraxgeorgianus,2.47,,,,2.88,,,,,,,,,,2.3,,3,,,,28,31,,65,,,,,,,,,,,,,,,,,,,,,,,3,,,+,NS,,,,,,,,,,,85,91,,,,,grant,27/06/2016
397,Phalacrocoraxaristotelis,1.6,,,,1.94,,,,,,,,,,3,1,6,,,34,33,36,,53,48,58,,,,,52,,,,,62,,,,,,,,,,,,2,3,,"NS,OS",,,,,,,,,,,80,88,,,,,grant,27/06/2016
398,Phalacrocoraxatriceps,,1.5,2.4,,,1.7,3.5,,,,,,,,2.7,1,3,,,28.8,,,,77.5,75,80,,,,,,,,,,,,,,,,,,,,,,2,4,,NS,,,110,125,,,,,,,,,,,,,grant,27/06/2016
399,Phalacrocoraxauritus,,1.8,2.6,,,2,3,,,,,,,,4,1,7,,,,25,28,,,42,56,,,,,,,,,,28,,,,,,,,,,,2.7,1,4,,NS,,,,,,18,,,,,,,,,,,grant,27/06/2016
400,Phalacrocoraxbougainvilliorum,,,,,,,,,,,,,,,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NS,OS",,,,,,,,,,,,,,,,,grant,27/06/2016
401,Phalacrocoraxbrasilianus,1.07,,,,1.26,,,,,,,,,,3,2,6,,,24.6,23,26,,63,,,,,,,,,,,,,,,yes,,,,,,,,1,1,3,,NS,,,,,,13,,,,,,,,,,,grant,27/06/2016
402,Phalacrocoraxcampbelli,2,,,,,1.6,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NS,OS",,105,,,,,,,,,,,,,,,grant,27/06/2016
403,Phalacrocoraxcapensis,,1.16,1.31,,,1.16,1.31,,,,,,,,2.4,2,3,,,,22,28,,49,,,,,,,,,,,,,,,,,,,,,,,3,,,,NS,,109,,,,,,,,,,,,,,,grant,27/06/2016
404,Phalacrocoraxcapillatus,3.1,,,,3.1,,,,,,,,,,3,,,,,34,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
405,Phalacrocoraxcarbo,,2,2.5,,,2,2.5,,,,,,,,,3,6,,,30,28,31,,53,49,56,,,,,,,,,,50,,,,,,,,,,,3,2,3,,"NS,OS",,,130,150,,,,,,88,,,,,,,grant,27/06/2016
406,Phalacrocoraxcarunculatus,2.5,,,,2.5,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
407,Phalacrocoraxchalconotus,,1.79,3.88,,,1.79,3.88,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
408,Phalacrocoraxcolensoi,,,,,,,,,,,,,,,3,,,,,,26,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NS,OS",,105,,,,,,,,,,,,,,,grant,27/06/2016
409,Phalacrocoraxfeatherstoni,,0.645,1.33,,,0.645,1.33,,,,,,,,3,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NS,OS",,,,,,,,,,,,,,,,,grant,27/06/2016
410,Phalacrocoraxfuscescens,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,93,102,,,,,,,,,,,,,grant,27/06/2016
411,Phalacrocoraxfuscicollis,,0.6,0.79,,,0.6,0.79,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
412,Phalacrocoraxgaimardi,1.3,,,,1.3,,,,,,,,,,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,grant,27/06/2016
413,Phalacrocoraxharrisi,,2.5,2.9,,,3.8,4.1,,,,,,,,,2,4,,,35,,,,60,,,,,,,,,,,,,30,90,,,,,,,,,,,,,NS,,,,,,,,,,87.6,,,,,,,grant,27/06/2016
414,Phalacrocoraxmagellanicus,,,,,,,,,,,,,,,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,92,,,,,,,,,,,,,,,grant,27/06/2016
415,Phalacrocoraxneglectus,1.8,,,,1.8,,,,,,,,,,2,1,3,,,,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,132,,,,,,,,,,,,,,,grant,27/06/2016
416,Phalacrocoraxnigrogularis,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,102,110,,,,,,,,,,,,,grant,27/06/2016
417,Phalacrocoraxonslowi,1.79,,,,2.4,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
418,Phalacrocoraxpelagicus,,1.53,1.7,,,1.75,2.03,,,,,,,,3,1,6,,,30,29,31,,45,40,50,,,,,,,,,,,,,weeks,,,,,,,,2,,,,"NS,OS",,95,,,,18,,,,,,,,,,,grant,27/06/2016
419,Phalacrocoraxpenicillatus,,1.4,2.3,,,2.4,2.7,,,,,,,,2.6,2,5,,,29.2,28,32,,,,,,,,,,,,,,,,,yes,,,,,,,,3,2,9,,NS+,,108,,,,18,,,,74,,,,,,,grant,27/06/2016
420,Phalacrocoraxperspicillatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
421,Phalacrocoraxpunctatus,,0.7,1.6,,,0.9,1.7,,,,,,,,2.7,2,4,,,32,28,35,,62,57,71,,,,,,,,,,,,,,,,,,,,,2,,,,"NS,OS",,,91,99,,,,,,,,,,,,,grant,27/06/2016
