fid,ord,fam,genus,species,subspecies,genus_species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,total_population,breeding_dist,nest_locations,hatchling_type,feature_id,species_id,female_mass_mean,female_mass_lower,female_mass_upper,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,culmen,tarsus,tail,bmr,rmr,dee,clutch_size_mean,clutch_size_lower,clutch_size_upper,clutch_size_uncertainty,egg_mass,incubation_mean,incubation_period_lower,incubation_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,reproductive_success,hatching_success,fledging_success,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,feeds_per_day,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,fledgling_mass,ratio_fledgling_to_adult,wing_loading,aspect_ratio,first_year_survival,second_year_survival,survival_to_breeding,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,migration_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,mate_fidelity,site_fidelity,coloniality,username,dt
366,PROCELLARIIFORMES,OCEANITIDAE,Fregetta,maoriana,,Fregetta maoriana,Fregettamaoriana,Oceanites maorianus,New Zealand Storm-petrel ,,,,,,CR,D,2013,unknown,,SP,,,366,Fregettamaoriana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
417,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,onslowi,,Phalacrocorax onslowi,Phalacrocoraxonslowi,Leucocarbo onslowi onslowi, Chatham Island Shag, Chatham shag,,,,,CR,"B2ab(ii,iii,iv,v)",2012,decreasing,,Tm,"O,Sl,Cl",A,417,Phalacrocoraxonslowi,1.79,,,,2.4,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
467,PROCELLARIIFORMES,PROCELLARIIDAE,Pseudobulweria,aterrima,,Pseudobulweria aterrima,Pseudobulweriaaterrima,Pterodroma aterrima aterrima|Pterodroma aterrima aterrima|Pterodroma aterrima aterrima|Pterodroma aterrima aterrima,Mascarene Petrel, Reunion Petrel,,,,,CR,C2a(ii),2013,decreasing,,STr,"Bu,Cr?",SP,467,Pseudobulweriaaterrima,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS?,,,,,,,,,,,,,,,,,grant,27/06/2016
468,PROCELLARIIFORMES,PROCELLARIIDAE,Pseudobulweria,becki,,Pseudobulweria becki,Pseudobulweriabecki,Pterodroma becki becki|Pterodroma becki becki|Pterodroma becki becki,Beck's Petrel,,,,,,CR,C2a(ii),2013,decreasing,"2,000?",Tr,,SP,468,Pseudobulweriabecki,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
469,PROCELLARIIFORMES,PROCELLARIIDAE,Pseudobulweria,macgillivrayi,,Pseudobulweria macgillivrayi,Pseudobulweriamacgillivrayi,Pterodroma macgillivrayi macgillivrayi|Pterodroma macgillivrayi macgillivrayi|Pterodroma macgillivrayi macgillivrayi,Fiji Petrel, MacGillivray's Petrel,,,,,CR,"C2a(i,ii);D",2013,decreasing,,STr,,SP,469,Pseudobulweriamacgillivrayi,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
479,PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,caribbaea,,Pterodroma caribbaea,Pterodromacaribbaea,,Jamaican Petrel,,,,,,CR,D,2013,unknown,,Tr,"Bu,Cr",SP,479,Pterodromacaribbaea,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,ca,,,,,,,,,,,,grant,27/06/2016
497,PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,magentae,,Pterodroma magentae,Pterodromamagentae,,Magenta Petrel, Chatham Island Taiko,,,,,CR,A2ce,2012,increasing,,"Tm,STr","Bu,Un",SP,497,Pterodromamagentae,,0.42,0.51,,,0.42,0.51,,,,,,,,1,,,,,52,,,,90,,,?,,,,,,,,0.26,,,,,,,,,,,,,,,,OS,,102,,,,,,,,,,,,,,,grant,27/06/2016
501,PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,phaeopygia,,Pterodroma phaeopygia,Pterodromaphaeopygia,,Galapagos Petrel, Galapagos Petrel, Dark-rumped Petrel,,,,CR,A2bce,2013,decreasing,,Tr,"Bu,Cr",SP,501,Pterodromaphaeopygia,0.43,,,,0.43,,,,,,,,,,1,,,,,55.3,54,58,,,110,119,,,,,10,,,,,0,,,,,,,,,,,5,5,6,,OS,,91,,,,,,,,93,,,,,,,grant,27/06/2016
508,PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,auricularis,,Puffinus auricularis,Puffinusauricularis,,Townsend's Shearwater,,,,,,CR,"B2ab(i,ii,iii,v)",2013,decreasing,,Tr,"Bu,Cr",SP,508,Puffinusauricularis,0.34,0.32,0.36,,0.34,0.32,0.36,,,,,,,,1,,,,,62,47,66,,92.4,88,100,,,,,,,,,,0,,,,,,,,,,,,4,7,,OS,,,,,,,,,,,,,,,,,grant,27/06/2016
511,PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,bryani,,Puffinus bryani,Puffinusbryani,,Bryan's Shearwater,,,,,,CR,"C2a(i,ii)",2014,decreasing,,?,?,,511,Puffinusbryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
517,PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,mauretanicus,,Puffinus mauretanicus,Puffinusmauretanicus,,Balearic Shearwater,,,,,,CR,A4bcde,2013,decreasing,,Tm,"Cr,Un",SP,517,Puffinusmauretanicus,,,,,,,,,,,,,,,1,,,,,50,,,ca,72,,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
