fid,ord,fam,genus,species,subspecies,genus_species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,total_population,breeding_dist,nest_locations,hatchling_type,feature_id,species_id,female_mass_mean,female_mass_lower,female_mass_upper,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,culmen,tarsus,tail,bmr,rmr,dee,clutch_size_mean,clutch_size_lower,clutch_size_upper,clutch_size_uncertainty,egg_mass,incubation_mean,incubation_period_lower,incubation_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,reproductive_success,hatching_success,fledging_success,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,feeds_per_day,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,fledgling_mass,ratio_fledgling_to_adult,wing_loading,aspect_ratio,first_year_survival,second_year_survival,survival_to_breeding,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,migration_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,mate_fidelity,site_fidelity,coloniality,username,dt
90,PELECANIFORMES,ARDEIDAE,Nycticorax,nycticorax,,Nycticorax nycticorax,Nycticoraxnycticorax,,Black-crowned Night-heron, Black-crowned Night-Heron., Black-crowned Night-Heron, Black-crowned Night Heron, Night Heron,,LC,,2012,decreasing,,,,,90,Nycticoraxnycticorax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
91,PELECANIFORMES,ARDEIDAE,Pilherodius,pileatus,,Pilherodius pileatus,Pilherodiuspileatus,Nycticorax pileatus pileatus,Capped Heron,,,,,,LC,,2012,unknown,,,,,91,Pilherodiuspileatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,grant,27/06/2016
92,PELECANIFORMES,ARDEIDAE,Syrigma,sibilatrix,,Syrigma sibilatrix,Syrigmasibilatrix,,Whistling Heron,,,,,,LC,,2012,unknown,,,,,92,Syrigmasibilatrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
93,PELECANIFORMES,ARDEIDAE,Tigriornis,leucolopha,,Tigriornis leucolopha,Tigriornisleucolopha,Tigriornis leucolophus |Tigriornis leucolophus |Tigriornis leucolophus |Tigriornis leucolophus ,White-crested Tiger-heron, White-crested Tiger Heron, White-crested Bittern,,,,LC,,2012,unknown,,,,,93,Tigriornisleucolopha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,grant,27/06/2016
94,PELECANIFORMES,ARDEIDAE,Tigrisoma,fasciatum,,Tigrisoma fasciatum,Tigrisomafasciatum,,Fasciated Tiger-heron, Fasciated Tiger Heron, Fasciated Tiger-Heron,,,,LC,,2012,unknown,,,,,94,Tigrisomafasciatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
95,PELECANIFORMES,ARDEIDAE,Tigrisoma,lineatum,,Tigrisoma lineatum,Tigrisomalineatum,,Rufescent Tiger-heron, Rufescent Tiger Heron, Rufescent Tiger-Heron,,,,LC,,2012,unknown,,,,,95,Tigrisomalineatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
96,PELECANIFORMES,ARDEIDAE,Tigrisoma,mexicanum,,Tigrisoma mexicanum,Tigrisomamexicanum,,Bare-throated Tiger-heron, Bare-throated Tiger Heron, Bare-throated Tiger-Heron,,,,LC,,2012,unknown,,,,,96,Tigrisomamexicanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,grant,27/06/2016
100,CHARADRIIFORMES,BURHINIDAE,Burhinus,bistriatus,,Burhinus bistriatus,Burhinusbistriatus,,Double-striped Thick-knee,,,,,,LC,,2012,stable,,,,,100,Burhinusbistriatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
101,CHARADRIIFORMES,BURHINIDAE,Burhinus,capensis,,Burhinus capensis,Burhinuscapensis,,Spotted Thick-knee, Spotted Dikkop,,,,,LC,,2012,stable,,,,,101,Burhinuscapensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
102,CHARADRIIFORMES,BURHINIDAE,Burhinus,grallarius,,Burhinus grallarius,Burhinusgrallarius,,Bush Thick-knee, Bush Stone-curlew,,,,,LC,,2012,decreasing,,,,,102,Burhinusgrallarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
103,CHARADRIIFORMES,BURHINIDAE,Burhinus,indicus,,Burhinus indicus,Burhinusindicus,,Indian Thick-knee,,,,,,LC,,2014,decreasing,,,,,103,Burhinusindicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
104,CHARADRIIFORMES,BURHINIDAE,Burhinus,oedicnemus,,Burhinus oedicnemus,Burhinusoedicnemus,,Eurasian Thick-knee, Stone Curlew,,,,,LC,,2014,decreasing,,,,,104,Burhinusoedicnemus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
105,CHARADRIIFORMES,BURHINIDAE,Burhinus,senegalensis,,Burhinus senegalensis,Burhinussenegalensis,,Senegal Thick-knee,,,,,,LC,,2012,unknown,,,,,105,Burhinussenegalensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
106,CHARADRIIFORMES,BURHINIDAE,Burhinus,superciliaris,,Burhinus superciliaris,Burhinussuperciliaris,,Peruvian Thick-knee,,,,,,LC,,2012,unknown,,,,,106,Burhinussuperciliaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
107,CHARADRIIFORMES,BURHINIDAE,Burhinus,vermiculatus,,Burhinus vermiculatus,Burhinusvermiculatus,,Water Thick-knee, Water Dikkop,,,,,LC,,2012,unknown,,,,,107,Burhinusvermiculatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
111,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,alexandrinus,,Charadrius alexandrinus,Charadriusalexandrinus,,Kentish Plover, Snowy Plover,,,,,LC,,2014,decreasing,,,,,111,Charadriusalexandrinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
112,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,alticola,,Charadrius alticola,Charadriusalticola,,Puna Plover,,,,,,LC,,2012,unknown,,,,,112,Charadriusalticola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
114,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,asiaticus,,Charadrius asiaticus,Charadriusasiaticus,,Caspian Plover,,,,,,LC,,2012,decreasing,,,,,114,Charadriusasiaticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
115,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,bicinctus,,Charadrius bicinctus,Charadriusbicinctus,,Double-banded Plover, Banded Dotterel,,,,,LC,,2014,unknown,,,,,115,Charadriusbicinctus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
116,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,bifrontatus,,Charadrius bifrontatus,Charadriusbifrontatus,,Madagascar Three-banded Plover,,,,,,LC,,2014,unknown,,,,,116,Charadriusbifrontatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
117,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,collaris,,Charadrius collaris,Charadriuscollaris,,Collared Plover,,,,,,LC,,2012,decreasing,,,,,117,Charadriuscollaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
119,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,dubius,,Charadrius dubius,Charadriusdubius,,Little Ringed Plover,,,,,,LC,,2012,stable,,,,,119,Charadriusdubius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
120,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,falklandicus,,Charadrius falklandicus,Charadriusfalklandicus,,Two-banded Plover,,,,,,LC,,2012,stable,,,,,120,Charadriusfalklandicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
121,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,forbesi,,Charadrius forbesi,Charadriusforbesi,,Forbes's Plover,,,,,,LC,,2012,unknown,,,,,121,Charadriusforbesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
122,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,hiaticula,,Charadrius hiaticula,Charadriushiaticula,,Common Ringed Plover, Ringed Plover,,,,,LC,,2012,decreasing,,,,,122,Charadriushiaticula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
124,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,leschenaultii,,Charadrius leschenaultii,Charadriusleschenaultii,,Greater Sandplover, Large Sand Dotterel, Greater Sand-Plover,,,,LC,,2012,unknown,,,,,124,Charadriusleschenaultii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
125,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,marginatus,,Charadrius marginatus,Charadriusmarginatus,,White-fronted Plover,,,,,,LC,,2012,decreasing,,,,,125,Charadriusmarginatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
127,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,modestus,,Charadrius modestus,Charadriusmodestus,,Rufous-chested Plover, Rufous-chested Dotterel,,,,,LC,,2012,unknown,,,,,127,Charadriusmodestus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
128,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,mongolus,,Charadrius mongolus,Charadriusmongolus,,Lesser Sandplover, Mongolian Dotterel, Lesser Sand-Plover, Mongolian Plover,,,LC,,2012,unknown,,,,,128,Charadriusmongolus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
133,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,pecuarius,,Charadrius pecuarius,Charadriuspecuarius,,Kittlitz's Plover,,,,,,LC,,2012,unknown,,,,,133,Charadriuspecuarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
135,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,placidus,,Charadrius placidus,Charadriusplacidus,,Long-billed Plover,,,,,,LC,,2012,decreasing,,,,,135,Charadriusplacidus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
136,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,ruficapillus,,Charadrius ruficapillus,Charadriusruficapillus,,Red-capped Plover, Red-capped Dotterel,,,,,LC,,2012,unknown,,,,,136,Charadriusruficapillus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
138,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,semipalmatus,,Charadrius semipalmatus,Charadriussemipalmatus,,Semipalmated Plover,,,,,,LC,,2012,stable,,,,,138,Charadriussemipalmatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
140,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,tricollaris,,Charadrius tricollaris,Charadriustricollaris,,African Three-banded Plover, Three-banded Plover,,,,,LC,,2014,unknown,,,,,140,Charadriustricollaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
141,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,veredus,,Charadrius veredus,Charadriusveredus,,Oriental Plover, Oriental Dotterel,,,,,LC,,2012,unknown,,,,,141,Charadriusveredus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
142,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,vociferus,,Charadrius vociferus,Charadriusvociferus,,Killdeer,,,,,,LC,,2012,decreasing,,,,,142,Charadriusvociferus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
143,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,wilsonia,,Charadrius wilsonia,Charadriuswilsonia,,Wilson's Plover,,,,,,LC,,2012,decreasing,,,,,143,Charadriuswilsonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
144,CHARADRIIFORMES,CHARADRIIDAE,Elseyornis,melanops,,Elseyornis melanops,Elseyornismelanops,Charadrius melanops melanops,Black-fronted Dotterel,,,,,,LC,,2012,increasing,,,,,144,Elseyornismelanops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
145,CHARADRIIFORMES,CHARADRIIDAE,Erythrogonys,cinctus,,Erythrogonys cinctus,Erythrogonyscinctus,,Red-kneed Dotterel,,,,,,LC,,2012,stable,,,,,145,Erythrogonyscinctus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
146,CHARADRIIFORMES,CHARADRIIDAE,Eudromias,morinellus,,Eudromias morinellus,Eudromiasmorinellus,Charadrius morinellus |Charadrius morinellus morinellus|Charadrius morinellus morinellus|Charadrius morinellus morinellus,Eurasian Dotterel, Dotterel,,,,,LC,,2012,decreasing,,,,,146,Eudromiasmorinellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
147,CHARADRIIFORMES,CHARADRIIDAE,Hoploxypterus,cayanus,,Hoploxypterus cayanus,Hoploxypteruscayanus,Vanellus cayanus,Pied Lapwing,,,,,,LC,,2012,unknown,,,,,147,Hoploxypteruscayanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
148,CHARADRIIFORMES,CHARADRIIDAE,Oreopholus,ruficollis,,Oreopholus ruficollis,Oreopholusruficollis,Eudromias ruficollis |Eudromias ruficollis ruficollis,Tawny-throated Dotterel,,,,,,LC,,2012,decreasing,,,,,148,Oreopholusruficollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
149,CHARADRIIFORMES,CHARADRIIDAE,Peltohyas,australis,,Peltohyas australis,Peltohyasaustralis,Charadrius australis|Peltohyas australis,Inland Dotterel, Inland Plover,,,,,LC,,2012,unknown,,,,,149,Peltohyasaustralis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
151,CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,apricaria,,Pluvialis apricaria,Pluvialisapricaria,,Eurasian Golden Plover, European Golden-Plover, European Golden Plover, Eurasian Golden-Plover, Golden Plover,,LC,,2012,decreasing,,,,,151,Pluvialisapricaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
152,CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,dominica,,Pluvialis dominica,Pluvialisdominica,Pluvialis dominicus dominicus,American Golden Plover, Lesser Golden Plover, American Golden-Plover,,,,LC,,2012,decreasing,,,,,152,Pluvialisdominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
153,CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,fulva,,Pluvialis fulva,Pluvialisfulva,,Pacific Golden Plover, Pacific Golden-Plover,,,,,LC,,2012,decreasing,,,,,153,Pluvialisfulva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
154,CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,squatarola,,Pluvialis squatarola,Pluvialissquatarola,,Grey Plover, Black-bellied Plover,,,,,LC,,2012,decreasing,,,,,154,Pluvialissquatarola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
157,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,albiceps,,Vanellus albiceps,Vanellusalbiceps,,White-headed Lapwing, White-crowned Lapwing, White-crowned Plover,,,,LC,,2012,stable,,,,,157,Vanellusalbiceps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
158,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,armatus,,Vanellus armatus,Vanellusarmatus,,Blacksmith Lapwing, Blacksmith Plover,,,,,LC,,2012,increasing,,,,,158,Vanellusarmatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
159,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,chilensis,,Vanellus chilensis,Vanelluschilensis,,Southern Lapwing,,,,,,LC,,2012,increasing,,,,,159,Vanelluschilensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
160,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,cinereus,,Vanellus cinereus,Vanelluscinereus,,Grey-headed Lapwing,,,,,,LC,,2012,decreasing,,,,,160,Vanelluscinereus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
161,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,coronatus,,Vanellus coronatus,Vanelluscoronatus,,Crowned Lapwing, Crowned Plover,,,,,LC,,2012,increasing,,,,,161,Vanelluscoronatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
162,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,crassirostris,,Vanellus crassirostris,Vanelluscrassirostris,,Long-toed Lapwing, Long-toed Plover,,,,,LC,,2012,unknown,,,,,162,Vanelluscrassirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
165,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,indicus,,Vanellus indicus,Vanellusindicus,Hoplopterus indicus |Hoplopterus indicus indicus,Red-wattled Lapwing, Red-wattled Plover,,,,,LC,,2012,unknown,,,,,165,Vanellusindicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
166,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,leucurus,,Vanellus leucurus,Vanellusleucurus,Chettusia leucura leucura,White-tailed Lapwing, White-tailed Plover,,,,,LC,,2012,unknown,,,,,166,Vanellusleucurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
167,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,lugubris,,Vanellus lugubris,Vanelluslugubris,,Senegal Lapwing, Lesser Black-winged Plover,,,,,LC,,2012,unknown,,,,,167,Vanelluslugubris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
169,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,malarbaricus,,Vanellus malarbaricus,Vanellusmalarbaricus,,Yellow-wattled Lapwing,,,,,,LC,,2012,stable,,,,,169,Vanellusmalarbaricus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
170,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,melanocephalus,,Vanellus melanocephalus,Vanellusmelanocephalus,,Spot-breasted Lapwing, Spot-breasted Plover,,,,,LC,,2012,unknown,,,,,170,Vanellusmelanocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
171,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,melanopterus,,Vanellus melanopterus,Vanellusmelanopterus,,Black-winged Lapwing, Black-winged Plover,,,,,LC,,2012,decreasing,,,,,171,Vanellusmelanopterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
172,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,miles,,Vanellus miles,Vanellusmiles,,Masked Lapwing, Masked Plover,,,,,LC,,2014,increasing,,,,,172,Vanellusmiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
173,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,novaehollandiae,,Vanellus novaehollandiae,Vanellusnovaehollandiae,,Black-shouldered Lapwing,,,,,,LC,,2014,increasing,,,,,173,Vanellusnovaehollandiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
174,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,resplendens,,Vanellus resplendens,Vanellusresplendens,,Andean Lapwing,,,,,,LC,,2012,stable,,,,,174,Vanellusresplendens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
175,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,senegallus,,Vanellus senegallus,Vanellussenegallus,,Wattled Lapwing, African Wattled Lapwing, Senegal Wattled Plover,,,,LC,,2012,stable,,,,,175,Vanellussenegallus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
176,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,spinosus,,Vanellus spinosus,Vanellusspinosus,Hoplopterus spinosus |Hoplopterus spinosus spinosus,Spur-winged Lapwing, Spur-winged Plover,,,,,LC,,2012,increasing,,,,,176,Vanellusspinosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
177,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,superciliosus,,Vanellus superciliosus,Vanellussuperciliosus,,Brown-chested Lapwing, Brown-chested Wattled Plover,,,,,LC,,2012,unknown,,,,,177,Vanellussuperciliosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
178,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,tectus,,Vanellus tectus,Vanellustectus,Hoplopterus tectus |Hoplopterus tectus tectus,Black-headed Lapwing, Blackhead Plover, Black-headed Plover,,,,LC,,2012,unknown,,,,,178,Vanellustectus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
179,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,tricolor,,Vanellus tricolor,Vanellustricolor,,Banded Lapwing,,,,,,LC,,2012,unknown,,,,,179,Vanellustricolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
180,CHARADRIIFORMES,CHARADRIIDAE,Vanellus,vanellus,,Vanellus vanellus,Vanellusvanellus,,Northern Lapwing, Lapwing,,,,,LC,,2012,decreasing,,,,,180,Vanellusvanellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
181,CHARADRIIFORMES,CHIONIDAE,Chionis,albus,,Chionis albus,Chionisalbus,Chionis alba |Chionis alba |Chionis alba |Chionis alba ,Snowy Sheathbill, American Sheathbill,,,,,LC,,2012,stable,,,,,181,Chionisalbus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
