,Order,Common Name,Common_Name_2,Common_Name_3,Scientific Name ,,Adult Mass (k):                                Mean:range                       or Mean:female(male)        Female(Male)    ,Culmen  mm,Tarsus mm,Tail mm       (inner or outer),Breeding Distribution,Nest Location,Clutch Size (range),Egg Mass (g) [volume],Egg Mass/Female Mass %,Hatchling Type,Incubation Period (d),Fledging Period (d),Reproductive Success %             (hatching success)[fledging success],Maximum Growth Rate (g/d),Feed/Day,Fledging Mass (or asymptote),Fl Mass/Ad Mass %,BMR kJ/d,RMR  kJ/d/kg  female (male),DEE kJ/d/kg  female (male),Post-Fledging Care (d),Age of First Breeding,Foraging  Distance               in Breeding Season,Migration Distance,Wing Length (mm)  F (M)         wrist to tip (lngst),Wing Span (cm),Wing loading N/m sqd.,Aspect ratio (span sqd./wg.area)            wing+c.body area,Maximum Age,1st Year survival,2nd Year survival,Survival to Breeding (%),Annual Adult Survival %,Mean Ad. Life Expectancy,IUCN Category (FWS category),Total Population (breeding pairs),Index to Literature Cited: from original book edition,Literature refs added after book published
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PROCELLARIIFORMES,Southern Giant Petrel,,,Macronectes giganteus,,3.94 (5.19),,,,P-Tm,O,1,268,,SP,59-66,112-123,,79,,6000,,,,,none,4-10,OS,,,150-210,,,,,,,90-96,,,,"41, 111, 129, 152","Croxall 1981, Hunter 1984, Croxall & Gaston 1988, Nettleship & Hunt 1988, Marchant & Higgins 1990"
40,PROCELLARIIFORMES,Northern Giant Petrel,,,Macronectes halli,,3.8 (5),,,,SP,"O,Sl",1,268,,SP,57-62,106-120,,66,,5860,,,,,,4-11,NS,,,199,,,,,,,90,,,,"129, 222","Croxall & Gaston 1988, Marchant & Higgins 1990, Warham 1990"
41,PROCELLARIIFORMES,Southern Fulmar,,,Fulmarus glacialoides,,0.7-1,,,,"P,SP","Sl,Cl",1,103,,SP,43-50,48-56,,32,,1200,,,,,,9-11,OS,,,106,,,,,,,90-95,,,,"41, 129, 139, 222","Mougin 1967, Croxall 1981, Croxall & Gaston 1988, Marchant & Higgins 1990, Warham 1990"
42,PROCELLARIIFORMES,Northern Fulmar,,,Fulmarus glacialis,,0.58 (0.65) up to 0.8,,,,P-Tm,"O,Cl",1,101,,SP,48.4(47-49),53(46-58),,21,,907,,330,,,none,5(5-12),OS,,,102-112,,,45,,,,94-97,,,,"14, 59, 60, 102, 103, 139, 165","Dunnet et al. 1963, 1979, Mougin 1967, Hatch & Hatch 1990, Bryant & Furness 1995, Hatch & Nettleship 1998, Phillips & Hamer 2000, BBL - BTO"
43,PROCELLARIIFORMES,Antarctic Petrel,,,Thalassoica antarctica,,0.69 (0.81),,,,"P,SP","Cr,Sl",1,90,,SP,40-45,42-62,,,,,,,,,,,"NS,OS",,,104,,,,,,,90,,,,"129, 222","Croxall & Gaston 1988, Marchant & Higgins 1990, Warham 1990"
44,PROCELLARIIFORMES,Cape Petrel,Cape Pigeon,,Daption capense,,0.36-0.51 (0.38-0.55),,,,"P,SP","Cl,O",1,63,,SP,44-47,47-68,,16,,480,,,,,none,4-6,OS,,,87,,,25,,,,93-96,,,,"14, 110, 129, 222","Hudson 1966, Croxall & Gaston 1988, Marchant & Higgins 1990, Warham 1990, BBL"
45,PROCELLARIIFORMES,Snow Petrel,,,Pagodroma nivea,,0.24-0.46,,,,P,"Cl,Cr",1,56,,SP,41-49,41-55,,17,,500,,,,,none,3-7,"NS,OS",,,83,,,,,,,93-96,,,,"19, 32, 41, 110, 129","Brown 1966, Hudson 1966, Croxall 1981, Marchant & Higgins 1990, Carboneras 1992"
46,PROCELLARIIFORMES,Kerguelen Petrel,,,Lugensa brevirostris,,0.29-0.36,,,,"Tm,SP",Bu,1,56,,SP,46-49,59-62,,,,360,,,,,none,,OS,,,80-88,,,,,,,,,,,"17, 32, 222","Croxall & Gaston 1988, Warham 1990, Carboneras 1992, J. Bried pers. comm."
47,PROCELLARIIFORMES,Great-winged Petrel,,,Pterodroma macroptera,,0.46-0.75,,,,Tm,"Bu,Cr,Un",1,90,,SP,55-57,125,,,,,,,,,none,6-7,OS,,,97-102,,,,,,,,,,,"221, 222","Warham 1956, Croxall & Gaston 1988, Warham 1990"
48,PROCELLARIIFORMES,White-headed Petrel,,,Pterodroma lessonii,,0.58-0.81,,,,"Tm, SP",Bu,1,99,,SP,60 +/-,112,,13,,900,,,,,,5.5,OS,,,109,,,,,,,,,,,"17, 222","Croxall & Gaston 1988, Warham 1990, J. Bried pers. comm."
49,PROCELLARIIFORMES,Atlantic Petrel ,,,Pterodroma incerta,,,,,,Tm,,1,,,SP,,,,,,,,,,,,,OS?,,,100,,,,,,,,,,,"32, 86, 222","Warham 1990, Carboneras 1992, Hamer in press (a)"
50,PROCELLARIIFORMES,Providence Petrel,,,Pterodroma solandri,,0.41-0.43 (0.44-0.6),,,,"Tm,STr",Bu,1,,,SP,56,,,,,,,,,,,,OS,,,95-105,,,,,,,,,,,"32, 129, 222","Marchant & Higgins 1990, Warham 1990, Carboneras 1992"
51,PROCELLARIIFORMES,Magenta Petrel,Chatham Island Taiko,,Pterodroma magentae,,0.42-0.51,,,,"Tm,STr","Bu,Un",1,,,SP,52,90?,,,.26,,,,,,,,OS,,,102,,,,,,,,,(E),,"32, 129, 222","Marchant & Higgins 1990, Warham 1990, Carboneras 1992 - Johnston et al. 2004"
52,PROCELLARIIFORMES,Murphy's Petrel,,,Pterodroma ultima,,,,,,"STr,Tr",,1,,,SP,,,,,,,,,,,,,OS?,,,97,,,,,,,,,,,"32, 86, 222","Warham 1990, Carboneras 1992, Hamer in press (a)"
53,PROCELLARIIFORMES,Soft-plumaged Petrel,,,Pterodroma mollis,,0.28-0.31,,,,"SP, Tm",Bu,1,54,,SP,50,90-115,,,,350,,,,,none,,OS,,,83-95,,,,,,,,,,,"129, 222","Croxall & Gaston 1988, Marchant & Higgins 1990, Warham 1990"
54,PROCELLARIIFORMES,Fea's Petrel,Cape Verde Petrel,,Pterodroma feae,,,,,,STr,Bu,1,,,SP,,,,,,,,,,,,,,,,83-95,,,,,,,,,,,"32, 222","Warham, 1990, Carboneras 1992"
55,PROCELLARIIFORMES,Madeira Petrel,Zino's Petrel,,Pterodroma madeira ,,,,,,STr,,1,,,SP,,,,,,,,,,,,,,,,,,,,,,,,,C,,"32, 222","Warham 1990, Carboneras 1992 - Birdlife"
56,PROCELLARIIFORMES,Bermuda Petrel,Cahow Petrel,,Pterodroma cahow,,,,,,STr,"Bu,Cr",1,,,SP,52,92,,,,,,,,,,,OS,,,89,,,,,,,,,,,"32, 222","Warham 1990, Carboneras 1992"
57,PROCELLARIIFORMES,Black-capped Petrel,,,Pterodroma hasitata,,,,,,STr,,1,,,SP,51-54,90-100,,,,,,,,,,,OS,,,95,,,,,,,,,,100?Haiti,"32, 222","Warham 1990, Carboneras 1992 *** Haiti Audubon Society"
58,PROCELLARIIFORMES,Jamaica Petrel,,,Pterodroma caribbaea,,,,,,Tr,"Bu,Cr",1,,,SP,,,,,,,,,,,,,,,,c95,,,,,,,,,,,32,Carboneras 1992
59,PROCELLARIIFORMES,Juan Fernandez Petrel,,,Pterodroma externa,,0.41-0.54,,,,"STr,Tr",Bu,1,,,SP,,,,,,,,,,,,,OS,,,95-97,,,,,,,,,,,"32, 129","Marchant & Higgins 1990, Carbonares 1992"
60,PROCELLARIIFORMES,White-necked Petrel,,,Pterodroma cervicalis,,0.38-0.54,,,,Tm,Bu,1,,,SP,,100-115,,,,,,,,,,,,,,100,,,,,,,,,,,"86, 129","Marchant & Higgins 1990, Hamer in press (a)"
,PROCELLARIIFORMES,Vanuatu Petrel,,,Pterdroma occulta,,ca .4,,,,STr,,1,,,SP,,,,,,,,,,,,,,TransEq,,,,,,,,,,,,20-100,Imber & Tennyson 2001,Imber & Tennyson 2001
61,PROCELLARIIFORMES,Barau's Petrel,,,Pterodroma baraui,,0.4,,,,"STr, Tr",Bu,1,,,SP,55-55?,100-110?,,,,,,,,,,,,,280,96,,,,,,,,,,,129,Marchant & Higgins 1990 - Bretagnolle and Attie 1991
62,PROCELLARIIFORMES,Galapagos Petrel,,,Pterodroma phaeopygia,,0.43,,,,Tr,"Bu,Cr",1,,,SP,55.3(54-58),100-119,,10,,,,,,,none,5(5-6),OS,,,91,,,,,,,93,,,,"32, 200, 222, 223","Warham 1990, 1996, Carbonares 1992, Simons & Hodges 1998"
63,PROCELLARIIFORMES,Hawaiian Dark-rumped Petrel,,,Pterodroma sandwichensis,,0.45 (0.33-.63),,,,Tr,"Bu,Cr",1,,,SP,55.3(54-58),100-119,,,,,,,,,none,5-6,OS,,,,,,,,,,93,,,,"198, 199, 200","Simons 1984, 1985, Simons & Hodges 1998"
64,PROCELLARIIFORMES,Kermadec Petrel,,,Pterodroma neglecta,,0.37-0.59,,,,"STr,Tr",O,1,,,SP,50-52,110-130,,,,,,,,,,,NS,,,92,,,,,,,,,,,"129, 222","Marchant & Higgins 1990, Warham 1990"
65,PROCELLARIIFORMES,Trindade Petrel,,,Ptreodroma arminjoniana,,0.29-0.46,,,,"STr,Tr","Bu,Sl",1,,,SP,,,,,,,,,,,,,OS,,,88-102,,,,,,,,,,,"32, 129","Marchant & Higgins 1990, Carboneras 1992"
66,PROCELLARIIFORMES,Herald Petrel,,,Pterodroma heraldica,,0.32,,,,"STr,Tr","Bu,Sl",1,,,SP,,,,,,,,,,,,,NS,,,88-102,,,,,,,,,,,"32, 129","Marchant & Higgins 1990, Carboneras 1992"
67,PROCELLARIIFORMES,Henderson Petrel,,,Pterodroma atrata,,,,,,STr,,1,,,SP,,,,,,,,,,,,,OS,,,,,,,,,,,,,,32,Carboneras 1992
68,PROCELLARIIFORMES,Phoenix Petrel,,,Pterodroma alba,,0.27,,,,"STr,Tr","Un,Cr",1,,,SP,,,,,,,,,,,,,NS,,,83,,,,,,,,,,,"32, 129","Marchant & Higgins 1990, Carboneras 1992"
69,PROCELLARIIFORMES,Mottled Petrel,,,Pterodroma inexpectata,,0.24-0.44,,,,"SP,Tm","Bu,Sl",1,61,,SP,49-53,90-105,,,,,,,,,,,OS,,,78-84,,,,,,,,,,,"32, 222, 223","Croxall & Gaston 1988, Warham 1990, 1996, Carboneras 1992"
70,PROCELLARIIFORMES,Bonin Petrel,,,Pterodroma hypoleuca,,0.24 (0.152-0.308),,,,STr,Bu,1,,,SP,49,82(77-89),83 Midwy,,,,,,,,,,OS,,,63-71,,,21,,,,,,,,"14, 85, 193, 222","Grant et al. 1983, Warham 1990, Seto & O'Daniel 1999, BBL"
71,PROCELLARIIFORMES,Black-winged Petrel,,,Pterodroma nigripennis,,0.17-0.2,,,,"STr,Tr",Bu,1,,,SP,,,,,,,,,,,,,OS,,,63-71,,,,,,,,,,,129,Marchant & Higgins 1990
72,PROCELLARIIFORMES,Chatham Island Petrel,,,Pterodroma axillaris,,0.2,,,,Tm,Sl,1,,,SP,10-15,,,,,,,,,,,,,,,63-71,,,,,,,,,(E),,129,Marchant & Higgins 1990
73,PROCELLARIIFORMES,Cook's Petrel,,,Pterodroma cookii,,0.19,,,,STr,Bu,1,,,SP,47-51,88,,,,,,,,,,,OS,,,65,,,,,,,,,,"> 300,000",129,Marchant & Higgins 1990 - Matt Rayner pers. Coomm. 06
74,PROCELLARIIFORMES,Mas A Tierra Petrel,De Filippi's Petrel,,Ptreodroma defilippiana,,,,,,STr,,1,,,SP,,,,,,,,,,,,,,,,66?,,,,,,,,,,,32,Carboneras 1992
75,PROCELLARIIFORMES,Stejneger's Petrel,,,Pterodroma longirostris,,,,,,SP-STr,,1,,,SP,,,,,,,,,,,,,OS,,,53,,,,,,,,,,,"32, 129","Marchant & Higgins 1990, Carboneras 1992"
76,PROCELLARIIFORMES,Pycroft's Petrel,,,Pterodroma pycrofti,,0.13-0.2,,,,Tm,Bu,1,,,SP,45,80,,,,,,,,,,,,,,53-66,,,,,,,72,,,,"32, 129","Marchant & Higgins 1990, Carboneras 1992"
77,PROCELLARIIFORMES,Gould's Petrel,,,Pterodroma leucoptera,,0.17-0.22,,,,Tm-Tr,Cr,1,,,SP,42-49,77-84,,,,,,,,,,,OS,,,70,,,,,,,,,,,129,Marchant & Higgins 1990
78,PROCELLARIIFORMES,Collared Petrel,,,Pterodroma brevipes,,,,,,Tr,"Sl,Cr,U",1,,,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Carboneras 1992
79,PROCELLARIIFORMES,Macgillivary's Petrel,Fiji Petrel,,Pseudobulweria macgillivrayi,,,,,,STr,,1,,,SP,,,,,,,,,,,,,,,,,,,,,,,,,(E),,"32, 222","Warham 1990, Carboneras 1992"
80,PROCELLARIIFORMES,Tahiti Petrel,,,Pseudobulweria rostrata,,,,,,"Tm,STr",Bu,1,,,SP,,,,,,,,,,,,,,,,84,,,,,,,,,,,"129, 222","Marchant & Higgins 1990, Warham 1990"
81,PROCELLARIIFORMES,Beck's Petrel,,,Pseudobulweria becki,,,,,,Tr,,1,,,SP,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000?BA","101, 222","Harrison 1983, Warham 1990 - PSG Bull. 35:1, pg 9."
82,PROCELLARIIFORMES,Mascarene Petrel,,,Pseudobulweria aterrima,,,,,,STr,"Bu,Cr?",1,,,SP,,,,,,,,,,,,,OS?,,,,,,,,,,,,,,"32, 222","Warham 1990, Carboneras 1992"
83,PROCELLARIIFORMES,Blue Petrel,,,Halobaena caerulea,,0.13-0.23,,,,SP-Tm,"Bu,Sl",1,36,,SP,45-49,48-60,,7.2,,290,,,,,,,NS,,,62-71,,,,,,,,,,,"129, 222, 223","Croxall & Gaston 1988, Marchant & Higgins 1990, Warham 1990, 1996"
84,PROCELLARIIFORMES,Broad-billed Prion,,,Pachyptila vittata,,0.17-0.24,,,,Tm,Bu,1,33,,SP,56,50-53,,,,,,,,,,,OS,,,61,,,,,,,,,,,"129, 222, 223","Croxall & Gaston 1988, Marchant & Higgins 1990, Warham 1990, 1996"
85,PROCELLARIIFORMES,Salvin's Prion,,,Pachyptila salvini,,0.12-0.21,,,,"SP,Tm","Bu,Cr",1,32,,SP,44-55,52-63,,6.9,,190,,,,,,,,,,59,,,,,,,,,,,"41, 129, 222, 223","Croxall 1981, Croxall & Gaston 1988, Marchant & Higgins 1990, Warham 1990, 1996"
86,PROCELLARIIFORMES,Antarctic Prion,,,Pachyptila desolata,,0.10-0.19,,,,"P,SP","Bu,Cr",1,33,,SP,44-46,51,,6.9,,215,,,,,,5(3-6),OS,,,63,,,,,,,,,,,"41, 129","Croxall 1981, Croxall & Gaston 1988, Marchant & Higgins 1990"
87,PROCELLARIIFORMES,Narrow-billed Prion,,,Pachyptila belcheri,,0.12-0.18,,,,"SP,Tm",Bu,1,31,,SP,43-47,"43-54, 69",,6.5,,235,,,,,,6.7,NS+,,,56-59,,,,,,,,,,,"17, 129","Croxall & Gaston 1988, Marchant & Higgins 1990, J. Bried pers. comm."
88,PROCELLARIIFORMES,Fairy Prion,,,Pachyptila turtur,,0.11-0.16 (0.12-0.18),,,,SP-STr,"Bu,Cr",1,24,,SP,44-55,50,,6.6,,150,,,,,,4-5,NS,,,56,,,,,,,84,,,,"129, 222, 223","Croxall & Gaston 1988, Marchant & Higgins 1990, Warham 1990, 1996"
89,PROCELLARIIFORMES,Fulmar Prion,,,Pachyptila crassirostris,,0.10-0.19,,,,Tm,"Bu,Cr",1,,,SP,,,,,,,,,,,,,NS,,,60,,,,,,,,,,,129,Marchant & Higgins 1990
90,PROCELLARIIFORMES,Bulwer's Petrel ,,,Bulweria bulwerii,,0.99,,,,"STr,Tr",Cr,1,,,SP,44.2(38-46),62(57-67),,,,,,,,,none,4-6,OS,,,65-73,,,,,,,94.7,,,,"5, 129, 132, 140, 222","Amerson & Shelton 1976, Mougin 1989, Marchant & Higgins 1990, Warham 1990, Megyesi & O'Daniel 1997"
91,PROCELLARIIFORMES,Jouanin's Petrel,,,Bulweria fallax,,,,,,Tr,,1,,,SP,,,,,,,,,,,,,,,,76-83,,,,,,,,,,,32,Carboneras 1992
92,PROCELLARIIFORMES,White-chinned Petrel,,,Procellaria aequinoctialis,,1.28 (1.39),,,,"SP,Tm",Bu,1,124,,SP,57-62,87-106,,24,,1850,,,,,,6.5,OS,,,134-147,,,,,,,79,,,,"222, 223","Croxall & Gaston 1988, Warham 1990, 1996"
93,PROCELLARIIFORMES,Spectacled Petrel,,,Procellaria conspicillata,,,,,,Tm,Bu,1,,,SP,,,,,,,,,,,,,OS,,,,,,,,,,,,,,"32, 222, 223","Warham 1990, 1996, Carboneras 1992"
94,PROCELLARIIFORMES,Westland Petrel,,,Procellaria westlandica,,1.1-1.2 (1.2-1.3),,,,Tm,Bu,1,,,SP,51-68,130,,,,,,,,,none,12,OS,8-9000km,,135-140,,,,,,,,,Thr,,"32, 129, 222","Marchant & Higgins 1990, Warham 1990, Carboneras 1992  * **  Landers et al. 2011"
95,PROCELLARIIFORMES,Parkinson's Petrel,Black Petrel,,Procellaria parkinsoni,,0.70: 0.68 (0.72),,,,Tm,Bu,1,,,SP,56,96-122,,,,,,,,,none,6-8,OS,,,115,,,,,,,94,,,,"32, 113, 129, 140, 141","Imber 1987, Mougin 1989, 1990, Marchant & Higgins 1990, Carboneras 1992"
96,PROCELLARIIFORMES,Grey Petrel,,,Procellaria cinerea,,1.13,,,,"SP,Tm",Bu,1,110,,SP,52-61,"93, 110-120",,18,,1220,,,,,,7,OS,,,115-130,,,,,,,,,,,"129, 222, 223","Croxall & Gaston 1988, Marchant & Higgins 1990, Watham 1990, 1996"
98,PROCELLARIIFORMES,Scopoli's Shearwater,,,Calonectris diomedea,,0.66: 0.60(0.71),,,,"Tm,STr","Bu,Cr",1,,,SP,51,91,,,,,,,,,none,7.7,,,,,,,,,,,93,,,,"142, 143, 144, 145, 211, 222, 223","Mougin et al. 1987a, 1987b, 1988a, 1988b, Warham 1990, Swatschek et al. 1994, Thibault 1994, Warham 1996"
