species_id,hatchling_type,foraging_nearshore,foraging_midshore,foraging_offshore,mate_fidelity,site_fidelity,coloniality,comments,username,dt
Bostrychia hagedash,,,,,,,,,grant,27/06/2016
Bostrychia olivacea,,,,,,,,,grant,27/06/2016
Bostrychia rara,,,,,,,,,grant,27/06/2016
Cercibis oxycerca,,,,,,,,,grant,27/06/2016
Eudocimus albus,,,,,,,,,grant,27/06/2016
Eudocimus ruber,,,,,,,,,grant,27/06/2016
Geronticus calvus,,,,,,,,,grant,27/06/2016
Geronticus eremita,,,,,,,,,grant,27/06/2016
Lophotibis cristata,,,,,,,,,grant,27/06/2016
Mesembrinibis cayennensis,,,,,,,,,grant,27/06/2016
Nipponia nippon,,,,,,,,,grant,27/06/2016
Phimosus infuscatus,,,,,,,,,grant,27/06/2016
Platalea ajaja,,,,,,,,,grant,27/06/2016
Platalea alba,,,,,,,,,grant,27/06/2016
Platalea flavipes,,,,,,,,,grant,27/06/2016
Platalea leucorodia,,,,,,,,,grant,27/06/2016
Platalea minor,,,,,,,,,grant,27/06/2016
Platalea regia,,,,,,,,,grant,27/06/2016
Plegadis chihi,,,,,,,,,grant,27/06/2016
Plegadis falcinellus,,,,,,,,,grant,27/06/2016
Plegadis ridgwayi,,,,,,,,,grant,27/06/2016
Pseudibis davisoni,,,,,,,,,grant,27/06/2016
Pseudibis papillosa,,,,,,,,,grant,27/06/2016
Thaumatibis gigantea,,,,,,,,,grant,27/06/2016
Theristicus branickii,,,,,,,,,grant,27/06/2016
Theristicus caerulescens,,,,,,,,,grant,27/06/2016
Theristicus caudatus,,,,,,,,,grant,27/06/2016
Theristicus melanopis,,,,,,,,,grant,27/06/2016
Threskiornis aethiopicus,,,,,,,,,grant,27/06/2016
Threskiornis bernieri,,,,,,,,,grant,27/06/2016
Threskiornis melanocephalus,,,,,,,,,grant,27/06/2016
Threskiornis moluccus,,,,,,,,,grant,27/06/2016
Threskiornis solitarius,,,,,,,,,grant,27/06/2016
Threskiornis spinicollis,,,,,,,,,grant,27/06/2016
Ortyxelos meiffrenii,,,,,,,,,grant,27/06/2016
Turnix castanotus,,,,,,,,,grant,27/06/2016
Turnix everetti,,,,,,,,,grant,27/06/2016
Turnix hottentottus,,,,,,,,,grant,27/06/2016
Turnix maculosus,,,,,,,,,grant,27/06/2016
Turnix melanogaster,,,,,,,,,grant,27/06/2016
Turnix nanus,,,,,,,,,grant,27/06/2016
Turnix nigricollis,,,,,,,,,grant,27/06/2016
Turnix novaecaledoniae,,,,,,,,,grant,27/06/2016
Turnix ocellatus,,,,,,,,,grant,27/06/2016
Turnix olivii,,,,,,,,,grant,27/06/2016
Turnix pyrrhothorax,,,,,,,,,grant,27/06/2016
Turnix suscitator,,,,,,,,,grant,27/06/2016
Turnix sylvaticus,,,,,,,,,grant,27/06/2016
Turnix tanki,,,,,,,,,grant,27/06/2016
Turnix varius,,,,,,,,,grant,27/06/2016
Turnix velox,,,,,,,,,grant,27/06/2016
Turnix worcesteri,,,,,,,,,grant,27/06/2016
